Date and Time:                Wed May 25 13:20:11.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
255.80652	304
255.81638	300
255.82622	302
255.83606	304
255.8459	299
255.85576	304
255.8656	304
255.87544	296
255.88528	303
255.89514	298
255.90498	300
255.91483	299
255.92467	303
255.93451	308
255.94435	302
255.95421	298
255.96405	307
255.97389	298
255.98373	300
255.99358	302
256.00342	305
256.01328	304
256.0231	308
256.03296	304
256.04279	306
256.05264	303
256.06247	300
256.07233	296
256.08215	301
256.09201	303
256.10184	305
256.11169	299
256.12152	306
256.13138	299
256.1412	307
256.15106	303
256.16089	300
256.17075	299
256.18057	308
256.19043	301
256.20026	300
256.21011	306
256.21994	297
256.22977	301
256.23962	298
256.24945	303
256.25931	308
256.26913	301
256.27899	307
256.28882	299
256.29865	300
256.3085	301
256.31833	306
256.32819	297
256.33801	298
256.34784	296
256.3577	299
256.36752	304
256.37738	297
256.38721	293
256.39703	304
256.40689	307
256.41672	304
256.42654	302
256.4364	301
256.44623	305
256.45605	301
256.46591	308
256.47574	301
256.48557	297
256.49542	310
256.50525	303
256.51508	298
256.52493	304
256.53476	299
256.54459	307
256.55441	305
256.56427	304
256.5741	302
256.58392	302
256.59378	305
256.60361	310
256.61343	297
256.62326	309
256.63312	305
256.64294	296
256.65277	303
256.6626	300
256.67245	302
256.68228	304
256.69211	304
256.70193	300
256.71176	302
256.72162	305
256.73145	304
256.74127	304
256.7511	302
256.76093	297
256.77078	299
256.78061	311
256.79044	304
256.80026	297
256.81009	302
256.81992	304
256.82977	303
256.8396	304
256.84943	300
256.85925	299
256.86908	301
256.87891	301
256.88873	305
256.89859	306
256.90842	302
256.91824	302
256.92807	300
256.9379	308
256.94772	300
256.95755	305
256.96738	293
256.9772	302
256.98703	304
256.99686	301
257.00671	301
257.01654	302
257.02637	301
257.03619	304
257.04602	300
257.05585	302
257.06567	303
257.0755	299
257.08533	296
257.09515	299
257.10498	297
257.11481	301
257.12463	301
257.13446	304
257.14429	301
257.15411	298
257.16394	304
257.17377	302
257.18359	303
257.19342	301
257.20325	298
257.21307	296
257.2229	302
257.23273	307
257.24255	306
257.25238	300
257.26221	298
257.27203	298
257.28186	297
257.29169	301
257.30148	303
257.31131	299
257.32114	301
257.33096	305
257.34079	297
257.35062	296
257.36044	304
257.37027	300
257.3801	306
257.38992	304
257.39972	302
257.40955	303
257.41937	301
257.4292	299
257.43903	299
257.44885	302
257.45868	297
257.46848	304
257.4783	302
257.48813	305
257.49796	303
257.50778	306
257.51761	302
257.5274	301
257.53723	300
257.54706	303
257.55688	302
257.56671	303
257.57651	296
257.58633	299
257.59616	299
257.60599	306
257.61581	312
257.62561	307
257.63544	305
257.64526	298
257.65509	301
257.66489	299
257.67471	300
257.68454	301
257.69437	302
257.70416	300
257.71399	298
257.72382	299
257.73361	302
257.74344	295
257.75327	300
257.76309	300
257.77289	304
257.78271	299
257.79254	304
257.80234	303
257.81216	307
257.82199	297
257.83179	305
257.84161	300
257.85144	300
257.86124	309
257.87106	304
257.88089	305
257.89069	306
257.90051	299
257.91034	300
257.92014	301
257.92996	297
257.93976	297
257.94958	301
257.95941	300
257.96921	301
257.97903	301
257.98883	303
257.99866	302
258.00848	297
258.01828	304
258.02811	296
258.0379	300
258.04773	306
258.05753	303
258.06735	295
258.07718	299
258.08698	295
258.0968	302
258.1066	300
258.11642	304
258.12622	299
258.13605	309
258.14584	299
258.15567	304
258.16547	312
258.17529	300
258.18509	306
258.19492	308
258.20471	303
258.21454	307
258.22433	302
258.23416	298
258.24396	299
258.25378	296
258.26358	305
258.27338	304
258.2832	302
258.293	308
258.30283	296
258.31262	309
258.32245	299
258.33224	302
258.34204	304
258.35187	301
258.36166	304
258.37149	299
258.38129	301
258.39108	301
258.40091	300
258.41071	300
258.42053	300
258.43033	305
258.44012	300
258.44995	298
258.45975	304
258.46954	302
258.47937	302
258.48917	302
258.49896	302
258.50879	304
258.51859	300
258.52838	299
258.53821	303
258.548	297
258.5578	300
258.56763	298
258.57742	297
258.58722	301
258.59705	309
258.60684	300
258.61664	311
258.62643	295
258.63626	304
258.64606	300
258.65585	301
258.66565	305
258.67548	305
258.68527	307
258.69507	299
258.70486	295
258.71469	304
258.72449	297
258.73428	301
258.74408	305
258.75391	303
258.7637	305
258.7735	304
258.78329	300
258.79309	299
258.80292	300
258.81271	306
258.82251	303
258.83231	300
258.8421	304
258.8519	302
258.86172	301
258.87152	297
258.88132	305
258.89111	301
258.90091	300
258.91071	304
258.9205	303
258.93033	302
258.94012	302
258.94992	301
258.95972	308
258.96951	305
258.97931	302
258.98911	306
258.9989	304
259.0087	301
259.01849	303
259.02832	292
259.03812	301
259.04791	298
259.05771	307
259.0675	301
259.0773	302
259.0871	301
259.09689	302
259.10669	298
259.11649	304
259.12628	301
259.13608	299
259.14587	309
259.15567	298
259.16547	304
259.17526	302
259.18506	302
259.19485	307
259.20465	299
259.21445	305
259.22424	298
259.23404	305
259.24384	305
259.25363	300
259.26343	301
259.27322	302
259.28302	292
259.29282	301
259.30261	298
259.31241	295
259.3222	300
259.33197	299
259.34177	307
259.35156	304
259.36136	295
259.37115	297
259.38095	296
259.39075	298
259.40054	302
259.41034	306
259.42014	298
259.4299	305
259.4397	301
259.44949	298
259.45929	298
259.46909	305
259.47888	301
259.48868	299
259.49844	300
259.50824	301
259.51804	299
259.52783	300
259.53763	305
259.54739	304
259.55719	299
259.56699	301
259.57678	304
259.58658	305
259.59634	302
259.60614	300
259.61594	300
259.62573	301
259.63553	303
259.64529	303
259.65509	306
259.66489	301
259.67468	298
259.68445	300
259.69424	301
259.70404	308
259.71384	304
259.7236	297
259.7334	301
259.74319	304
259.75296	300
259.76276	302
259.77255	308
259.78235	308
259.79211	302
259.80191	300
259.81171	304
259.82147	303
259.83127	304
259.84106	306
259.85083	300
259.86063	298
259.87042	306
259.88019	304
259.88998	307
259.89978	301
259.90955	302
259.91934	300
259.92911	302
259.9389	302
259.9487	303
259.95847	301
259.96826	296
259.97803	302
259.98782	308
259.99762	303
260.00739	301
260.01718	298
260.02695	299
260.03674	296
260.04651	300
260.0563	304
260.0661	299
260.07587	306
260.08566	300
260.09543	301
260.10522	300
260.11499	297
260.12479	298
260.13455	298
260.14435	301
260.15411	305
260.16391	302
260.17368	307
260.18347	302
260.19324	303
260.20303	298
260.2128	305
260.2226	302
260.23236	301
260.24216	301
260.25192	301
260.26172	309
260.27148	304
260.28125	299
260.29105	307
260.30081	306
260.31061	308
260.32037	301
260.33017	305
260.33994	302
260.3497	303
260.3595	306
260.36926	309
260.37906	299
260.38882	299
260.39859	300
260.40839	299
260.41815	304
260.42792	301
260.43771	301
260.44748	304
260.45728	304
260.46704	304
260.47681	303
260.4866	299
260.49637	304
260.50613	298
260.51593	305
260.5257	307
260.53546	299
260.54523	302
260.55502	305
260.56479	309
260.57455	302
260.58435	298
260.59412	301
260.60388	303
260.61368	300
260.62344	303
260.63321	301
260.64297	302
260.65277	301
260.66254	308
260.6723	299
260.68207	301
260.69186	296
260.70163	302
260.7114	302
260.72116	299
260.73093	306
260.74072	296
260.75049	301
260.76025	308
260.77002	304
260.77979	303
260.78958	292
260.79935	299
260.80911	300
260.81888	302
260.82864	303
260.83841	296
260.84821	306
260.85797	307
260.86774	301
260.8775	301
260.88727	305
260.89703	299
260.9068	306
260.91656	303
260.92636	306
260.93613	303
260.94589	304
260.95566	303
260.96542	303
260.97519	307
260.98495	301
260.99472	299
261.00449	295
261.01425	300
261.02402	300
261.03378	303
261.04355	300
261.05334	302
261.06311	304
261.07288	299
261.08264	298
261.09241	299
261.10217	302
261.11194	298
261.1217	303
261.13147	301
261.14124	300
261.151	307
261.16077	303
261.17053	300
261.1803	300
261.19006	297
261.19983	301
261.20959	296
261.21936	301
261.22913	303
261.23886	300
261.24863	306
261.25839	300
261.26816	306
261.27792	306
261.28769	302
261.29745	304
261.30722	303
261.31699	301
261.32675	301
261.33652	298
261.34628	297
261.35602	297
261.36578	303
261.37555	298
261.38531	301
261.39508	304
261.40485	304
261.41461	299
261.42438	297
261.43411	306
261.44388	308
261.45364	303
261.46341	301
261.47318	302
261.48294	303
261.49268	300
261.50244	309
261.51221	302
261.52197	305
261.53174	303
261.54147	301
261.55124	297
261.561	306
261.57077	303
261.58051	304
261.59027	301
261.60004	300
261.6098	301
261.61957	302
261.6293	297
261.63907	304
261.64883	304
261.65857	307
261.66833	302
261.6781	297
261.68787	303
261.6976	308
261.70737	302
261.71713	301
261.72687	298
261.73663	303
261.7464	299
261.75616	303
261.7659	299
261.77567	304
261.78543	308
261.79517	303
261.80493	300
261.81467	300
261.82443	306
261.8342	303
261.84393	295
261.8537	304
261.86346	303
261.8732	294
261.88297	300
261.89273	292
261.90247	296
261.91223	303
261.92197	300
261.93173	301
261.94147	296
261.95123	305
261.961	302
261.97073	303
261.9805	304
261.99023	300
262	301
262.00974	301
262.0195	303
262.02924	304
262.039	290
262.04877	296
262.0585	294
262.06827	301
262.078	302
262.08777	303
262.0975	302
262.10727	303
262.117	300
262.12677	301
262.13651	304
262.14627	308
262.15601	301
262.16574	304
262.17551	300
262.18524	303
262.19501	301
262.20474	296
262.21451	299
262.22424	302
262.23401	302
262.24374	304
262.25348	297
262.26324	299
262.27298	294
262.28275	311
262.29248	300
262.30222	303
262.31198	301
262.32172	302
262.33148	302
262.34122	306
262.35095	293
262.36072	302
262.37045	305
262.38019	299
262.38995	298
262.39969	304
262.40942	305
