Date and Time:                Sat Jan 28 17:07:35.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         200
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              229
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
215.49551	578
215.51695	573
215.53838	563
215.5598	561
215.58122	557
215.60266	575
215.62408	559
215.64551	552
215.66693	569
215.68835	567
215.70978	577
215.73122	560
215.75264	800
215.77406	559
215.79549	574
215.81691	594
215.83833	588
215.85976	557
215.88118	567
215.9026	582
215.92403	571
215.94547	567
215.96689	570
215.98831	631
216.00974	560
216.03116	580
216.05258	569
216.07399	639
216.09541	668
216.11684	572
216.13826	568
216.15968	572
216.18111	622
216.20253	591
216.22395	588
216.24538	623
216.2668	557
216.28821	558
216.30963	587
216.33105	565
216.35248	634
216.3739	592
216.39532	568
216.41673	558
216.43816	583
216.45958	583
216.481	606
216.50241	581
216.52383	596
216.54526	613
216.56667	572
216.58809	578
216.60951	582
216.63092	629
216.65234	574
216.67377	582
216.69518	602
216.7166	582
216.73802	582
216.75943	602
216.78085	604
216.80226	689
216.82368	579
216.84509	595
216.86652	593
216.88792	619
216.90935	585
216.93076	630
216.95218	610
216.97359	639
216.99501	579
217.01642	601
217.03784	584
217.05925	586
217.08066	628
217.10208	586
217.12349	593
217.14491	609
217.16632	591
217.18773	586
217.20915	600
217.23056	581
217.25197	581
217.27339	572
217.2948	588
217.31621	581
217.33762	585
217.35904	583
217.38045	587
217.40186	570
217.42326	623
217.44469	596
217.46609	588
217.4875	672
217.50891	571
217.53032	576
217.55173	1360
217.57315	537
217.59456	610
217.61597	575
217.63737	634
217.65878	584
217.68019	596
217.7016	632
217.72301	608
217.74442	575
217.76582	674
217.78723	588
217.80864	666
217.83005	577
217.85146	583
217.87286	566
217.89427	580
217.91568	587
217.93709	572
217.9585	563
217.9799	635
218.00131	588
218.02271	597
218.04411	577
218.06552	585
218.08693	584
218.10834	683
218.12975	694
218.15115	595
218.17255	607
218.19395	559
218.21536	598
218.23677	613
218.25816	570
218.27957	574
218.30098	571
218.32239	581
218.34378	589
218.36519	579
218.3866	569
218.40799	565
218.4294	584
218.45079	569
218.4722	595
218.49361	559
218.515	603
218.53641	606
218.5578	595
218.57921	573
218.60062	578
218.62201	568
218.64342	662
218.66481	565
218.68622	567
218.70761	577
218.72902	580
218.75041	577
218.77182	590
218.79321	589
218.81461	586
218.83601	560
218.85741	589
218.87881	559
218.90021	579
218.9216	570
218.94301	580
218.9644	561
218.98579	595
219.0072	555
219.02859	569
219.04999	568
219.0714	653
219.09279	564
219.11418	570
219.13557	577
219.15698	559
219.17838	585
219.19977	572
219.22116	636
219.24255	558
219.26396	575
219.28535	600
219.30675	610
219.32814	601
219.34953	620
219.37093	629
219.39232	579
219.41371	582
219.4351	591
219.45651	609
219.47791	569
219.4993	591
219.52069	572
219.54208	588
219.56348	573
219.58487	569
219.60626	587
219.62766	578
219.64905	582
219.67043	559
219.69182	589
219.71321	568
219.7346	600
219.756	574
219.77739	580
219.79878	589
219.82018	565
219.84157	576
219.86295	574
219.88434	560
219.90573	557
219.92712	593
219.94852	557
219.96989	589
219.99129	577
220.01268	589
220.03406	585
220.05545	588
220.07684	580
220.09824	595
220.11961	576
220.14101	576
220.1624	577
220.18378	575
220.20517	639
220.22655	569
220.24794	585
220.26933	619
220.29071	579
220.3121	620
220.33348	583
220.35487	565
220.37625	591
220.39764	578
220.41902	577
220.44041	580
220.46179	581
220.48318	559
220.50456	573
220.52596	568
220.54733	584
220.56873	564
