# wl center_tx left_tx right_tx top_tx bottom_tx
320.6439584 0.4637050 0.4513826 0.4919104 0.4891149 0.4404653
320.6648745 0.4671568 0.4554119 0.4930001 0.4873299 0.4423505
320.6858006 0.4705709 0.4583046 0.4915759 0.4844767 0.4444281
320.7067167 0.4766977 0.4634884 0.4936486 0.4845983 0.4489538
320.7276428 0.4796768 0.4675878 0.4913326 0.4802056 0.4529355
320.7485588 0.4823896 0.4709903 0.4897505 0.4764463 0.4567337
320.7694849 0.4836679 0.4728786 0.4863375 0.4722797 0.4604551
320.7904010 0.4859544 0.4754916 0.4832775 0.4679726 0.4631156
320.8113271 0.4855280 0.4776372 0.4816643 0.4625838 0.4665589
320.8322432 0.4864155 0.4804256 0.4787110 0.4595610 0.4703459
320.8531693 0.4869176 0.4833091 0.4766296 0.4550593 0.4719385
320.8740854 0.4881672 0.4855123 0.4732614 0.4507273 0.4748778
320.8949815 0.4855361 0.4853825 0.4663450 0.4439712 0.4757467
320.9158976 0.4860648 0.4861239 0.4632646 0.4384534 0.4777993
320.9368237 0.4848348 0.4867845 0.4572070 0.4326735 0.4806031
320.9577398 0.4852752 0.4898630 0.4518493 0.4282030 0.4836035
320.9786659 0.4817288 0.4875117 0.4457437 0.4205534 0.4849076
320.9995820 0.4788990 0.4871634 0.4408004 0.4158044 0.4863594
321.0205081 0.4738342 0.4845410 0.4343768 0.4101696 0.4870898
321.0414242 0.4706939 0.4843736 0.4318474 0.4072826 0.4870322
321.0623503 0.4655998 0.4817740 0.4257216 0.4014855 0.4867650
321.0832664 0.4621830 0.4796075 0.4211429 0.3970361 0.4855746
321.1041625 0.4584867 0.4780113 0.4165732 0.3930472 0.4862083
321.1250786 0.4553228 0.4755507 0.4108663 0.3883813 0.4859179
321.1460047 0.4515133 0.4716630 0.4056487 0.3839463 0.4840996
321.1669208 0.4454622 0.4680714 0.4004461 0.3807426 0.4829538
321.1878469 0.4432920 0.4650891 0.3966570 0.3774899 0.4822602
321.2087630 0.4374223 0.4613790 0.3928470 0.3744370 0.4799760
321.2296591 0.4308076 0.4553894 0.3880307 0.3720677 0.4757950
321.2505752 0.4260901 0.4530981 0.3862152 0.3702855 0.4737054
321.2715013 0.4204536 0.4459290 0.3833109 0.3673472 0.4698060
321.2924174 0.4162059 0.4444151 0.3799122 0.3662467 0.4662015
321.3133435 0.4143241 0.4407494 0.3769557 0.3663550 0.4641657
321.3342296 0.4092725 0.4364476 0.3741323 0.3636820 0.4592792
321.3551557 0.4060660 0.4310938 0.3712837 0.3625206 0.4551083
321.3760719 0.4018251 0.4264306 0.3692006 0.3609621 0.4527775
321.3969980 0.3990175 0.4229485 0.3686940 0.3619636 0.4481434
321.4179141 0.3925081 0.4163709 0.3655829 0.3613041 0.4436039
321.4388102 0.3907088 0.4145486 0.3678762 0.3641288 0.4411730
321.4597263 0.3862367 0.4092925 0.3670407 0.3644134 0.4355292
321.4806524 0.3839418 0.4066108 0.3671418 0.3670758 0.4328892
321.5015685 0.3797319 0.4011351 0.3662680 0.3655139 0.4257284
321.5224547 0.3791593 0.3992601 0.3670698 0.3692434 0.4230757
321.5433808 0.3769085 0.3950147 0.3658870 0.3699324 0.4189826
321.5642969 0.3744213 0.3923091 0.3680126 0.3729312 0.4154988
321.5851930 0.3737941 0.3887708 0.3688621 0.3766537 0.4118783
321.6061091 0.3703130 0.3848411 0.3680389 0.3778523 0.4053368
321.6270352 0.3688854 0.3826014 0.3714622 0.3821196 0.4032885
321.6479214 0.3682350 0.3804599 0.3733993 0.3868787 0.4007229
321.6688475 0.3673715 0.3793887 0.3773143 0.3917771 0.3967193
321.6897636 0.3668681 0.3763062 0.3806623 0.3968814 0.3951970
321.7106897 0.3653926 0.3731695 0.3819358 0.3995413 0.3889780
321.7315759 0.3679780 0.3732476 0.3867193 0.4047405 0.3872926
321.7525020 0.3668485 0.3729646 0.3897270 0.4114013 0.3847856
321.7733881 0.3696679 0.3716531 0.3921938 0.4163900 0.3826340
321.7943142 0.3687744 0.3698179 0.3967067 0.4216764 0.3790557
321.8152303 0.3708911 0.3699893 0.4021164 0.4293533 0.3785893
321.8361265 0.3716117 0.3696443 0.4074287 0.4371967 0.3780058
321.8570426 0.3716021 0.3689022 0.4130631 0.4423091 0.3754548
321.8779687 0.3747362 0.3688205 0.4188370 0.4509529 0.3754894
321.8988549 0.3767839 0.3704758 0.4246146 0.4578385 0.3722833
321.9197810 0.3770260 0.3705646 0.4307690 0.4648357 0.3721708
