Date and Time:                Sun Jan 29 14:51:43.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	39224
368.99429	38084
369.01495	38342
369.03564	38384
369.0563	38409
369.077	39048
369.09766	38932
369.11832	38910
369.13901	38742
369.15967	38780
369.18033	38666
369.20102	38496
369.22168	38273
369.24237	38731
369.26303	38825
369.28369	39018
369.30438	38941
369.32504	39257
369.3457	39272
369.36636	39295
369.38705	39394
369.40771	39623
369.42838	39572
369.44907	39860
369.46973	39737
369.49039	39745
369.51105	39921
369.53174	39672
369.5524	39898
369.57306	40204
369.59372	40396
369.61441	40692
369.63507	40827
369.65573	40904
369.67639	40736
369.69705	41131
369.71774	41207
369.7384	41466
369.75906	41619
369.77972	42115
369.80038	41850
369.82104	42113
369.84174	42018
369.8624	42110
369.88306	42145
369.90372	42355
369.92438	42381
369.94504	42478
369.9657	42500
369.98636	42536
370.00702	42398
370.02771	42480
370.04837	42297
370.06903	42806
370.08969	42920
370.11035	42765
370.13101	42433
370.15167	42341
370.17233	42566
370.19299	42993
370.21365	43026
370.23431	42837
370.25497	42827
370.27563	42969
370.2963	42704
370.31696	42689
370.33762	42702
370.35828	42340
370.37894	41983
370.3996	41730
370.42026	41597
370.44092	41431
370.46155	41379
370.48221	40944
370.50287	40977
370.52353	40765
370.54419	40591
370.56485	40491
370.58551	40239
370.60617	40156
370.62683	40160
370.64746	39855
370.66812	40349
370.68878	40330
370.70944	40461
370.7301	40309
370.75076	40012
370.77139	39771
370.79205	39027
370.81271	38951
370.83337	39039
370.85403	38652
370.87466	38556
370.89532	38213
370.91599	37893
370.93665	37792
370.95728	37486
370.97794	37421
370.9986	37575
371.01926	37471
371.03989	37313
371.06055	36951
371.08121	36671
371.10184	36695
371.1225	36990
371.14316	36871
371.16379	37000
371.18445	36836
371.20511	36689
371.22574	36359
371.2464	36302
371.26706	36065
371.28769	35885
371.30835	35879
371.32901	35616
371.34964	35701
371.3703	35461
