Date and Time:                Sat Jan 28 14:48:05.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	763
318.6994	768
318.72034	762
318.7413	785
318.76227	798
318.7832	811
318.80417	826
318.8251	839
318.84607	853
318.867	887
318.88797	883
318.90891	900
318.92987	925
318.95081	948
318.97177	954
318.99271	997
319.01367	1022
319.03461	1060
319.05557	1107
319.07651	1160
319.09747	1193
319.11841	1252
319.13937	1317
319.16031	1380
319.18127	1447
319.20221	1536
319.22318	1619
319.24411	1740
319.26505	1850
319.28601	1980
319.30695	2135
319.32791	2298
319.34885	2521
319.36978	2721
319.39075	2973
319.41168	3225
319.43262	3527
319.45358	3871
319.47452	4223
319.49545	4645
319.51642	5093
319.53735	5607
319.55829	6074
319.57925	6556
319.60019	7143
319.62112	7733
319.64209	8382
319.66302	9037
319.68396	9585
319.7049	10149
319.72586	10822
319.7468	11350
319.76773	11997
319.78867	12519
319.80963	13096
319.83057	13485
319.8515	13901
319.87244	14321
319.8934	14831
319.91434	15396
319.93527	15757
319.95621	16108
319.97714	16528
319.99811	16898
320.01904	17342
320.03998	17575
320.06091	17778
320.08185	18127
320.10278	18369
320.12375	18534
320.14468	18874
320.16562	19257
320.18655	19528
320.20749	19826
320.22842	20128
320.24936	20440
320.27029	20587
320.29123	20885
320.31216	21215
320.33313	21409
320.35406	21661
320.375	22083
320.39594	22261
320.41687	22662
320.43781	22696
320.45874	22725
320.47968	22783
320.50061	22645
320.52155	22485
320.54248	22397
320.56342	22388
320.58435	22335
320.60529	22051
320.62622	21769
320.64716	21603
320.66809	21301
320.68903	21022
320.70996	20922
320.7309	20887
320.75183	20846
320.77274	20513
320.79367	20073
320.81461	19863
320.83554	19654
320.85648	19586
320.87741	19455
320.89835	19241
320.91928	19234
320.94022	18890
320.96115	18598
320.98206	18517
321.00299	18135
321.02393	17875
321.04486	17884
321.0658	17709
321.08673	17645
321.10764	17486
321.12857	17342
321.14951	17229
