Date and Time:                Sat Jan 28 16:11:23.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              290
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



268.4061	20671
268.42731	19660
268.44852	19673
268.46973	19616
268.49094	19678
268.51215	19877
268.53336	19815
268.55457	19734
268.57578	19656
268.59698	19601
268.61819	19621
268.6394	19314
268.66061	19204
268.68179	19302
268.703	19376
268.72421	19471
268.74542	19427
268.76663	19494
268.78784	19563
268.80905	19559
268.83026	19374
268.85147	19474
268.87268	19442
268.89389	19407
268.91507	19335
268.93628	19369
268.95749	19286
268.9787	19324
268.99991	19339
269.02112	19324
269.04233	19406
269.06351	19531
269.08472	19564
269.10593	19435
269.12714	19430
269.14835	19477
269.16953	19496
269.19073	19595
269.21194	19599
269.23315	19592
269.25436	19526
269.27554	19460
269.29675	19367
269.31796	19306
269.33917	19397
269.36035	19502
269.38156	19552
269.40277	19541
269.42398	19449
269.44516	19428
269.46637	19372
269.48758	19360
269.50876	19445
269.52997	19483
269.55118	19540
269.57236	19520
269.59357	19403
269.61478	19330
269.63599	19498
269.65717	19605
269.67838	19532
269.69955	19584
269.72076	19543
269.74197	19608
269.76315	19614
269.78436	19529
269.80557	19489
269.82675	19409
269.84796	19244
269.86914	19048
269.89035	19064
269.91156	19036
269.93274	19012
269.95395	19003
269.97513	19006
269.99634	19062
270.01752	18982
270.03873	18996
270.05994	18939
270.08112	19001
270.10233	19078
270.1235	19123
270.14471	19304
270.16589	19427
270.1871	19494
270.20828	19522
270.22949	19534
270.25067	19471
270.27188	19397
270.29306	19421
270.31427	19442
270.33545	19522
270.35666	19478
270.37784	19355
270.39902	19425
270.42023	19425
270.44141	19374
270.46262	19312
270.4838	19475
270.505	19644
270.52618	19621
270.54736	19444
270.56857	19540
270.58975	19592
270.61096	19805
270.63214	19884
270.65332	19959
270.67453	20199
270.69571	20076
270.71689	20081
270.7381	20120
270.75928	19975
270.78046	19957
270.80167	20080
270.82285	20222
270.84402	20228
270.86523	20123
