Date and Time:                Mon Apr 25 12:45:01.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	304
388.15466	309
388.16342	302
388.17215	294
388.18091	299
388.18967	302
388.19843	301
388.20715	302
388.21591	306
388.22467	310
388.2334	305
388.24216	305
388.25092	297
388.25967	303
388.2684	301
388.27716	300
388.28592	306
388.29465	302
388.30341	304
388.31216	308
388.32089	304
388.32965	305
388.33838	307
388.34714	312
388.3559	306
388.36462	307
388.37338	305
388.38214	307
388.39087	300
388.39963	303
388.40836	307
388.41711	308
388.42587	302
388.4346	310
388.44336	308
388.45209	308
388.46085	294
388.46957	300
388.47833	304
388.48706	303
388.49582	304
388.50455	306
388.51331	303
388.52203	304
388.53079	304
388.53952	303
388.54828	304
388.55701	301
388.56577	306
388.57449	301
388.58325	305
388.59198	303
388.60074	304
388.60947	309
388.61823	299
388.62695	304
388.63571	301
388.64444	306
388.65317	309
388.66193	305
388.67065	297
388.67941	307
388.68814	302
388.69687	302
388.70563	300
388.71436	306
388.72311	307
388.73184	302
388.74057	307
388.74933	305
388.75806	306
388.76678	304
388.77554	301
388.78427	306
388.793	306
388.80176	307
388.81049	310
388.81921	299
388.82797	299
388.8367	308
388.84543	305
388.85416	299
388.86292	308
388.87164	303
388.88037	307
388.88913	296
388.89786	302
388.90659	302
388.91531	301
388.92407	301
388.9328	306
388.94153	302
388.95026	307
388.95898	304
388.96774	304
388.97647	300
388.9852	306
388.99393	303
389.00266	300
389.01141	302
389.02014	297
389.02887	309
389.0376	304
389.04633	303
389.05505	298
389.06378	303
389.07254	305
389.08127	302
389.09	300
389.09872	307
389.10745	306
389.11618	299
389.12491	290
389.13364	306
389.14236	298
389.15112	304
389.15985	304
389.16858	303
389.17731	309
389.18604	305
389.19476	304
389.20349	309
389.21222	305
389.22095	305
389.22968	300
389.2384	307
389.24713	304
389.25586	308
389.26459	304
389.27332	308
389.28204	305
389.29077	305
389.2995	308
389.30823	307
