Date and Time:                Mon Apr 25 12:44:00.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	303
388.15466	307
388.16342	299
388.17215	299
388.18091	309
388.18967	305
388.19843	297
388.20715	297
388.21591	312
388.22467	301
388.2334	303
388.24216	300
388.25092	304
388.25967	299
388.2684	305
388.27716	307
388.28592	305
388.29465	300
388.30341	304
388.31216	308
388.32089	300
388.32965	307
388.33838	301
388.34714	301
388.3559	303
388.36462	305
388.37338	307
388.38214	305
388.39087	305
388.39963	304
388.40836	302
388.41711	298
388.42587	305
388.4346	306
388.44336	304
388.45209	303
388.46085	305
388.46957	306
388.47833	309
388.48706	310
388.49582	304
388.50455	303
388.51331	301
388.52203	303
388.53079	309
388.53952	302
388.54828	296
388.55701	301
388.56577	300
388.57449	299
388.58325	306
388.59198	302
388.60074	301
388.60947	301
388.61823	305
388.62695	307
388.63571	306
388.64444	303
388.65317	305
388.66193	305
388.67065	307
388.67941	304
388.68814	306
388.69687	305
388.70563	309
388.71436	304
388.72311	304
388.73184	301
388.74057	305
388.74933	306
388.75806	307
388.76678	308
388.77554	301
388.78427	298
388.793	306
388.80176	308
388.81049	300
388.81921	302
388.82797	300
388.8367	308
388.84543	307
388.85416	310
388.86292	305
388.87164	296
388.88037	311
388.88913	301
388.89786	305
388.90659	302
388.91531	305
388.92407	301
388.9328	302
388.94153	307
388.95026	309
388.95898	308
388.96774	304
388.97647	305
388.9852	305
388.99393	307
389.00266	306
389.01141	303
389.02014	300
389.02887	301
389.0376	305
389.04633	298
389.05505	300
389.06378	305
389.07254	298
389.08127	296
389.09	302
389.09872	303
389.10745	303
389.11618	302
389.12491	298
389.13364	304
389.14236	306
389.15112	302
389.15985	301
389.16858	297
389.17731	301
389.18604	305
389.19476	305
389.20349	304
389.21222	303
389.22095	301
389.22968	302
389.2384	304
389.24713	306
389.25586	299
389.26459	304
389.27332	305
389.28204	303
389.29077	307
389.2995	300
389.30823	304
