Date and Time:                Mon Apr 25 12:46:45.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.12
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
391.12811	39047
391.13681	38968
391.14548	38823
391.15417	38778
391.16287	38953
391.17154	38936
391.18024	38723
391.18893	38693
391.1976	38768
391.2063	38766
391.215	38506
391.22366	38428
391.23236	38410
391.24106	38478
391.24973	38059
391.25842	38501
391.26709	38307
391.27579	38481
391.28448	38327
391.29315	38283
391.30185	38308
391.31052	38112
391.31921	38290
391.32788	38454
391.33658	38562
391.34525	38623
391.35394	38575
391.36261	38739
391.37131	38445
391.38	38391
391.38867	38374
391.39737	38344
391.40604	38434
391.41473	38158
391.4234	38286
391.43207	38312
391.44077	38151
391.44943	38081
391.45813	38126
391.4668	38329
391.47549	38313
391.48416	38695
391.49286	38618
391.50153	38480
391.51019	38429
391.51889	38527
391.52756	38517
391.53625	38570
391.54492	38572
391.55359	38687
391.56229	38499
391.57095	38622
391.57965	38452
391.58832	38542
391.59698	38564
391.60568	38328
391.61435	38664
391.62302	38823
391.63171	38733
391.64038	38398
391.64905	38444
391.65775	38685
391.66641	38730
391.67508	38516
391.68378	38670
391.69244	38618
391.70111	38281
391.70978	38217
391.71848	38503
391.72714	38403
391.73581	38649
391.74451	38518
391.75317	38782
391.76184	38745
391.77051	38769
391.77917	38660
391.78787	38603
391.79654	38484
391.80521	38348
391.81387	38601
391.82257	38414
391.83124	38414
391.8399	38269
391.84857	38495
391.85724	38485
391.86591	38372
391.8746	38408
391.88327	38526
391.89194	38645
391.9006	38622
391.90927	38627
391.91794	38924
391.92661	39010
391.9353	38953
391.94397	39199
391.95264	39221
391.9613	38837
391.96997	38867
391.97864	39001
391.9873	38839
391.99597	38950
392.00464	38928
392.01331	39065
392.02197	38958
392.03064	38810
392.03931	38908
392.04797	38793
392.05664	38888
392.06534	38968
392.07401	39233
392.08267	39054
392.09134	39129
392.10001	38769
392.10867	39239
392.11734	39185
392.12598	39287
392.13464	39467
392.14331	39584
392.15198	39659
392.16064	39440
392.16931	39305
392.17798	39512
392.18665	39613
392.19531	39290
392.20398	39424
392.21265	39443
392.22131	39270
392.22998	39270
392.23865	39250
392.24731	39242
392.25595	39042
392.26462	38972
392.27328	38862
392.28195	39051
392.29062	39080
392.29929	38901
392.30795	39001
392.31659	39231
392.32526	39129
392.33392	39438
392.34259	39388
392.35126	39275
392.35992	39326
392.36856	39349
392.37723	39516
392.38589	39241
392.39456	38997
392.40323	39384
392.41187	39251
392.42053	38986
392.4292	38862
392.43787	39008
392.4465	39099
392.45517	39157
392.46384	39079
392.4725	39137
392.48114	39144
392.48981	39080
392.49847	39031
392.50711	39185
392.51578	39131
392.52444	39290
392.53308	39239
392.54175	39433
392.55042	39465
392.55905	39152
392.56772	39047
392.57639	39189
392.58502	38890
392.59369	39025
392.60236	39140
392.61099	39319
392.61966	39218
392.62833	38863
392.63696	39103
392.64563	39396
392.65427	39102
392.66293	39274
392.6716	39582
392.68024	39300
392.6889	39190
392.69754	39164
392.70621	39387
392.71484	39387
392.72351	39520
392.73215	39611
392.74081	39599
392.74948	39764
392.75812	39412
392.76678	39702
392.77542	39739
392.78409	39693
392.79272	39600
392.80139	39584
392.81003	39539
392.8187	39381
392.82733	39233
392.83597	39405
392.84464	39265
392.85327	38903
392.86194	38943
392.87057	39160
392.87924	39280
392.88788	39352
392.89655	39541
392.90518	39395
392.91382	39629
392.92249	39427
392.93112	39792
392.93979	39592
392.94843	39377
392.95706	39303
392.96573	39512
392.97437	39487
392.983	39621
392.99167	39544
393.00031	39596
393.00894	39274
393.01761	39097
393.02625	39186
393.03488	39186
393.04355	39194
393.05219	38934
393.06082	38947
393.06949	39075
393.07813	39101
393.08676	38708
393.09543	38927
393.10406	39026
393.1127	38899
393.12134	38735
393.13	38929
393.13864	39173
393.14728	39114
393.15591	38962
393.16455	39174
393.17322	38937
393.18185	38823
393.19049	38916
393.19913	39027
393.20779	39027
393.21643	38822
393.22507	38762
393.2337	39210
393.24234	39004
393.25098	39252
393.25964	39101
393.26828	39031
393.27692	38986
393.28555	38900
393.29419	38974
393.30283	39078
393.31146	38998
393.3201	38801
393.32877	39078
393.3374	39067
393.34604	38911
393.35468	38928
393.36331	39052
393.37195	39106
393.38058	38961
393.38922	39017
393.39786	39012
393.40649	39116
393.41513	39129
393.42377	39100
393.4324	39175
393.44104	39218
393.44968	39107
393.45831	39076
393.46695	39208
393.47559	39103
393.48422	39097
393.49286	39282
393.5015	39322
393.51013	39165
393.51877	39176
393.5274	39352
393.53604	39591
393.54468	39228
393.55331	39525
393.56195	39448
393.57059	39333
393.57922	39125
393.58786	39374
393.5965	39198
393.60513	39380
393.61374	39368
393.62238	39405
393.63101	39411
393.63965	39250
393.64828	38959
393.65692	39128
393.66556	39277
393.67419	39368
393.6828	39304
393.69144	39401
393.70007	39791
393.70871	39353
393.71735	39450
393.72598	39574
393.73459	39790
393.74323	39640
393.75186	39456
393.7605	39798
393.76913	39619
393.77774	39619
393.78638	39316
393.79501	39525
393.80365	39487
393.81226	39396
393.82089	39625
393.82953	39847
393.83817	40007
393.84677	39711
393.85541	39596
393.86404	39614
393.87265	39688
393.88129	39729
393.88992	39739
393.89853	39968
393.90717	39829
393.9158	39642
