Date and Time:                Mon Apr 25 12:44:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	309
388.15466	304
388.16342	312
388.17215	300
388.18091	301
388.18967	307
388.19843	303
388.20715	303
388.21591	298
388.22467	304
388.2334	300
388.24216	308
388.25092	309
388.25967	307
388.2684	307
388.27716	299
388.28592	307
388.29465	306
388.30341	300
388.31216	304
388.32089	305
388.32965	306
388.33838	302
388.34714	307
388.3559	303
388.36462	304
388.37338	304
388.38214	308
388.39087	309
388.39963	303
388.40836	303
388.41711	305
388.42587	301
388.4346	306
388.44336	313
388.45209	299
388.46085	297
388.46957	304
388.47833	297
388.48706	306
388.49582	302
388.50455	306
388.51331	305
388.52203	308
388.53079	308
388.53952	304
388.54828	304
388.55701	308
388.56577	302
388.57449	308
388.58325	298
388.59198	308
388.60074	303
388.60947	306
388.61823	300
388.62695	300
388.63571	310
388.64444	306
388.65317	307
388.66193	305
388.67065	303
388.67941	304
388.68814	305
388.69687	306
388.70563	305
388.71436	299
388.72311	304
388.73184	307
388.74057	300
388.74933	308
388.75806	303
388.76678	303
388.77554	304
388.78427	299
388.793	303
388.80176	312
388.81049	303
388.81921	304
388.82797	305
388.8367	303
388.84543	304
388.85416	298
388.86292	302
388.87164	304
388.88037	303
388.88913	304
388.89786	303
388.90659	304
388.91531	300
388.92407	304
388.9328	302
388.94153	301
388.95026	310
388.95898	302
388.96774	310
388.97647	305
388.9852	304
388.99393	310
389.00266	308
389.01141	303
389.02014	301
389.02887	311
389.0376	304
389.04633	298
389.05505	304
389.06378	304
389.07254	306
389.08127	298
389.09	301
389.09872	307
389.10745	311
389.11618	301
389.12491	306
389.13364	296
389.14236	303
389.15112	302
389.15985	303
389.16858	308
389.17731	306
389.18604	303
389.19476	305
389.20349	302
389.21222	301
389.22095	303
389.22968	310
389.2384	300
389.24713	300
389.25586	303
389.26459	301
389.27332	305
389.28204	299
389.29077	299
389.2995	304
389.30823	301
