Date and Time:                Mon Apr 25 13:31:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         60
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	478
388.15466	471
388.16342	455
388.17215	463
388.18091	471
388.18967	459
388.19843	454
388.20715	468
388.21591	456
388.22467	456
388.2334	455
388.24216	472
388.25092	459
388.25967	459
388.2684	462
388.27716	459
388.28592	462
388.29465	457
388.30341	476
388.31216	452
388.32089	450
388.32965	458
388.33838	460
388.34714	451
388.3559	455
388.36462	457
388.37338	454
388.38214	448
388.39087	446
388.39963	447
388.40836	445
388.41711	455
388.42587	450
388.4346	458
388.44336	458
388.45209	464
388.46085	450
388.46957	462
388.47833	462
388.48706	474
388.49582	445
388.50455	455
388.51331	447
388.52203	451
388.53079	458
388.53952	450
388.54828	461
388.55701	440
388.56577	466
388.57449	444
388.58325	446
388.59198	456
388.60074	446
388.60947	456
388.61823	461
388.62695	455
388.63571	458
388.64444	459
388.65317	456
388.66193	446
388.67065	456
388.67941	444
388.68814	465
388.69687	443
388.70563	449
388.71436	442
388.72311	462
388.73184	460
388.74057	470
388.74933	445
388.75806	450
388.76678	456
388.77554	469
388.78427	443
388.793	449
388.80176	454
388.81049	459
388.81921	447
388.82797	448
388.8367	452
388.84543	444
388.85416	455
388.86292	447
388.87164	445
388.88037	445
388.88913	443
388.89786	445
388.90659	453
388.91531	436
388.92407	453
388.9328	450
388.94153	442
388.95026	441
388.95898	448
388.96774	435
388.97647	442
388.9852	452
388.99393	441
389.00266	432
389.01141	437
389.02014	439
389.02887	437
389.0376	448
389.04633	451
389.05505	439
389.06378	439
389.07254	439
389.08127	446
389.09	455
389.09872	466
389.10745	440
389.11618	444
389.12491	441
389.13364	436
389.14236	443
389.15112	440
389.15985	439
389.16858	452
389.17731	437
389.18604	447
389.19476	426
389.20349	440
389.21222	441
389.22095	444
389.22968	430
389.2384	457
389.24713	438
389.25586	430
389.26459	443
389.27332	450
389.28204	434
389.29077	442
389.2995	429
389.30823	441
