Date and Time:                Wed Oct 26 16:15:49.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         8.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
199.39864	15963
199.42014	16143
199.44164	16123
199.46315	16233
199.48465	16218
199.50615	16263
199.52765	16223
199.54915	16205
199.57065	16213
199.59216	16016
199.61366	15962
199.63516	15908
199.65666	16109
199.67816	16074
199.69966	16005
199.72116	16226
199.74266	16242
199.76416	16212
199.78566	16331
199.80716	16570
199.82866	16559
199.85016	16402
199.87166	16366
199.89316	16523
199.91466	16666
199.93616	16686
199.95766	16684
199.97916	16638
200.00066	16665
200.02216	16873
200.04366	16875
200.06516	16917
200.08664	16781
200.10814	16807
200.12964	16742
200.15114	16835
200.17264	16932
200.19414	16973
200.21562	16963
200.23712	16890
200.25862	16846
200.28012	16756
200.30161	16682
200.3231	16776
200.3446	16914
200.3661	16945
200.38759	16826
200.40909	16912
200.43059	16937
200.45207	16948
200.47357	16994
200.49507	16960
200.51656	17090
200.53806	17067
200.55956	17102
200.58104	17097
200.60254	17087
200.62402	17035
200.64552	17091
200.66702	17087
200.68851	17131
200.71001	17214
200.73149	17204
200.75299	17327
200.77448	17212
200.79597	17166
200.81746	17202
200.83896	17142
200.86044	17191
200.88194	17128
200.90343	17181
200.92491	17313
200.94641	17343
200.9679	17366
200.9894	17229
201.01088	17219
201.03236	17277
201.05386	17309
201.07535	17394
201.09683	17507
201.11833	17516
201.13982	17596
201.1613	17524
201.1828	17607
201.20428	17657
201.22577	17639
201.24725	17711
201.26875	17717
201.29024	17686
201.31172	17717
201.33321	17701
201.35469	17689
201.37619	17772
201.39767	17895
201.41916	17912
201.44064	17968
201.46213	18041
201.48361	18128
201.50511	18149
201.5266	18139
201.54808	18064
201.56956	18092
201.59105	18205
201.61253	18261
201.63402	18421
201.6555	18436
201.67699	18337
201.69847	18316
201.71996	18349
201.74144	18355
201.76292	18465
201.78441	18467
201.80589	18558
201.82738	18598
201.84886	18450
201.87035	18515
201.89183	18639
201.9133	18629
201.93478	18546
201.95627	18626
201.97775	18673
201.99924	18644
202.02072	18642
202.04221	18624
202.06367	18545
202.08516	18570
202.10664	18656
202.12813	18768
202.14961	18960
202.17108	18877
202.19257	18872
202.21405	18874
202.23553	18908
202.257	18799
202.27849	18745
202.29997	18701
202.32144	18660
202.34293	18705
202.36441	18655
202.38588	18679
202.40736	18728
202.42883	18781
202.45032	18631
202.4718	18627
202.49327	18726
202.51476	18681
202.53622	18720
202.55771	18769
202.57918	18892
202.60066	18998
202.62213	18989
202.64362	19036
202.66508	19180
202.68657	19157
202.70804	19100
202.72952	19110
202.75099	19200
202.77248	19148
202.79395	19172
202.81543	19191
202.8369	19126
202.85837	19233
202.87985	19180
202.90132	19264
202.92279	19474
202.94427	19661
202.96574	19567
202.98721	19582
203.0087	19558
203.03017	19571
203.05164	19631
203.0731	19733
203.09459	19868
203.11606	20058
203.13753	19963
203.159	20008
203.18048	19958
203.20195	19947
203.22342	19949
203.24489	19866
203.26636	20025
203.28783	19931
203.30931	19801
203.33078	19877
203.35225	19884
203.37372	19956
203.39519	19877
203.41666	19769
203.43813	19792
203.45959	19802
203.48106	19810
203.50253	19898
203.524	19934
203.54547	19968
203.56694	19971
203.58841	20155
203.60988	20150
203.63135	20098
203.65282	20131
203.67429	20153
203.69576	20132
203.71722	20099
203.73869	20059
203.76016	20034
203.78163	20051
203.80309	19939
203.82455	19856
203.84602	19923
203.86749	19986
203.88896	20045
203.91043	19990
203.93188	20023
203.95335	19990
203.97482	20002
203.99629	19962
204.01775	20000
204.03922	20177
204.06068	20242
204.08215	20206
204.10361	20245
204.12508	20357
204.14655	20169
204.168	20132
204.18947	20177
204.21094	20128
204.23239	20216
204.25386	20181
204.27531	20178
204.29678	20084
204.31825	20025
204.33971	20084
204.36118	20259
204.38263	20355
204.4041	20371
204.42555	20401
204.44702	20368
204.46848	20364
204.48994	20468
204.5114	20526
204.53287	20571
204.55432	20632
204.57579	20655
204.59724	20775
204.6187	20679
204.64017	20732
204.66162	20752
204.68309	20765
204.70454	20840
204.726	20894
204.74747	20876
204.76892	20883
204.79037	20904
204.81184	20961
204.8333	20994
204.85475	20861
204.87621	20897
204.89767	20917
204.91913	20965
204.94058	20948
204.96204	21109
204.98351	21184
205.00496	21192
205.02641	21301
205.04787	21346
205.06932	21278
205.09077	21321
205.11224	21383
205.1337	21418
205.15515	21477
205.17661	21376
205.19806	21414
205.21951	21473
205.24097	21532
205.26242	21555
205.28387	21593
205.30533	21545
205.32678	21667
205.34824	21644
205.36969	21512
205.39114	21397
205.4126	21403
205.43405	21510
205.45551	21528
205.47696	21630
205.49841	21617
205.51987	21505
205.54132	21523
205.56277	21686
205.58421	21765
205.60567	21804
205.62712	21851
205.64857	21795
205.67003	21910
205.69148	21906
205.71292	21994
205.73438	22014
205.75583	22104
205.77728	22152
205.79872	22134
205.82018	22202
205.84163	22422
205.86308	22535
205.88452	22541
205.90598	22557
205.92743	22631
205.94887	22699
205.97032	22757
205.99178	22891
206.01321	22847
206.03467	22874
206.05611	22859
206.07756	22795
206.09901	22686
206.12045	22682
206.14191	22674
206.16335	22772
206.1848	22783
206.20624	22702
206.22769	22598
206.24913	22789
206.27058	22799
206.29202	22850
206.31348	22750
206.33492	22863
206.35637	22851
206.37781	22780
206.39925	22705
206.4207	22743
206.44214	22749
206.46359	22808
206.48503	22743
206.50647	22870
206.52792	22998
206.54936	23005
206.5708	23016
206.59224	22949
206.61369	22976
206.63513	22940
206.65657	22880
206.67802	22821
206.69946	22767
206.7209	22837
206.74234	22785
206.76378	22833
206.78523	22849
206.80667	22765
206.82811	22675
206.84955	22658
206.87099	22612
206.89243	22582
206.91386	22735
206.93532	22961
206.95676	23043
206.9782	23000
206.99963	22940
207.02107	22989
207.04251	23070
207.06395	23019
207.08539	23085
207.10683	23056
207.12827	22994
207.1497	22916
207.17114	22858
207.19258	22963
207.21402	23069
207.23546	23032
207.2569	23073
207.27832	23219
207.29976	23329
207.3212	23346
207.34264	23223
207.36407	23237
207.38551	23219
207.40695	23168
207.42838	23245
207.44981	23341
207.47125	23652
207.49269	23678
207.51413	23480
207.53555	23477
207.55699	23365
207.57843	23527
