Date and Time:                Wed Oct 26 14:46:00.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         75
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	419
192.05646	421
192.078	414
192.09956	401
192.12112	419
192.14268	410
192.16425	400
192.18581	409
192.20735	392
192.22891	407
192.25047	405
192.27203	417
192.29358	404
192.31514	406
192.3367	407
192.35826	393
192.37981	404
192.40137	396
192.42293	419
192.44449	403
192.46603	401
192.48759	390
192.50916	404
192.5307	402
192.55226	403
192.57381	408
192.59537	395
192.61693	394
192.63847	388
192.66003	400
192.68159	413
192.70314	652
192.7247	474
192.74625	402
192.76781	401
192.78935	406
192.81091	400
192.83246	406
192.85402	397
192.87556	412
192.89713	387
192.91867	403
192.94023	395
192.96178	391
192.98334	405
193.00488	394
193.02643	390
193.04799	389
193.06953	402
193.09109	399
193.11264	390
193.13419	387
193.15575	399
193.17729	403
193.19884	396
193.2204	396
193.24194	395
193.26349	419
193.28505	396
193.30659	393
193.32814	409
193.34969	383
193.37125	426
193.39279	390
193.41434	388
193.43588	388
193.45744	390
193.47899	393
193.50053	408
193.52208	397
193.54362	388
193.56517	396
193.58673	411
193.60828	387
193.62982	399
193.65137	401
193.67291	387
193.69446	379
193.716	391
193.73755	387
193.75909	386
193.78064	399
193.80219	381
193.82375	388
193.84529	375
193.86684	390
193.88838	377
193.90993	390
193.93147	379
193.953	394
193.97455	387
193.99609	385
194.01764	386
194.03918	377
194.06073	380
194.08228	375
194.10382	397
194.12537	389
194.14691	379
194.16846	385
194.18999	380
194.21153	377
194.23308	391
194.25462	382
194.27617	371
194.29771	382
194.31924	379
194.34079	378
194.36234	395
194.38388	406
194.40541	379
194.42696	374
194.4485	379
194.47005	379
194.49158	386
194.51312	382
194.53467	368
194.5562	379
194.57774	385
194.59929	390
194.62082	377
194.64236	370
194.66391	374
194.68544	373
194.70699	375
194.72852	392
194.75006	384
194.77161	377
194.79314	374
194.81468	396
194.83621	376
194.85776	374
194.87929	367
194.90083	374
