Date and Time:                Wed Oct 26 14:40:51.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         75
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	528
192.05646	506
192.078	496
192.09956	483
192.12112	501
192.14268	501
192.16425	477
192.18581	474
192.20735	452
192.22891	459
192.25047	468
192.27203	480
192.29358	468
192.31514	475
192.3367	469
192.35826	465
192.37981	470
192.40137	468
192.42293	490
192.44449	466
192.46603	455
192.48759	478
192.50916	495
192.5307	497
192.55226	470
192.57381	467
192.59537	473
192.61693	478
192.63847	490
192.66003	493
192.68159	480
192.70314	457
192.7247	461
192.74625	491
192.76781	503
192.78935	516
192.81091	502
192.83246	506
192.85402	494
192.87556	488
192.89713	482
192.91867	502
192.94023	500
192.96178	501
192.98334	516
193.00488	504
193.02643	486
193.04799	473
193.06953	488
193.09109	479
193.11264	504
193.13419	503
193.15575	511
193.17729	515
193.19884	510
193.2204	531
193.24194	504
193.26349	525
193.28505	498
193.30659	502
193.32814	517
193.34969	497
193.37125	540
193.39279	503
193.41434	514
193.43588	496
193.45744	506
193.47899	509
193.50053	523
193.52208	523
193.54362	521
193.56517	516
193.58673	545
193.60828	530
193.62982	520
193.65137	521
193.67291	508
193.69446	493
193.716	500
193.73755	511
193.75909	503
193.78064	524
193.80219	510
193.82375	509
193.84529	503
193.86684	513
193.88838	510
193.90993	514
193.93147	519
193.953	506
193.97455	513
193.99609	505
194.01764	520
194.03918	510
194.06073	507
194.08228	525
194.10382	523
194.12537	517
194.14691	512
194.16846	523
194.18999	519
194.21153	514
194.23308	522
194.25462	522
194.27617	506
194.29771	516
194.31924	516
194.34079	518
194.36234	534
194.38388	549
194.40541	521
194.42696	513
194.4485	528
194.47005	511
194.49158	508
194.51312	493
194.53467	472
194.5562	492
194.57774	499
194.59929	491
194.62082	480
194.64236	499
194.66391	495
194.68544	486
194.70699	499
194.72852	530
194.75006	511
194.77161	485
194.79314	490
194.81468	531
194.83621	521
194.85776	516
194.87929	496
194.90083	496
