Date and Time:                Wed Oct 26 12:52:19.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         70
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	434
192.05646	427
192.078	408
192.09956	416
192.12112	415
192.14268	426
192.16425	413
192.18581	409
192.20735	407
192.22891	412
192.25047	416
192.27203	424
192.29358	416
192.31514	418
192.3367	405
192.35826	408
192.37981	411
192.40137	398
192.42293	426
192.44449	407
192.46603	409
192.48759	410
192.50916	417
192.5307	407
192.55226	410
192.57381	415
192.59537	411
192.61693	400
192.63847	404
192.66003	402
192.68159	400
192.70314	400
192.7247	402
192.74625	409
192.76781	401
192.78935	413
192.81091	413
192.83246	412
192.85402	408
192.87556	420
192.89713	397
192.91867	411
192.94023	403
192.96178	398
192.98334	413
193.00488	407
193.02643	399
193.04799	396
193.06953	411
193.09109	402
193.11264	399
193.13419	400
193.15575	397
193.17729	412
193.19884	415
193.2204	405
193.24194	405
193.26349	430
193.28505	399
193.30659	395
193.32814	415
193.34969	532
193.37125	892
193.39279	388
193.41434	403
193.43588	384
193.45744	404
193.47899	394
193.50053	418
193.52208	401
193.54362	393
193.56517	399
193.58673	415
193.60828	390
193.62982	404
193.65137	404
193.67291	405
193.69446	389
193.716	399
193.73755	391
193.75909	392
193.78064	397
193.80219	393
193.82375	401
193.84529	387
193.86684	400
193.88838	393
193.90993	401
193.93147	395
193.953	397
193.97455	400
193.99609	388
194.01764	399
194.03918	393
194.06073	391
194.08228	387
194.10382	405
194.12537	399
194.14691	399
194.16846	389
194.18999	391
194.21153	387
194.23308	384
194.25462	391
194.27617	382
194.29771	386
194.31924	386
194.34079	392
194.36234	398
194.38388	416
194.40541	375
194.42696	385
194.4485	392
194.47005	383
194.49158	395
194.51312	390
194.53467	386
194.5562	395
194.57774	390
194.59929	398
194.62082	381
194.64236	380
194.66391	378
194.68544	385
194.70699	379
194.72852	402
194.75006	387
194.77161	383
194.79314	381
194.81468	395
194.83621	391
194.85776	388
194.87929	373
194.90083	388
