Date and Time:                Wed Oct 26 15:06:16.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         75
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	424
192.05646	412
192.078	400
192.09956	407
192.12112	407
192.14268	402
192.16425	397
192.18581	398
192.20735	382
192.22891	393
192.25047	404
192.27203	416
192.29358	404
192.31514	393
192.3367	398
192.35826	394
192.37981	396
192.40137	395
192.42293	416
192.44449	398
192.46603	392
192.48759	393
192.50916	408
192.5307	393
192.55226	390
192.57381	399
192.59537	400
192.61693	394
192.63847	383
192.66003	389
192.68159	385
192.70314	391
192.7247	380
192.74625	393
192.76781	396
192.78935	413
192.81091	405
192.83246	396
192.85402	400
192.87556	412
192.89713	387
192.91867	403
192.94023	384
192.96178	390
192.98334	405
193.00488	397
193.02643	394
193.04799	382
193.06953	395
193.09109	380
193.11264	381
193.13419	390
193.15575	383
193.17729	396
193.19884	392
193.2204	400
193.24194	387
193.26349	416
193.28505	390
193.30659	387
193.32814	395
193.34969	379
193.37125	411
193.39279	382
193.41434	392
193.43588	376
193.45744	390
193.47899	389
193.50053	405
193.52208	385
193.54362	387
193.56517	389
193.58673	404
193.60828	391
193.62982	393
193.65137	395
193.67291	393
193.69446	378
193.716	386
193.73755	392
193.75909	379
193.78064	393
193.80219	373
193.82375	379
193.84529	373
193.86684	385
193.88838	380
193.90993	386
193.93147	376
193.953	384
193.97455	385
193.99609	376
194.01764	379
194.03918	383
194.06073	374
194.08228	375
194.10382	397
194.12537	384
194.14691	373
194.16846	375
194.18999	373
194.21153	377
194.23308	381
194.25462	384
194.27617	373
194.29771	376
194.31924	371
194.34079	373
194.36234	387
194.38388	404
194.40541	372
194.42696	375
194.4485	381
194.47005	373
194.49158	378
194.51312	380
194.53467	376
194.5562	381
194.57774	377
194.59929	387
194.62082	367
194.64236	369
194.66391	367
194.68544	365
194.70699	375
194.72852	386
194.75006	375
194.77161	373
194.79314	371
194.81468	387
194.83621	375
194.85776	377
194.87929	364
194.90083	377
