Date and Time:                Wed Oct 26 12:49:41.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         70
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
200.45207	376
200.47357	380
200.49507	369
200.51656	380
200.53806	373
200.55956	382
200.58104	365
200.60254	372
200.62402	378
200.64552	375
200.66702	374
200.68851	374
200.71001	445
200.73149	372
200.75299	374
200.77448	385
200.79597	378
200.81746	367
200.83896	371
200.86044	373
200.88194	367
200.90343	381
200.92491	377
200.94641	397
200.9679	367
200.9894	370
201.01088	368
201.03236	371
201.05386	391
201.07535	370
201.09683	370
201.11833	377
201.13982	394
201.1613	374
201.1828	379
201.20428	391
201.22577	366
201.24725	376
201.26875	377
201.29024	377
201.31172	399
201.33321	383
201.35469	376
201.37619	376
201.39767	372
201.41916	376
201.44064	385
201.46213	385
201.48361	384
201.50511	385
201.5266	408
201.54808	394
201.56956	380
201.59105	395
201.61253	380
201.63402	379
201.6555	388
201.67699	375
201.69847	374
201.71996	380
201.74144	382
201.76292	412
201.78441	368
201.80589	376
201.82738	385
201.84886	386
201.87035	385
201.89183	392
201.9133	398
201.93478	389
201.95627	375
201.97775	388
201.99924	378
202.02072	373
202.04221	394
202.06367	398
202.08516	379
202.10664	386
202.12813	381
202.14961	379
202.17108	394
202.19257	369
202.21405	381
202.23553	373
202.257	375
202.27849	381
202.29997	370
202.32144	384
202.34293	377
202.36441	364
202.38588	391
202.40736	385
202.42883	384
202.45032	404
202.4718	372
202.49327	368
202.51476	487
202.53622	373
202.55771	397
202.57918	381
202.60066	390
202.62213	380
202.64362	382
202.66508	395
202.68657	382
202.70804	379
202.72952	413
202.75099	379
202.77248	405
202.79395	388
202.81543	376
202.8369	377
202.85837	376
202.87985	376
202.90132	374
202.92279	366
202.94427	401
202.96574	371
202.98721	378
203.0087	380
203.03017	374
203.05164	379
203.0731	411
203.09459	421
203.11606	385
203.13753	381
203.159	371
203.18048	382
203.20195	387
203.22342	386
203.24489	376
203.26636	373
203.28783	371
203.30931	382
203.33078	380
203.35225	372
203.37372	375
203.39519	385
203.41666	374
203.43813	386
203.45959	373
203.48106	382
203.50253	385
203.524	386
203.54547	373
203.56694	374
203.58841	377
203.60988	405
203.63135	377
203.65282	372
203.67429	371
203.69576	377
203.71722	377
203.73869	384
203.76016	375
203.78163	376
203.80309	368
203.82455	382
203.84602	374
203.86749	376
203.88896	377
203.91043	374
203.93188	375
203.95335	381
203.97482	367
203.99629	374
204.01775	364
204.03922	402
204.06068	377
204.08215	370
204.10361	375
204.12508	372
204.14655	381
204.168	375
204.18947	395
204.21094	367
204.23239	380
204.25386	382
204.27531	373
204.29678	370
204.31825	378
204.33971	374
204.36118	376
204.38263	374
204.4041	382
204.42555	384
204.44702	373
204.46848	390
204.48994	375
204.5114	381
204.53287	383
204.55432	374
204.57579	372
204.59724	381
204.6187	379
204.64017	368
204.66162	379
204.68309	373
204.70454	384
204.726	376
204.74747	375
204.76892	377
204.79037	375
204.81184	372
204.8333	373
204.85475	377
204.87621	375
204.89767	384
204.91913	373
204.94058	379
204.96204	367
204.98351	374
205.00496	380
205.02641	385
205.04787	375
205.06932	377
205.09077	370
205.11224	375
205.1337	372
205.15515	373
205.17661	395
205.19806	380
205.21951	378
205.24097	391
205.26242	376
205.28387	385
205.30533	384
205.32678	381
205.34824	377
205.36969	372
205.39114	374
205.4126	375
205.43405	372
205.45551	371
205.47696	376
205.49841	372
205.51987	370
205.54132	374
205.56277	387
205.58421	375
205.60567	380
205.62712	375
205.64857	368
205.67003	373
205.69148	379
205.71292	371
205.73438	376
205.75583	377
205.77728	387
205.79872	379
205.82018	398
205.84163	392
205.86308	399
205.88452	392
205.90598	378
205.92743	376
205.94887	384
205.97032	373
205.99178	369
206.01321	380
206.03467	375
206.05611	376
206.07756	379
206.09901	375
206.12045	380
206.14191	370
206.16335	377
206.1848	376
206.20624	375
206.22769	378
206.24913	372
206.27058	384
206.29202	374
206.31348	384
206.33492	372
206.35637	373
206.37781	372
206.39925	372
206.4207	389
206.44214	372
206.46359	384
206.48503	378
206.50647	382
206.52792	386
206.54936	368
206.5708	380
206.59224	373
206.61369	384
206.63513	375
206.65657	373
206.67802	396
206.69946	372
206.7209	378
206.74234	381
206.76378	370
206.78523	379
206.80667	370
206.82811	376
206.84955	369
206.87099	380
206.89243	375
206.91386	379
206.93532	393
206.95676	385
206.9782	384
206.99963	373
207.02107	375
207.04251	377
207.06395	383
207.08539	384
207.10683	367
207.12827	374
207.1497	381
207.17114	373
207.19258	375
207.21402	387
207.23546	380
207.2569	394
207.27832	378
207.29976	372
207.3212	387
207.34264	381
207.36407	380
207.38551	394
207.40695	378
207.42838	374
207.44981	373
207.47125	375
207.49269	372
207.51413	383
207.53555	378
207.55699	373
