Date and Time:                Wed Oct 26 14:18:30.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         75
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	523
192.05646	513
192.078	500
192.09956	496
192.12112	503
192.14268	500
192.16425	477
192.18581	478
192.20735	457
192.22891	459
192.25047	473
192.27203	484
192.29358	470
192.31514	477
192.3367	477
192.35826	469
192.37981	474
192.40137	475
192.42293	498
192.44449	469
192.46603	475
192.48759	477
192.50916	499
192.5307	482
192.55226	474
192.57381	476
192.59537	482
192.61693	495
192.63847	485
192.66003	487
192.68159	479
192.70314	461
192.7247	472
192.74625	489
192.76781	505
192.78935	513
192.81091	501
192.83246	495
192.85402	488
192.87556	481
192.89713	479
192.91867	511
192.94023	501
192.96178	513
192.98334	525
193.00488	505
193.02643	495
193.04799	475
193.06953	498
193.09109	500
193.11264	500
193.13419	510
193.15575	519
193.17729	518
193.19884	512
193.2204	507
193.24194	495
193.26349	525
193.28505	504
193.30659	505
193.32814	521
193.34969	506
193.37125	542
193.39279	509
193.41434	522
193.43588	507
193.45744	512
193.47899	507
193.50053	530
193.52208	521
193.54362	519
193.56517	530
193.58673	533
193.60828	523
193.62982	524
193.65137	526
193.67291	514
193.69446	495
193.716	508
193.73755	512
193.75909	503
193.78064	526
193.80219	501
193.82375	523
193.84529	509
193.86684	514
193.88838	511
193.90993	524
193.93147	513
193.953	526
193.97455	508
193.99609	505
194.01764	523
194.03918	530
194.06073	522
194.08228	516
194.10382	531
194.12537	526
194.14691	523
194.16846	524
194.18999	529
194.21153	507
194.23308	524
194.25462	522
194.27617	518
194.29771	524
194.31924	522
194.34079	526
194.36234	551
194.38388	560
194.40541	505
194.42696	522
194.4485	525
194.47005	512
194.49158	510
194.51312	493
194.53467	490
194.5562	507
194.57774	499
194.59929	495
194.62082	486
194.64236	510
194.66391	509
194.68544	486
194.70699	507
194.72852	536
194.75006	509
194.77161	495
194.79314	487
194.81468	524
194.83621	518
194.85776	513
194.87929	499
194.90083	499
