Date and Time:                Wed Oct 26 12:35:49.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         70
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	435
192.05646	430
192.078	423
192.09956	416
192.12112	434
192.14268	427
192.16425	420
192.18581	426
192.20735	410
192.22891	417
192.25047	419
192.27203	430
192.29358	420
192.31514	423
192.3367	414
192.35826	422
192.37981	420
192.40137	414
192.42293	433
192.44449	416
192.46603	417
192.48759	420
192.50916	429
192.5307	417
192.55226	410
192.57381	420
192.59537	410
192.61693	419
192.63847	410
192.66003	414
192.68159	398
192.70314	414
192.7247	408
192.74625	415
192.76781	415
192.78935	428
192.81091	416
192.83246	422
192.85402	420
192.87556	427
192.89713	409
192.91867	416
192.94023	403
192.96178	405
192.98334	425
193.00488	414
193.02643	407
193.04799	396
193.06953	422
193.09109	407
193.11264	411
193.13419	406
193.15575	407
193.17729	412
193.19884	417
193.2204	429
193.24194	408
193.26349	442
193.28505	407
193.30659	408
193.32814	422
193.34969	394
193.37125	433
193.39279	404
193.41434	410
193.43588	400
193.45744	409
193.47899	413
193.50053	426
193.52208	417
193.54362	410
193.56517	403
193.58673	424
193.60828	405
193.62982	411
193.65137	411
193.67291	407
193.69446	399
193.716	399
193.73755	407
193.75909	404
193.78064	411
193.80219	393
193.82375	401
193.84529	396
193.86684	400
193.88838	403
193.90993	397
193.93147	398
193.953	398
193.97455	406
193.99609	394
194.01764	406
194.03918	407
194.06073	393
194.08228	392
194.10382	417
194.12537	398
194.14691	400
194.16846	387
194.18999	398
194.21153	395
194.23308	392
194.25462	400
194.27617	395
194.29771	399
194.31924	394
194.34079	400
194.36234	418
194.38388	412
194.40541	391
194.42696	395
194.4485	398
194.47005	393
194.49158	405
194.51312	403
194.53467	396
194.5562	401
194.57774	397
194.59929	392
194.62082	384
194.64236	385
194.66391	396
194.68544	389
194.70699	394
194.72852	411
194.75006	399
194.77161	383
194.79314	394
194.81468	409
194.83621	391
194.85776	394
194.87929	378
194.90083	395
