Date and Time:                Wed Oct 26 15:20:44.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         75
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
200.45207	358
200.47357	351
200.49507	351
200.51656	360
200.53806	345
200.55956	354
200.58104	342
200.60254	357
200.62402	349
200.64552	357
200.66702	355
200.68851	349
200.71001	430
200.73149	349
200.75299	355
200.77448	369
200.79597	367
200.81746	357
200.83896	346
200.86044	358
200.88194	360
200.90343	357
200.92491	358
200.94641	385
200.9679	349
200.9894	359
201.01088	354
201.03236	353
201.05386	371
201.07535	356
201.09683	352
201.11833	363
201.13982	371
201.1613	363
201.1828	358
201.20428	367
201.22577	352
201.24725	358
201.26875	355
201.29024	359
201.31172	388
201.33321	358
201.35469	357
201.37619	356
201.39767	362
201.41916	361
201.44064	366
201.46213	362
201.48361	364
201.50511	363
201.5266	360
201.54808	356
201.56956	361
201.59105	371
201.61253	356
201.63402	355
201.6555	373
201.67699	358
201.69847	361
201.71996	359
201.74144	360
201.76292	399
201.78441	353
201.80589	371
201.82738	357
201.84886	371
201.87035	358
201.89183	374
201.9133	383
201.93478	370
201.95627	357
201.97775	365
201.99924	354
202.02072	357
202.04221	381
202.06367	380
202.08516	363
202.10664	373
202.12813	361
202.14961	360
202.17108	367
202.19257	349
202.21405	360
202.23553	352
202.257	361
202.27849	359
202.29997	362
202.32144	359
202.34293	356
202.36441	354
202.38588	365
202.40736	370
202.42883	366
202.45032	384
202.4718	350
202.49327	352
202.51476	460
