Date and Time:                Wed Oct 26 12:19:07.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         6.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	310
192.05646	311
192.078	308
192.09956	308
192.12112	314
192.14268	316
192.16425	316
192.18581	313
192.20735	304
192.22891	312
192.25047	316
192.27203	314
192.29358	313
192.31514	308
192.3367	312
192.35826	309
192.37981	313
192.40137	311
192.42293	308
192.44449	309
192.46603	313
192.48759	317
192.50916	309
192.5307	304
192.55226	312
192.57381	311
192.59537	305
192.61693	312
192.63847	312
192.66003	308
192.68159	308
192.70314	310
192.7247	307
192.74625	311
192.76781	309
192.78935	305
192.81091	310
192.83246	310
192.85402	305
192.87556	314
192.89713	308
192.91867	307
192.94023	311
192.96178	308
192.98334	312
193.00488	305
193.02643	309
193.04799	312
193.06953	315
193.09109	312
193.11264	310
193.13419	317
193.15575	300
193.17729	311
193.19884	308
193.2204	312
193.24194	315
193.26349	310
193.28505	315
193.30659	310
193.32814	308
193.34969	311
193.37125	306
193.39279	304
193.41434	311
193.43588	307
193.45744	313
193.47899	312
193.50053	310
193.52208	306
193.54362	310
193.56517	309
193.58673	311
193.60828	308
193.62982	309
193.65137	311
193.67291	317
193.69446	309
193.716	316
193.73755	307
193.75909	311
193.78064	312
193.80219	311
193.82375	305
193.84529	313
193.86684	309
193.88838	313
193.90993	311
193.93147	311
193.953	308
193.97455	311
193.99609	308
194.01764	306
194.03918	308
194.06073	306
194.08228	314
194.10382	316
194.12537	313
194.14691	310
194.16846	305
194.18999	301
194.21153	312
194.23308	310
194.25462	310
194.27617	307
194.29771	312
194.31924	308
194.34079	314
194.36234	300
194.38388	314
194.40541	302
194.42696	310
194.4485	306
194.47005	307
194.49158	303
194.51312	307
194.53467	307
194.5562	314
194.57774	313
194.59929	306
194.62082	314
194.64236	303
194.66391	304
194.68544	312
194.70699	311
194.72852	311
194.75006	311
194.77161	308
194.79314	307
194.81468	309
194.83621	303
194.85776	309
194.87929	314
194.90083	300
