Date and Time:                Wed Oct 26 16:09:05.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         85
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
200.43059	1054
200.45207	1049
200.47357	1059
200.49507	1059
200.51656	1068
200.53806	1066
200.55956	1068
200.58104	1067
200.60254	1064
200.62402	1092
200.64552	1084
200.66702	1084
200.68851	1097
200.71001	1191
200.73149	1102
200.75299	1112
200.77448	1116
200.79597	1127
200.81746	1129
200.83896	1139
200.86044	1138
200.88194	1158
200.90343	1152
200.92491	1162
200.94641	1198
200.9679	1161
200.9894	1181
201.01088	1168
201.03236	1183
201.05386	1216
201.07535	1192
201.09683	1202
201.11833	1214
201.13982	1239
201.1613	1230
201.1828	1255
201.20428	1288
201.22577	1271
201.24725	1264
201.26875	1280
201.29024	1279
201.31172	1299
201.33321	1310
201.35469	1303
201.37619	1316
201.39767	1312
201.41916	1323
201.44064	1339
201.46213	1358
201.48361	1376
201.50511	1371
201.5266	1364
201.54808	1381
201.56956	1384
201.59105	1413
201.61253	1400
201.63402	1417
201.6555	1424
201.67699	1447
201.69847	1432
201.71996	1450
201.74144	1460
201.76292	1503
201.78441	1477
201.80589	1467
201.82738	1479
201.84886	1508
201.87035	1521
201.89183	1526
201.9133	1554
201.93478	1544
201.95627	1550
201.97775	1579
201.99924	1554
202.02072	1568
202.04221	1599
202.06367	1591
202.08516	1587
202.10664	1615
202.12813	1624
202.14961	1606
202.17108	1661
202.19257	1632
202.21405	1667
202.23553	1651
202.257	1668
202.27849	1667
202.29997	1677
202.32144	1687
202.34293	1696
202.36441	1700
202.38588	1724
202.40736	1735
202.42883	1747
202.45032	1764
202.4718	1738
202.49327	1746
202.51476	1914
202.53622	1762
202.55771	1834
202.57918	1818
202.60066	1858
202.62213	1847
202.64362	1869
202.66508	1898
202.68657	1901
202.70804	1900
202.72952	1940
202.75099	1930
202.77248	1996
202.79395	2017
202.81543	1959
202.8369	1961
202.85837	1984
202.87985	2010
202.90132	2022
202.92279	2024
202.94427	2078
202.96574	2079
202.98721	2106
203.0087	2092
203.03017	2105
203.05164	2132
203.0731	2191
203.09459	2219
203.11606	2225
203.13753	2236
203.159	2233
203.18048	2247
203.20195	2279
203.22342	2241
203.24489	2290
203.26636	2283
203.28783	2325
203.30931	2323
203.33078	2312
203.35225	2342
203.37372	2362
203.39519	2368
203.41666	2373
203.43813	2383
203.45959	2401
203.48106	2433
203.50253	2442
203.524	2458
203.54547	2474
203.56694	2486
203.58841	2508
203.60988	2583
203.63135	2566
203.65282	2573
203.67429	2596
203.69576	2586
203.71722	2585
203.73869	2644
203.76016	2633
203.78163	2651
203.80309	2638
203.82455	2679
203.84602	2703
203.86749	2722
203.88896	2751
203.91043	2736
203.93188	2762
203.95335	2817
203.97482	2789
203.99629	2826
204.01775	2839
204.03922	2921
204.06068	2906
204.08215	2925
204.10361	2940
204.12508	2961
204.14655	2985
204.168	2984
204.18947	3023
204.21094	3041
204.23239	3059
204.25386	3070
204.27531	3110
204.29678	3114
204.31825	3224
204.33971	3099
204.36118	3194
204.38263	3236
204.4041	3273
204.42555	3293
204.44702	3283
204.46848	3320
204.48994	3334
204.5114	3378
204.53287	3418
204.55432	3447
204.57579	3478
204.59724	3493
204.6187	3541
204.64017	3542
204.66162	3587
204.68309	3629
204.70454	3637
204.726	3678
204.74747	3676
204.76892	3731
204.79037	3751
204.81184	3782
204.8333	3826
204.85475	3826
204.87621	3847
204.89767	3897
204.91913	3896
204.94058	3936
204.96204	3983
204.98351	4025
205.00496	4038
205.02641	4108
205.04787	4143
205.06932	4176
205.09077	4187
205.11224	4252
205.1337	4229
205.15515	4301
205.17661	4329
205.19806	4343
205.21951	4381
205.24097	4463
205.26242	4437
205.28387	4442
205.30533	4525
205.32678	4560
205.34824	4599
205.36969	4593
205.39114	4630
205.4126	4666
205.43405	4658
205.45551	4721
205.47696	4751
205.49841	4825
205.51987	4839
205.54132	4845
205.56277	4907
205.58421	4988
205.60567	5017
205.62712	5085
205.64857	5107
205.67003	5142
205.69148	5152
205.71292	5208
205.73438	5300
205.75583	5335
205.77728	5392
205.79872	5404
205.82018	5490
205.84163	5559
205.86308	5667
205.88452	5630
205.90598	5695
205.92743	5736
205.94887	5802
205.97032	5849
205.99178	5882
206.01321	5924
206.03467	6005
206.05611	6024
206.07756	6046
206.09901	6071
206.12045	6120
206.14191	6142
206.16335	6208
206.1848	6284
206.20624	6333
206.22769	6356
206.24913	6396
206.27058	6442
206.29202	6506
206.31348	6621
206.33492	6604
206.35637	6638
206.37781	6670
206.39925	6678
206.4207	6777
206.44214	6822
206.46359	6867
206.48503	6911
206.50647	7039
206.52792	7141
206.54936	7166
206.5708	7205
206.59224	7295
206.61369	7349
206.63513	7347
206.65657	7404
206.67802	7424
206.69946	7472
206.7209	7530
206.74234	7526
206.76378	7647
206.78523	7692
206.80667	7733
206.82811	7701
206.84955	7788
206.87099	7846
206.89243	7863
206.91386	7972
206.93532	8106
206.95676	8159
206.9782	8202
206.99963	8320
207.02107	8323
207.04251	8449
207.06395	8498
207.08539	8501
207.10683	8576
207.12827	8633
207.1497	8659
207.17114	8705
207.19258	8755
207.21402	8912
207.23546	8954
207.2569	9038
207.27832	9118
207.29976	9225
207.3212	9375
207.34264	9332
207.36407	9357
207.38551	9444
207.40695	9503
207.42838	9589
207.44981	9717
207.47125	9801
207.49269	9918
207.51413	9999
207.53555	9955
207.55699	10094
207.57843	10099
207.59985	10228
207.62129	10311
207.64273	10417
207.66417	10414
207.68559	10475
207.70703	10612
207.72845	10649
207.74989	10702
207.77133	10752
207.79276	10810
207.81419	10878
207.83562	10921
207.85706	11019
207.87849	11035
207.89992	11157
207.92136	11233
207.94278	11319
207.96422	11404
207.98564	11516
208.00708	11584
208.0285	11734
208.04994	11788
208.07137	11869
208.09279	11869
208.11423	11901
208.13565	11973
208.15709	12001
208.17851	12059
208.19994	12193
208.22137	12330
208.2428	12390
208.26422	12455
208.28566	12495
208.30708	12592
208.32851	12746
208.34995	12734
208.37137	12908
208.39279	13048
208.41422	13379
208.43565	13287
208.45708	13340
208.4785	13486
208.49992	13567
208.52135	13547
208.54279	13589
208.56421	13753
208.58563	13774
208.60706	13866
208.62848	14026
208.6499	13999
208.67133	14040
208.69275	14087
208.71417	14302
208.7356	14540
208.75703	14590
208.77846	14765
208.79988	14778
208.8213	14843
208.84273	14882
208.86415	15012
208.88556	15209
208.90698	15444
208.92841	15637
208.94983	15678
208.97125	15744
208.99268	15895
209.0141	15950
209.03552	16042
209.05695	16068
209.07837	16191
209.09978	16336
209.1212	16329
209.14262	16389
209.16405	16527
209.18547	16568
209.20688	16690
209.2283	16682
209.24973	16721
209.27115	16815
209.29256	16922
209.31398	16981
209.3354	17213
209.35683	17358
209.37823	17470
209.39966	17633
209.42108	17894
209.44249	17934
209.46391	18006
209.48532	18018
209.50674	18142
209.52817	18188
209.54958	18215
209.571	18400
209.59241	18460
209.61383	18494
209.63524	18405
209.65666	18553
209.67807	18760
209.69949	18982
209.7209	19118
209.74232	19258
209.76373	19385
209.78516	19444
209.80656	19438
209.82797	19546
209.8494	19715
209.8708	19794
209.89223	19981
209.91364	20193
209.93504	20394
209.95647	20440
209.97787	20446
209.99928	20454
210.02071	20670
210.04211	20730
210.06352	20743
210.08493	20872
210.10635	20998
210.12776	20976
210.14917	21056
210.17058	21216
210.19199	21524
210.21341	21640
210.23482	21765
210.25623	21732
210.27763	21913
210.29904	21960
210.32045	22109
210.34186	22170
210.36327	22373
210.38469	22478
210.4061	22562
210.42751	22604
210.44891	22791
210.47032	23024
210.49173	23134
210.51314	23288
210.53455	23473
210.55595	23534
210.57736	23647
210.59877	23693
210.62018	23935
210.64157	24102
210.66298	24151
210.68439	24133
210.7058	24259
210.7272	24388
210.74861	24340
210.77002	24590
210.79143	24701
210.81282	24766
210.83423	24845
210.85564	25052
210.87704	25146
210.89844	25209
210.91985	25356
210.94125	25473
210.96266	25587
210.98405	25695
211.00546	25691
211.02687	25759
211.04826	25919
211.06967	26081
211.09108	26104
211.11247	26220
211.13388	26436
211.15529	26553
211.17668	26421
211.19809	26365
211.21948	26170
211.24089	26300
211.2623	26317
211.28369	26458
211.3051	26587
211.32649	26641
211.3479	26515
211.36929	26741
211.3907	26981
211.41209	27194
211.43349	27128
211.4549	27161
211.47629	27358
211.4977	27408
211.51909	27468
211.54048	27543
211.56189	27710
211.58328	27839
211.60469	27819
211.62608	27832
211.64748	28228
211.66887	28585
211.69028	28668
211.71167	28564
211.73306	28555
211.75447	28595
211.77586	28708
211.79726	28835
211.81865	28935
211.84004	29190
211.86145	29256
211.88284	29134
211.90424	29064
211.92563	29063
211.94702	29104
211.96841	29447
211.98981	29629
212.01122	29537
212.03261	29441
212.054	29501
212.07539	29583
212.09679	29697
212.11818	29668
212.13957	29901
212.16096	29903
212.18236	29842
212.20375	29876
212.22514	29795
212.24654	29839
212.26793	30051
212.28932	30096
212.3107	30345
212.33209	30579
212.35349	30691
212.37488	30744
212.39627	30962
212.41766	30956
212.43906	30828
212.46043	30792
212.48183	30564
212.50322	30705
212.52461	30599
212.54601	30624
212.56738	30563
212.58878	30686
212.61017	30709
212.63156	30777
212.65294	30691
212.67433	30590
212.69572	30545
212.7171	30562
212.73849	30875
212.75989	31200
212.78127	31365
212.80266	31153
212.82404	31198
212.84543	31176
212.86681	31073
212.8882	31083
212.90959	31268
212.93097	31330
212.95236	31288
212.97374	31299
212.99513	31287
213.01651	31269
213.0379	31323
213.05928	31255
213.08066	31511
213.10205	31990
213.12343	32110
213.14482	32079
213.1662	31904
213.18758	31923
213.20897	31756
213.23035	31657
213.25172	31840
213.27312	32038
