Date and Time:                Wed Oct 26 14:53:25.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         75
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	513
192.05646	511
192.078	492
192.09956	485
192.12112	491
192.14268	491
192.16425	480
192.18581	455
192.20735	460
192.22891	451
192.25047	454
192.27203	470
192.29358	458
192.31514	468
192.3367	463
192.35826	457
192.37981	467
192.40137	459
192.42293	491
192.44449	466
192.46603	460
192.48759	470
192.50916	496
192.5307	481
192.55226	475
192.57381	466
192.59537	465
192.61693	464
192.63847	475
192.66003	483
192.68159	463
192.70314	460
192.7247	449
192.74625	489
192.76781	500
192.78935	503
192.81091	503
192.83246	487
192.85402	490
192.87556	482
192.89713	476
192.91867	488
192.94023	486
192.96178	499
192.98334	503
193.00488	494
193.02643	484
193.04799	464
193.06953	491
193.09109	495
193.11264	489
193.13419	504
193.15575	495
193.17729	512
193.19884	505
193.2204	496
193.24194	487
193.26349	518
193.28505	502
193.30659	494
193.32814	504
193.34969	493
193.37125	521
193.39279	498
193.41434	507
193.43588	491
193.45744	498
193.47899	497
193.50053	519
193.52208	499
193.54362	505
193.56517	508
193.58673	534
193.60828	501
193.62982	519
193.65137	520
193.67291	508
193.69446	491
193.716	499
193.73755	499
193.75909	501
193.78064	503
193.80219	498
193.82375	503
193.84529	500
193.86684	498
193.88838	493
193.90993	516
193.93147	511
193.953	516
193.97455	498
193.99609	498
194.01764	506
194.03918	517
194.06073	504
194.08228	502
194.10382	527
194.12537	513
194.14691	510
194.16846	497
194.18999	509
194.21153	499
194.23308	517
194.25462	509
194.27617	505
194.29771	522
194.31924	515
194.34079	520
194.36234	535
194.38388	539
194.40541	506
194.42696	519
194.4485	518
194.47005	501
194.49158	493
194.51312	492
194.53467	475
194.5562	489
194.57774	489
194.59929	482
194.62082	477
194.64236	497
194.66391	484
194.68544	483
194.70699	496
194.72852	526
194.75006	497
194.77161	482
194.79314	487
194.81468	518
194.83621	516
194.85776	508
194.87929	499
194.90083	495
