Date and Time:                Sun Jan 29 14:40:55.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              350
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



328.73563	39464
328.75653	38282
328.77744	38609
328.79834	38475
328.81924	38343
328.84012	39007
328.86102	38815
328.88193	38760
328.90283	38469
328.92374	38393
328.94461	38256
328.96552	38018
328.98642	37695
329.00732	38020
329.0282	38121
329.0491	38078
329.07001	37895
329.09088	38010
329.11179	37986
329.13269	37967
329.15359	37962
329.17447	38055
329.19537	37945
329.21628	38129
329.23715	37824
329.25806	37683
329.27896	37775
329.29984	37482
329.32074	37616
329.34161	37638
329.36252	37790
329.38342	37971
329.4043	38103
329.4252	38042
329.44611	37716
329.46698	37944
329.48788	38064
329.50876	38110
329.52966	38227
329.55054	38481
329.57144	38166
329.59235	38294
329.61322	38057
329.63412	38030
329.655	38041
329.6759	38351
329.69678	38246
329.71768	38196
329.73856	38139
329.75946	38021
329.78033	37921
329.80124	37904
329.82211	37890
329.84302	38286
329.86389	38303
329.88477	38079
329.90567	37819
329.92654	37718
329.94745	38009
329.96832	38391
329.98923	38306
330.0101	38099
330.03098	38168
330.05188	38308
330.07275	38172
330.09366	38102
330.11453	38116
330.13541	37936
330.15631	37412
330.17719	37194
330.19806	37197
330.21896	37072
330.23984	37172
330.26074	36842
330.28162	37005
330.30249	36929
330.32336	36907
330.34427	36771
330.36514	36725
330.38602	36724
330.40692	36853
330.4278	36783
330.44867	37405
330.46954	37640
330.49045	37751
330.51132	37640
330.5322	37623
330.55307	37585
330.57397	37056
330.59485	37116
330.61572	37329
330.6366	37168
330.6575	37129
330.67838	36891
330.69925	36787
330.72012	36736
330.741	36647
330.76187	36716
330.78278	37164
330.80365	37244
330.82452	37275
330.8454	36874
330.86627	36840
330.88715	37042
330.90802	37520
330.92892	37675
330.9498	37916
330.97067	37976
330.99155	38057
331.01242	37915
331.03329	37992
331.05417	37730
331.07504	37652
331.09592	37854
331.11679	37862
331.13766	37908
331.15854	38138
