Date and Time:                Thu Sep 8 17:14:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	5352
255.36023	5100
255.38152	5093
255.40279	5122
255.42406	5182
255.44533	5205
255.4666	5217
255.48787	5193
255.50914	5185
255.53041	5213
255.55168	5193
255.57295	5166
255.59422	5175
255.61549	5241
255.63676	5223
255.65805	5219
255.67931	5219
255.70058	5271
255.72185	5286
255.74312	5258
255.76439	5238
255.78566	5265
255.80693	5295
255.8282	5281
255.84947	5251
255.87074	5253
255.89201	5251
255.91328	5206
255.93454	5217
255.95581	5261
255.97708	5298
255.99835	5321
256.01962	5308
256.04089	5302
256.06216	5317
256.08344	5313
256.10468	5337
256.12595	5355
256.14722	5418
256.16849	5466
256.18976	5449
256.21103	5444
256.2323	5474
256.25354	5483
256.27481	5466
256.29608	5480
256.31735	5505
256.33862	5515
256.35986	5531
256.38113	5540
256.4024	5509
256.42368	5519
256.44495	5557
256.46619	5488
256.48746	5568
256.50873	5544
256.53	5507
256.55124	5518
256.57251	5533
256.59378	5581
256.61505	5618
256.63629	5629
256.65756	5627
256.67883	5649
256.7001	5629
256.72134	5633
256.74261	5691
256.76389	5679
256.78513	5647
256.8064	5665
256.82767	5697
256.84891	5634
256.87018	5636
256.89145	5616
256.91269	5606
256.93396	5633
256.95523	5623
256.97647	5620
256.99774	5634
257.01901	5634
257.04025	5667
257.06152	5633
257.08276	5669
257.10403	5701
257.12531	5732
257.14655	5776
257.16782	5746
257.18906	5740
257.21033	5707
257.23157	5721
257.25284	5717
257.27411	5740
257.29535	5733
257.31662	5758
257.33786	5720
257.35913	5732
257.38037	5743
257.40164	5773
257.42288	5837
257.44415	5821
257.46539	5816
257.48666	5834
257.5079	5810
257.52917	5851
257.55042	5890
257.57169	5896
257.59293	5940
257.6142	5989
257.63544	5987
257.65668	5972
257.67795	6004
257.69919	6062
257.72046	6046
257.7417	6078
257.76297	6052
257.78421	6043
257.80545	6004
