Date and Time:                Thu Sep 8 17:17:04.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	304
255.36023	306
255.38152	310
255.40279	301
255.42406	307
255.44533	304
255.4666	297
255.48787	303
255.50914	306
255.53041	304
255.55168	305
255.57295	303
255.59422	305
255.61549	303
255.63676	312
255.65805	309
255.67931	304
255.70058	300
255.72185	303
255.74312	303
255.76439	310
255.78566	309
255.80693	309
255.8282	307
255.84947	303
255.87074	305
255.89201	300
255.91328	308
255.93454	305
255.95581	307
255.97708	298
255.99835	302
256.01962	312
256.04089	301
256.06216	304
256.08344	302
256.10468	305
256.12595	308
256.14722	305
256.16849	312
256.18976	307
256.21103	309
256.2323	308
256.25354	308
256.27481	305
256.29608	308
256.31735	309
256.33862	307
256.35986	305
256.38113	304
256.4024	307
256.42368	306
256.44495	304
256.46619	306
256.48746	306
256.50873	312
256.53	307
256.55124	305
256.57251	301
256.59378	302
256.61505	302
256.63629	307
256.65756	309
256.67883	307
256.7001	303
256.72134	304
256.74261	300
256.76389	310
256.78513	302
256.8064	305
256.82767	308
256.84891	298
256.87018	303
256.89145	308
256.91269	304
256.93396	304
256.95523	303
256.97647	302
256.99774	311
257.01901	309
257.04025	310
257.06152	308
257.08276	306
257.10403	306
257.12531	302
257.14655	305
257.16782	305
257.18906	309
257.21033	305
257.23157	309
257.25284	305
257.27411	305
257.29535	304
257.31662	307
257.33786	310
257.35913	304
257.38037	307
257.40164	306
257.42288	301
257.44415	308
257.46539	310
257.48666	295
257.5079	305
257.52917	305
257.55042	304
257.57169	306
257.59293	303
257.6142	308
257.63544	305
257.65668	304
257.67795	310
257.69919	306
257.72046	304
257.7417	303
257.76297	311
257.78421	303
257.80545	304
257.82672	309
257.84796	309
257.86923	309
257.89047	306
257.91171	309
257.93298	306
257.95422	304
257.97546	309
257.99673	302
258.01797	301
258.03922	295
258.06049	304
258.08173	304
258.10297	306
258.12424	300
258.14548	306
