Date and Time:                Thu Sep 8 17:16:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	308
255.36023	307
255.38152	304
255.40279	304
255.42406	305
255.44533	300
255.4666	302
255.48787	301
255.50914	305
255.53041	302
255.55168	309
255.57295	301
255.59422	304
255.61549	298
255.63676	308
255.65805	305
255.67931	305
255.70058	304
255.72185	300
255.74312	303
255.76439	311
255.78566	299
255.80693	308
255.8282	309
255.84947	308
255.87074	306
255.89201	306
255.91328	306
255.93454	306
255.95581	309
255.97708	303
255.99835	305
256.01962	305
256.04089	306
256.06216	297
256.08344	298
256.10468	307
256.12595	302
256.14722	303
256.16849	304
256.18976	304
256.21103	304
256.2323	310
256.25354	303
256.27481	308
256.29608	304
256.31735	309
256.33862	303
256.35986	310
256.38113	306
256.4024	308
256.42368	307
256.44495	299
256.46619	301
256.48746	306
256.50873	303
256.53	303
256.55124	308
256.57251	301
256.59378	304
256.61505	310
256.63629	291
256.65756	306
256.67883	306
256.7001	306
256.72134	302
256.74261	307
256.76389	304
256.78513	298
256.8064	301
256.82767	305
256.84891	301
256.87018	304
256.89145	305
256.91269	305
256.93396	305
256.95523	300
256.97647	304
256.99774	301
257.01901	309
257.04025	308
257.06152	307
257.08276	301
257.10403	310
257.12531	306
257.14655	307
257.16782	302
257.18906	306
257.21033	303
257.23157	299
257.25284	304
257.27411	308
257.29535	312
257.31662	302
257.33786	308
257.35913	300
257.38037	310
257.40164	304
257.42288	306
257.44415	301
257.46539	304
257.48666	306
257.5079	304
257.52917	306
257.55042	300
257.57169	306
257.59293	300
257.6142	304
257.63544	310
257.65668	310
257.67795	305
257.69919	308
257.72046	304
257.7417	303
257.76297	305
257.78421	306
257.80545	301
257.82672	307
257.84796	302
257.86923	302
257.89047	304
257.91171	301
257.93298	300
257.95422	304
257.97546	306
257.99673	313
258.01797	304
258.03922	301
258.06049	304
258.08173	305
258.10297	307
258.12424	304
258.14548	299
