Date and Time:                Thu Sep 8 17:00:23.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
262.60373	8486
262.62494	8555
262.64615	8431
262.66736	8525
262.68857	8523
262.70978	8480
262.73099	8444
262.75217	8469
262.77338	8503
262.79459	8460
262.8158	8403
262.83701	8484
262.85822	8537
262.87943	8509
262.90063	8619
262.92184	8613
262.94305	8597
262.96426	8588
262.98547	8592
263.00665	8579
263.02786	8607
263.04907	8639
263.07028	8624
263.09149	8598
263.1127	8575
263.13391	8553
263.15509	8596
263.1763	8665
263.19751	8748
263.21872	8770
263.23993	8732
263.26114	8772
263.28232	8743
263.30353	8697
263.32474	8734
263.34595	8748
263.36713	8793
263.38834	8866
263.40955	8787
263.43076	8807
263.45193	8902
263.47314	8946
263.49435	8925
263.51556	8984
263.53674	8908
263.55795	8935
263.57916	8878
263.60034	8904
263.62155	8955
263.64276	8961
263.66397	8936
263.68515	8898
263.70636	8903
263.72757	8945
263.74875	8976
263.76996	9028
263.79117	9027
263.81235	9028
263.83356	9026
263.85474	9132
263.87595	9125
263.89716	9166
263.91833	9150
263.93954	9174
263.96072	9168
263.98193	9167
264.00314	9111
264.02432	9160
264.04553	9145
264.06671	9179
264.08792	9155
264.1091	9224
264.13031	9231
264.15149	9237
264.1727	9335
264.19388	9334
264.21509	9342
264.2363	9318
264.25748	9278
264.27869	9203
264.29987	9264
264.32104	9361
264.34225	9377
264.36343	9401
264.38464	9441
264.40582	9370
264.42703	9328
264.44821	9367
264.46942	9401
264.4906	9404
264.51181	9488
264.53299	9538
264.55417	9541
264.57538	9523
264.59656	9513
264.61777	9586
264.63895	9645
264.66013	9657
264.68134	9682
264.70251	9678
264.72369	9723
264.7449	9700
264.76608	9639
264.78726	9651
264.80847	9702
264.82965	9750
264.85083	9770
264.87204	9811
264.89322	9872
264.9144	9944
264.93561	9914
264.95679	9967
264.97797	9953
264.99915	10001
265.02036	9892
265.04153	9934
265.06271	10042
265.08389	10090
265.1051	10026
265.12628	9985
265.14746	9989
265.16864	9987
265.18985	10049
265.21103	10132
265.23221	10131
265.25339	10037
265.27457	10031
265.29578	10104
265.31696	10133
265.33813	10105
265.35931	10106
265.38049	10128
265.40167	10156
265.42285	10118
265.44406	10091
265.46524	10063
265.48642	10084
265.5076	10147
265.52878	10167
265.54996	10256
265.57114	10251
265.59232	10288
265.61349	10256
265.6347	10225
265.65588	10229
265.67706	10165
265.69824	10180
265.71942	10068
265.7406	10079
265.76178	10079
265.78296	10061
265.80414	10131
265.82532	10156
265.8465	10203
265.86768	10123
265.88885	10185
265.91003	10154
265.93121	10200
265.95239	10267
265.97357	10348
265.99475	10471
266.01593	10459
266.03711	10444
266.05829	10453
266.07947	10460
266.10065	10464
266.1218	10450
266.14297	10486
266.16415	10557
266.18533	10543
266.20651	10467
266.22769	10414
266.24887	10409
266.27005	10362
266.29123	10445
266.31238	10566
266.33356	10632
266.35474	10730
266.37592	10699
266.39709	10634
266.41827	10665
266.43945	10680
266.4606	10761
266.48178	10814
266.50296	10914
266.52414	10905
266.54532	10896
266.56647	10882
266.58765	10922
266.60883	10878
266.63	10912
266.65115	10916
266.67233	10931
266.69351	10933
266.71469	10872
266.73584	10865
266.75702	10822
266.7782	10848
266.79938	10818
266.82053	10813
266.84171	10890
266.86288	10824
266.88403	10866
266.90521	10844
266.92639	10916
266.94754	10928
266.96872	10970
266.9899	10989
267.01105	11069
267.03223	11025
267.05341	11063
267.07455	11046
267.09573	10985
267.11688	10905
267.13806	10966
267.15924	10962
267.18039	10995
267.20157	10772
267.22272	10836
267.2439	10852
267.26505	10851
267.28622	10896
267.3074	10835
267.32855	10830
267.34973	10838
267.37088	10907
267.39206	10970
267.41321	11035
267.43439	11139
267.45554	11180
267.47672	11136
267.49786	11161
267.51904	11083
267.54019	11106
267.56137	11143
267.58252	11108
267.6037	11180
267.62485	11200
267.646	11133
267.66718	11104
267.68832	11065
267.7095	11060
267.73065	11075
267.75183	11269
267.77298	11325
267.79413	11366
267.81531	11255
267.83646	11191
267.85764	11170
267.87878	11244
267.89993	11228
267.92111	11275
267.94226	11353
267.96341	11413
267.98459	11425
268.00574	11374
268.02689	11363
268.04807	11355
268.06921	11399
268.09036	11355
268.11154	11366
268.13269	11412
268.15384	11338
268.17499	11369
268.19617	11402
268.21732	11381
268.23846	11386
268.25961	11421
268.28079	11453
268.30194	11417
268.32309	11369
268.34424	11431
268.36542	11463
268.38657	11526
268.40771	11573
268.42886	11578
268.45001	11678
268.47119	11679
268.49234	11684
268.51349	11720
268.53464	11667
268.55579	11580
268.57693	11591
268.59808	11591
268.61926	11669
268.64041	11728
268.66156	11783
268.68271	11763
268.70386	11791
268.72501	11794
268.74615	11712
268.7673	11789
268.78845	11826
268.8096	11802
268.83078	11863
268.85193	11874
268.87308	11895
268.89423	11856
268.91537	11864
268.93652	11951
268.95767	12060
268.97882	12104
268.99997	12046
269.02112	12097
269.04227	12046
269.06342	12081
269.08456	12139
269.10571	12163
