Date and Time:                Thu Sep 8 16:57:17.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	301
255.36023	313
255.38152	302
255.40279	302
255.42406	311
255.44533	307
255.4666	303
255.48787	304
255.50914	305
255.53041	312
255.55168	304
255.57295	304
255.59422	306
255.61549	305
255.63676	304
255.65805	304
255.67931	310
255.70058	307
255.72185	303
255.74312	306
255.76439	305
255.78566	305
255.80693	305
255.8282	302
255.84947	301
255.87074	308
255.89201	312
255.91328	306
255.93454	305
255.95581	311
255.97708	312
255.99835	303
256.01962	307
256.04089	305
256.06216	308
256.08344	299
256.10468	304
256.12595	306
256.14722	310
256.16849	307
256.18976	298
256.21103	306
256.2323	307
256.25354	303
256.27481	301
256.29608	310
256.31735	307
256.33862	309
256.35986	307
256.38113	308
256.4024	304
256.42368	310
256.44495	305
256.46619	310
256.48746	305
256.50873	309
256.53	306
256.55124	313
256.57251	309
256.59378	298
256.61505	308
256.63629	309
256.65756	304
256.67883	307
256.7001	305
256.72134	300
256.74261	306
256.76389	305
256.78513	304
256.8064	304
256.82767	311
256.84891	302
256.87018	304
256.89145	305
256.91269	313
256.93396	305
256.95523	306
256.97647	307
256.99774	310
257.01901	311
257.04025	311
257.06152	305
257.08276	305
257.10403	309
257.12531	306
257.14655	304
257.16782	297
257.18906	309
257.21033	304
257.23157	304
257.25284	303
257.27411	312
257.29535	308
257.31662	305
257.33786	307
257.35913	308
257.38037	305
257.40164	302
257.42288	302
257.44415	309
257.46539	305
257.48666	304
257.5079	300
257.52917	312
257.55042	307
257.57169	306
257.59293	300
257.6142	305
257.63544	309
257.65668	311
257.67795	307
257.69919	310
257.72046	308
257.7417	304
257.76297	310
257.78421	299
257.80545	300
257.82672	308
257.84796	303
257.86923	304
257.89047	301
257.91171	304
257.93298	307
257.95422	307
257.97546	301
257.99673	302
258.01797	303
258.03922	305
258.06049	307
258.08173	305
258.10297	304
258.12424	305
258.14548	300
