Date and Time:                Thu Sep 8 16:56:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	308
255.36023	303
255.38152	311
255.40279	310
255.42406	304
255.44533	304
255.4666	310
255.48787	307
255.50914	308
255.53041	304
255.55168	304
255.57295	308
255.59422	313
255.61549	305
255.63676	305
255.65805	307
255.67931	307
255.70058	310
255.72185	311
255.74312	303
255.76439	308
255.78566	311
255.80693	303
255.8282	308
255.84947	302
255.87074	315
255.89201	308
255.91328	303
255.93454	318
255.95581	302
255.97708	302
255.99835	307
256.01962	309
256.04089	303
256.06216	310
256.08344	307
256.10468	305
256.12595	308
256.14722	309
256.16849	306
256.18976	307
256.21103	302
256.2323	307
256.25354	304
256.27481	303
256.29608	312
256.31735	303
256.33862	308
256.35986	311
256.38113	308
256.4024	306
256.42368	303
256.44495	304
256.46619	308
256.48746	309
256.50873	306
256.53	302
256.55124	304
256.57251	301
256.59378	308
256.61505	304
256.63629	313
256.65756	301
256.67883	303
256.7001	309
256.72134	302
256.74261	303
256.76389	305
256.78513	306
256.8064	308
256.82767	304
256.84891	301
256.87018	311
256.89145	308
256.91269	303
256.93396	312
256.95523	304
256.97647	308
256.99774	300
257.01901	307
257.04025	310
257.06152	307
257.08276	308
257.10403	307
257.12531	307
257.14655	305
257.16782	306
257.18906	306
257.21033	302
257.23157	307
257.25284	301
257.27411	304
257.29535	307
257.31662	300
257.33786	308
257.35913	308
257.38037	310
257.40164	298
257.42288	305
257.44415	309
257.46539	301
257.48666	311
257.5079	303
257.52917	313
257.55042	311
257.57169	304
257.59293	307
257.6142	301
257.63544	309
257.65668	307
257.67795	299
257.69919	300
257.72046	309
257.7417	305
257.76297	307
257.78421	304
257.80545	305
257.82672	311
257.84796	307
257.86923	311
257.89047	303
257.91171	303
257.93298	301
257.95422	304
257.97546	300
257.99673	306
258.01797	307
258.03922	301
258.06049	307
258.08173	308
258.10297	306
258.12424	303
258.14548	301
