Date and Time:                Thu Sep 8 17:25:53.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         250
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
263.64276	620
263.66397	619
263.68515	606
263.70636	769
263.72757	620
263.74875	616
263.76996	584
263.79117	606
263.81235	600
263.83356	602
263.85474	614
263.87595	602
263.89716	912
263.91833	589
263.93954	607
263.96072	647
263.98193	631
264.00314	596
264.02432	606
264.04553	609
264.06671	618
264.08792	608
264.1091	622
264.13031	693
264.15149	594
264.1727	609
264.19388	604
264.21509	602
264.2363	680
264.25748	615
264.27869	611
264.29987	614
264.32104	677
264.34225	634
264.36343	627
264.38464	670
264.40582	607
264.42703	599
264.44821	626
264.46942	612
264.4906	679
264.51181	644
264.53299	617
264.55417	610
264.57538	630
264.59656	629
264.61777	649
264.63895	618
264.66013	643
264.68134	658
264.70251	621
264.72369	636
264.7449	624
264.76608	752
264.78726	625
264.80847	630
264.82965	668
264.85083	625
264.87204	624
264.89322	642
264.9144	660
264.93561	738
264.95679	618
264.97797	644
264.99915	634
265.02036	677
265.04153	643
265.06271	688
265.08389	666
265.1051	745
265.12628	620
265.14746	657
265.16864	635
265.18985	634
265.21103	681
265.23221	632
265.25339	634
265.27457	660
265.29578	637
265.31696	640
265.33813	665
265.35931	602
265.38049	623
265.40167	624
265.42285	626
265.44406	624
265.46524	633
265.48642	628
265.5076	620
265.52878	602
265.54996	666
265.57114	643
265.59232	630
265.61349	710
265.6347	626
265.65588	611
265.67706	1501
265.69824	573
265.71942	659
265.7406	623
265.76178	695
265.78296	624
265.80414	633
265.82532	687
265.8465	666
265.86768	629
265.88885	746
265.91003	633
265.93121	718
265.95239	627
265.97357	628
265.99475	614
266.01593	622
266.03711	629
266.05829	603
266.07947	654
266.10065	651
266.1218	622
266.14297	624
266.16415	603
266.18533	620
266.20651	613
266.22769	749
266.24887	778
266.27005	634
266.29123	660
266.31238	620
266.33356	641
266.35474	670
266.37592	625
266.39709	613
266.41827	618
266.43945	628
266.4606	642
266.48178	623
266.50296	625
266.52414	607
266.54532	626
266.56647	607
266.58765	650
266.60883	609
266.63	644
266.65115	659
266.67233	627
266.69351	622
266.71469	623
266.73584	608
266.75702	737
266.7782	611
266.79938	615
266.82053	630
266.84171	622
266.86288	618
266.88403	637
266.90521	624
266.92639	631
266.94754	612
266.96872	614
266.9899	613
267.01105	605
267.03223	623
267.05341	608
267.07455	603
267.09573	646
267.11688	595
267.13806	614
267.15924	593
267.18039	710
267.20157	606
267.22272	621
267.2439	627
267.26505	600
267.28622	630
267.3074	624
267.32855	688
267.34973	593
267.37088	617
267.39206	638
267.41321	613
267.43439	629
267.45554	630
267.47672	607
267.49786	620
267.51904	618
267.54019	640
267.56137	649
267.58252	607
267.6037	640
267.62485	613
267.646	625
267.66718	637
267.68832	615
267.7095	622
267.73065	616
267.75183	618
267.77298	597
267.79413	641
267.81531	616
267.83646	653
267.85764	616
267.87878	621
267.89993	621
267.92111	627
267.94226	611
267.96341	622
267.98459	598
268.00574	602
268.02689	646
268.04807	604
268.06921	635
268.09036	622
268.11154	616
268.13269	624
268.15384	627
268.17499	618
268.19617	631
268.21732	620
268.23846	629
268.25961	626
268.28079	630
268.30194	681
268.32309	625
268.34424	622
268.36542	705
268.38657	609
268.40771	674
268.42886	630
268.45001	615
268.47119	641
268.49234	628
268.51349	629
268.53464	619
268.55579	617
268.57693	613
268.59808	616
268.61926	608
268.64041	638
268.66156	604
268.68271	659
268.70386	613
268.72501	630
268.74615	622
268.7673	610
268.78845	602
268.8096	635
268.83078	618
268.85193	619
268.87308	622
268.89423	618
268.91537	630
268.93652	786
268.95767	665
268.97882	731
268.99997	639
269.02112	618
269.04227	627
269.06342	631
269.08456	617
269.10571	598
269.12686	620
269.14801	620
269.16916	630
269.19031	612
269.21143	615
269.23257	649
269.25372	604
269.27487	614
269.29602	614
269.31717	600
269.33832	637
269.35947	603
269.38062	636
269.40176	614
269.42291	636
269.44403	651
269.46518	611
269.48633	622
269.50748	603
269.52863	641
269.54977	609
269.57089	707
269.59204	627
269.61319	613
269.63434	645
269.65549	617
269.67661	640
269.69775	624
269.7189	628
269.74005	625
269.7612	622
269.78232	691
269.80347	621
269.82462	611
269.84576	604
269.86688	611
269.88803	615
269.90918	622
269.9303	627
269.95145	614
269.9726	605
269.99371	599
270.01486	619
270.03601	682
270.05716	666
270.07828	635
270.09943	607
270.12054	619
270.14169	632
270.16284	624
270.18396	636
270.20511	617
270.22626	605
270.24738	606
270.26852	633
270.28964	609
270.31079	666
270.33194	632
270.35306	675
270.37421	634
270.39532	610
270.41647	660
270.43759	629
270.45874	628
270.47986	702
270.50101	636
270.52213	616
270.54327	623
270.56439	621
270.58554	617
270.60666	649
270.62781	620
270.64893	627
270.67007	630
270.69119	627
270.71234	621
270.73346	633
270.75461	630
270.77573	623
270.79684	628
270.81799	657
270.83911	595
270.86026	619
270.88138	658
270.9025	620
270.92365	626
270.94476	617
270.96591	630
270.98703	643
271.00815	611
271.0293	602
271.05042	611
271.07153	675
271.09268	597
271.1138	674
271.13492	603
271.15607	669
271.17719	645
271.1983	624
271.21942	615
271.24057	609
271.26169	632
271.28281	627
271.30396	634
271.32507	629
271.34619	620
271.36731	613
271.38843	626
271.40958	685
271.43069	623
271.45181	628
271.47293	643
271.49408	826
271.5152	608
271.53632	699
271.55743	679
271.57855	665
271.59967	693
271.62082	628
271.64194	603
271.66306	634
271.68417	608
271.70529	634
271.72641	603
271.74753	628
271.76865	622
271.78979	714
271.81091	688
271.83203	681
271.85315	608
271.87427	620
271.89539	625
271.9165	719
271.93762	629
271.95874	611
271.97986	640
272.00098	631
272.02209	620
272.04321	621
272.06433	623
272.08545	691
272.10657	621
272.12769	628
272.1488	617
272.16992	628
272.19104	617
272.21216	609
272.23328	643
272.25439	640
272.27551	611
272.29663	623
272.31775	617
272.33884	644
272.35995	618
272.38107	621
272.40219	632
272.42331	641
272.44443	612
272.46555	678
272.48666	645
272.50778	639
272.52887	655
272.54999	626
272.57111	664
272.59222	607
272.61334	631
272.63446	619
272.65555	653
272.67667	619
272.69778	599
272.7189	619
272.73999	627
272.76111	624
272.78223	622
272.80334	630
272.82446	627
272.84555	629
272.86667	710
272.88779	632
272.90887	640
272.92999	619
272.95111	627
272.97223	621
272.99332	703
273.01443	643
273.03555	682
273.05664	633
273.07776	688
273.09888	618
273.11996	648
273.14108	611
273.1622	615
273.18329	621
273.20441	619
273.22549	606
273.24661	640
273.26773	630
273.28882	646
273.30994	654
273.33102	654
273.35214	629
273.37323	642
273.39435	631
273.41547	638
273.43655	624
273.45767	676
273.47876	631
273.49988	667
273.52097	627
273.54208	625
273.56317	643
273.58429	653
273.60538	602
273.6265	709
273.64758	639
273.6687	635
273.68979	627
273.71091	689
273.73199	666
273.75308	636
273.7742	634
273.79529	643
273.81641	672
273.83749	630
273.85858	644
273.8797	621
273.90079	616
273.92191	621
273.94299	640
273.96408	637
273.9852	638
274.00629	632
274.02737	637
274.04849	631
274.06958	640
274.09067	625
274.11179	628
274.13287	639
274.15396	608
274.17508	651
274.19617	683
274.21725	620
274.23834	663
274.25946	645
274.28055	620
274.30164	617
274.32272	657
274.34384	642
274.36493	654
274.38602	623
274.4071	627
274.42822	690
274.44931	674
274.4704	641
274.49149	633
274.51257	631
274.53366	633
274.55478	648
274.57587	646
274.59695	640
274.61804	622
274.63913	689
274.66022	631
274.6813	649
274.70242	643
274.72351	664
274.7446	635
274.76569	645
274.78677	657
274.80786	680
274.82895	635
274.85004	621
274.87112	626
274.89221	626
274.9133	662
274.93439	631
274.95547	639
274.97656	640
274.99765	748
275.01874	625
275.03983	624
275.06091	635
275.082	624
275.10309	634
275.12418	633
275.14526	650
275.16635	672
275.18744	627
275.20853	636
275.22961	648
275.2507	633
275.27179	649
275.29288	639
275.31396	642
275.33502	708
275.35611	646
275.3772	629
275.39828	635
275.41937	642
275.44046	663
275.46155	638
275.4826	625
275.50369	624
275.52478	708
275.54587	626
275.56696	649
275.58804	641
275.6091	716
275.63019	681
275.65128	673
275.67236	672
275.69345	621
275.71451	628
275.7356	642
275.75668	634
275.77777	653
275.79883	640
275.81992	638
275.841	632
275.86206	646
275.88315	622
275.90424	637
275.92529	648
275.94638	631
275.96747	630
275.98853	634
276.00961	612
276.0307	643
276.05176	634
276.07285	632
276.09393	649
276.11499	644
276.13608	621
276.15717	663
276.17822	628
276.19931	634
276.22037	662
276.24146	622
276.26251	626
276.2836	655
276.30469	637
276.32574	633
276.34683	650
276.36789	631
276.38898	652
276.41003	629
276.43112	642
276.45218	661
276.47327	638
276.49432	704
276.51541	614
276.53647	631
276.55756	650
276.57861	639
276.5997	635
276.62076	634
276.64182	626
276.6629	616
276.68396	628
276.70505	643
276.7261	660
276.74719	663
276.76825	613
276.78931	651
276.81039	649
276.83145	634
276.85251	628
276.8736	671
276.89465	678
276.91574	640
276.9368	645
276.95786	657
276.97891	639
277	650
277.02106	637
277.04211	635
277.0632	688
277.08426	650
277.10532	669
277.1264	640
277.14746	646
277.16852	662
277.18958	657
277.21066	644
277.23172	676
277.25278	725
277.27383	635
277.29489	700
277.31598	632
277.33704	647
277.35809	622
277.37915	634
277.40021	635
277.42126	628
277.44235	661
277.46341	642
277.48447	632
277.50552	610
277.52658	638
277.54764	631
277.5687	619
277.58978	645
277.61084	640
277.6319	718
277.65295	618
277.67401	631
277.69507	672
277.71613	682
277.73718	801
277.75824	654
277.7793	641
277.80035	626
277.82141	633
277.84247	713
277.86353	641
277.88458	628
277.90564	643
277.9267	634
277.94775	625
277.96881	694
277.98987	700
278.01093	635
278.03198	659
278.05304	640
278.0741	628
278.09515	626
278.11621	633
278.13727	617
278.15833	623
278.17935	637
278.20041	652
278.22147	647
278.24252	642
278.26358	630
278.28464	664
278.30569	621
278.32672	638
278.34778	643
278.36884	647
278.38989	627
278.41095	634
278.43201	635
278.45303	651
278.47409	640
278.49515	638
278.5162	636
278.53723	624
278.55829	631
278.57935	653
278.6004	615
278.62143	638
278.64249	623
278.66354	641
278.6846	631
278.70563	680
278.72668	616
278.74774	668
278.76877	687
278.78983	653
278.81088	741
278.83191	689
278.85297	616
278.87402	624
278.89505	632
278.91611	672
278.93716	617
278.95819	631
278.97925	623
279.00027	626
279.02133	636
279.04239	677
279.06342	617
279.08447	717
279.1055	607
279.12656	669
279.14758	606
279.16864	629
279.1897	634
279.21072	670
279.23178	614
279.25281	639
279.27386	625
279.29489	635
279.31595	617
279.33698	608
279.35803	628
279.37906	691
279.40009	614
279.42114	624
279.44217	651
279.46323	628
279.48425	639
279.50531	659
279.52634	615
279.54736	624
279.56842	628
279.58945	644
279.6105	657
279.63153	645
279.65256	616
279.67361	629
279.69464	610
279.71567	661
279.73672	647
279.75775	625
279.77878	615
279.79984	626
279.82086	630
279.84189	611
279.86295	685
279.88397	619
279.905	614
279.92603	636
279.94708	618
279.96811	619
279.98914	632
280.01016	604
280.03122	621
280.05225	610
280.07327	634
280.0943	633
280.11536	622
280.13638	606
280.15741	627
280.17844	611
280.19946	606
280.22049	617
