Date and Time:                Mon Jan 30 17:58:17.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.7
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



240.76587	5269
240.7872	5021
240.80855	5009
240.8299	5026
240.85123	5030
240.87257	5086
240.89392	5129
240.91525	5078
240.9366	5091
240.95793	5092
240.97928	5080
241.00063	5016
241.02196	5006
241.0433	5055
241.06464	5037
241.08598	5062
241.10732	5070
241.12866	5065
241.14999	5127
241.17134	5084
241.19267	5062
241.21402	5116
241.23535	5129
241.25668	5133
241.27803	5108
241.29936	5094
241.32071	5138
241.34204	5131
241.36337	5142
241.38472	5152
241.40605	5159
241.42738	5206
241.44873	5210
241.47006	5203
241.49139	5203
241.51274	5225
241.53407	5228
241.5554	5244
241.57674	5275
241.59808	5268
241.61942	5281
241.64075	5229
241.66208	5219
241.68341	5235
241.70476	5226
241.72609	5260
241.74742	5302
241.76875	5295
241.79008	5306
241.81142	5290
241.83275	5296
241.8541	5313
241.87543	5335
241.89676	5349
241.91809	5371
241.93942	5363
241.96075	5368
241.98209	5381
242.00342	5408
242.02475	5443
242.04608	5403
242.06741	5435
242.08875	5437
242.11008	5437
242.13141	5413
242.15274	5423
242.17407	5431
242.1954	5401
242.21674	5380
242.23805	5392
242.25938	5386
242.28072	5367
242.30205	5370
242.32338	5395
242.34471	5388
242.36604	5403
242.38736	5361
242.40869	5379
242.43002	5409
242.45135	5383
242.47269	5393
242.494	5421
242.51534	5504
242.53667	5471
242.55798	5508
242.57932	5503
242.60065	5526
242.62198	5514
242.6433	5517
242.66463	5522
242.68596	5545
242.70728	5514
242.72861	5476
242.74992	5485
242.77126	5523
242.79259	5527
242.8139	5516
242.83524	5534
242.85655	5554
242.87788	5572
242.8992	5621
242.92053	5540
242.94185	5578
242.96318	5577
242.9845	5584
243.00583	5591
243.02715	5682
243.04848	5654
243.06979	5686
243.09113	5663
243.11244	5658
243.13377	5650
243.15509	5628
243.17641	5655
243.19774	5700
243.21906	5666
