Date and Time:                Thu Feb 2 16:20:51.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



376.01678	305
376.03741	304
376.05804	306
376.07867	305
376.0993	301
376.11993	306
376.14059	309
376.16122	309
376.18185	307
376.20248	305
376.22311	300
376.24374	310
376.26437	304
376.285	308
376.30563	308
376.32626	308
376.34689	308
376.36752	300
376.38815	308
376.40878	308
376.42941	299
376.45004	311
376.47064	303
376.49127	302
376.5119	303
376.53253	308
376.55316	309
376.57379	307
376.59442	307
376.61505	307
376.63568	304
376.65631	303
376.67694	305
376.69754	312
376.71817	307
376.7388	303
376.75943	302
376.78006	308
376.80069	305
376.82129	312
376.84192	303
376.86255	310
376.88318	302
376.90381	308
376.92441	307
376.94504	311
376.96567	304
376.9863	303
377.0069	311
377.02753	310
377.04816	314
377.06879	308
377.08939	308
377.11002	312
377.13065	308
377.15128	304
377.17188	311
377.1925	307
377.21313	310
377.23373	305
377.25436	303
377.27499	312
377.29559	307
377.31622	302
377.33685	308
377.35745	307
377.37808	313
377.39868	304
377.41931	308
377.43994	307
377.46054	306
377.48117	304
377.50177	304
377.5224	299
377.543	302
377.56363	301
377.58426	309
377.60486	306
377.62549	310
377.64609	304
377.66672	311
377.68732	311
377.70795	306
377.72855	308
377.74918	303
377.76978	309
377.79041	307
377.811	305
377.83163	307
377.85223	308
377.87283	305
377.89346	305
377.91406	306
377.93469	306
377.95529	304
377.97592	306
377.99652	305
378.01712	302
378.03775	302
378.05835	305
378.07895	304
378.09958	303
378.12018	304
378.14081	304
378.16141	317
378.18201	305
378.20264	307
378.22324	310
378.24384	306
378.26443	310
378.28506	303
378.30566	306
378.32626	304
378.34689	308
378.36749	306
378.38809	309
378.40869	304
378.42932	304
378.44992	306
378.47052	308
378.49112	304
378.51175	301
378.53235	305
378.55295	308
378.57355	305
378.59415	309
378.61475	311
378.63538	307
378.65598	300
378.67657	306
378.69717	302
378.71777	309
378.73837	305
378.759	310
