Date and Time:                Tue Apr 26 17:23:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         125
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	2084
258.37558	2009
258.39685	1993
258.41809	2004
258.43936	1983
258.4606	2008
258.48187	1994
258.50311	1971
258.52438	1967
258.54565	1978
258.56689	1969
258.58817	1934
258.60941	1923
258.63068	1889
258.65192	1846
258.67319	1855
258.69443	1827
258.7157	1799
258.73694	1832
258.75821	1748
258.77945	1719
258.80072	1698
258.82196	1678
258.84323	1648
258.86447	1609
258.88574	1608
258.90698	1585
258.92825	1542
258.94949	1514
258.97076	1505
258.992	1485
259.01324	1491
259.03452	1459
259.05576	1478
259.07703	1454
259.09827	1446
259.11954	1436
259.14078	1426
259.16202	1439
259.18329	1430
259.20453	1395
259.22577	1413
259.24704	1406
259.26828	1409
259.28955	1427
259.31079	1430
259.33203	1414
259.3533	1400
259.37454	1442
259.39578	1427
259.41705	1444
259.43829	1476
259.45953	1474
259.4808	1499
259.50204	1504
259.52328	1528
259.54453	1522
259.5658	1581
259.58704	1568
259.60828	1561
259.62952	1629
259.65079	1632
259.67203	1686
259.69327	1667
259.71451	1685
259.73578	1719
259.75702	1759
259.77826	1796
259.7995	1840
259.82077	1883
259.84201	1944
259.86325	1900
259.88449	1976
259.90573	1961
259.92697	2012
259.94824	2036
259.96948	2049
259.99072	2050
260.01196	2088
260.0332	2098
260.05444	2104
260.07571	2130
260.09695	2119
260.11819	2131
260.13943	2116
260.16068	2132
260.18192	2120
260.20316	2153
260.2244	2123
260.24564	2139
260.26688	2103
260.28815	2102
260.30939	2119
260.33063	2109
260.35187	2103
260.37311	2073
260.39435	2113
260.41559	2082
260.43683	2071
260.45807	2062
260.47931	2064
260.50055	2036
260.52179	2040
260.54303	2049
260.56427	2009
260.58551	2024
260.60675	2012
260.62799	2035
260.64923	2061
260.67047	2077
260.69171	2055
260.71295	2072
260.73419	2077
260.75543	2071
260.77667	2091
260.79791	2107
260.81912	2114
