Date and Time:                Tue Apr 26 17:38:57.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         125
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	1578
258.37558	1499
258.39685	1507
258.41809	1525
258.43936	1522
258.4606	1534
258.48187	1510
258.50311	1538
258.52438	1531
258.54565	1542
258.56689	1579
258.58817	1593
258.60941	1570
258.63068	1581
258.65192	1618
258.67319	1620
258.69443	1634
258.7157	1648
258.73694	1716
258.75821	1694
258.77945	1709
258.80072	1713
258.82196	1754
258.84323	1737
258.86447	1727
258.88574	1758
258.90698	1779
258.92825	1761
258.94949	1766
258.97076	1795
258.992	1785
259.01324	1798
259.03452	1784
259.05576	1799
259.07703	1804
259.09827	1792
259.11954	1778
259.14078	1745
259.16202	1752
259.18329	1741
259.20453	1668
259.22577	1693
259.24704	1670
259.26828	1641
259.28955	1632
259.31079	1589
259.33203	1577
259.3533	1514
259.37454	1546
259.39578	1500
259.41705	1471
259.43829	1466
259.45953	1438
259.4808	1435
259.50204	1410
259.52328	1397
259.54453	1365
259.5658	1375
259.58704	1343
259.60828	1301
259.62952	1306
259.65079	1256
259.67203	1322
259.69327	1261
259.71451	1254
259.73578	1229
259.75702	1231
259.77826	1230
259.7995	1269
259.82077	1225
259.84201	1237
259.86325	1225
259.88449	1257
259.90573	1222
259.92697	1234
259.94824	1249
259.96948	1226
259.99072	1210
260.01196	1238
260.0332	1253
260.05444	1215
260.07571	1259
260.09695	1247
260.11819	1261
260.13943	1275
260.16068	1287
260.18192	1292
260.20316	1326
260.2244	1335
260.24564	1345
260.26688	1364
260.28815	1376
260.30939	1404
260.33063	1438
260.35187	1472
260.37311	1481
260.39435	1531
260.41559	1525
260.43683	1554
260.45807	1582
260.47931	1596
260.50055	1619
260.52179	1652
260.54303	1689
260.56427	1669
260.58551	1707
260.60675	1703
260.62799	1711
260.64923	1774
260.67047	1814
260.69171	1783
260.71295	1809
260.73419	1800
260.75543	1771
260.77667	1810
260.79791	1801
260.81912	1820
