Date and Time:                Tue Apr 26 17:48:55.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	303
258.37558	302
258.39685	304
258.41809	298
258.43936	300
258.4606	303
258.48187	305
258.50311	300
258.52438	299
258.54565	298
258.56689	300
258.58817	302
258.60941	301
258.63068	304
258.65192	297
258.67319	296
258.69443	304
258.7157	301
258.73694	305
258.75821	307
258.77945	302
258.80072	298
258.82196	303
258.84323	303
258.86447	301
258.88574	298
258.90698	307
258.92825	304
258.94949	305
258.97076	301
258.992	294
259.01324	300
259.03452	299
259.05576	301
259.07703	306
259.09827	299
259.11954	300
259.14078	305
259.16202	307
259.18329	298
259.20453	306
259.22577	300
259.24704	306
259.26828	304
259.28955	302
259.31079	304
259.33203	304
259.3533	299
259.37454	307
259.39578	302
259.41705	304
259.43829	306
259.45953	308
259.4808	305
259.50204	309
259.52328	298
259.54453	304
259.5658	300
259.58704	298
259.60828	297
259.62952	301
259.65079	304
259.67203	307
259.69327	300
259.71451	307
259.73578	303
259.75702	302
259.77826	302
259.7995	302
259.82077	309
259.84201	294
259.86325	300
259.88449	304
259.90573	303
259.92697	303
259.94824	299
259.96948	304
259.99072	301
260.01196	299
260.0332	304
260.05444	304
260.07571	300
260.09695	301
260.11819	304
260.13943	303
260.16068	305
260.18192	299
260.20316	302
260.2244	301
260.24564	302
260.26688	305
260.28815	307
260.30939	305
260.33063	302
260.35187	301
260.37311	300
260.39435	305
260.41559	300
260.43683	304
260.45807	300
260.47931	296
260.50055	302
260.52179	301
260.54303	299
260.56427	297
260.58551	303
260.60675	297
260.62799	299
260.64923	297
260.67047	302
260.69171	302
260.71295	301
260.73419	305
260.75543	300
260.77667	298
260.79791	305
260.81912	308
260.84036	301
260.8616	296
260.88284	298
260.90408	299
260.92532	303
260.94656	306
260.9678	298
260.98904	300
261.01025	306
261.03149	304
261.05273	303
261.07397	297
261.09521	297
261.11646	305
261.1377	300
261.15891	302
