Date and Time:                Sun Jan 29 15:04:19.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.6
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              269
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



247.2984	6198
247.31972	5938
247.34102	5952
247.36234	5896
247.38365	5973
247.40495	5964
247.42627	6026
247.44759	5974
247.46889	5946
247.4902	5928
247.51151	5952
247.53282	5899
247.55412	5854
247.57544	5919
247.59674	5912
247.61806	5911
247.63936	5921
247.66068	5902
247.68198	5965
247.70329	5965
247.72459	5905
247.74591	5920
247.76721	5921
247.78853	5932
247.80983	5912
247.83113	5887
247.85245	5911
247.87375	5895
247.89505	5915
247.91637	5859
247.93767	5912
247.95897	5950
247.98029	5953
248.00159	5913
248.02289	5949
248.0442	5946
248.06551	5954
248.08681	5990
248.10811	5975
248.12943	5979
248.15073	5913
248.17203	5919
248.19333	5933
248.21463	5890
248.23595	5888
248.25725	5935
248.27855	5951
248.29985	5967
248.32115	5923
248.34245	5893
248.36375	5937
248.38506	5887
248.40636	5902
248.42767	5927
248.44897	5927
248.47028	5937
248.49158	5940
248.51288	5947
248.53418	6006
248.55548	5977
248.57678	5993
248.59808	5983
248.61938	5979
248.64069	5934
248.66197	6010
248.68327	5940
248.70457	5956
248.72588	5937
248.74718	5871
248.76848	5816
248.78978	5841
248.81108	5851
248.83238	5855
248.85367	5834
248.87497	5831
248.89627	5830
248.91757	5799
248.93887	5808
248.96016	5785
248.98146	5808
249.00276	5803
249.02406	5856
249.04535	5875
249.06665	5901
249.08795	5917
249.10924	5918
249.13054	5957
249.15184	5940
249.17313	5877
249.19443	5909
249.21573	5926
249.23701	5915
249.25832	5883
249.27962	5896
249.3009	5891
249.3222	5873
249.34349	5840
249.36479	5884
249.38608	5881
249.40738	5935
249.42867	5923
249.44997	5910
249.47125	5919
249.49255	5934
249.51384	5945
249.53514	5954
249.55643	5979
249.57773	6009
249.59901	6056
249.6203	6011
249.6416	6014
249.66289	6000
249.68419	6018
249.70547	6026
249.72676	6039
249.74806	6074
