Date and Time:                Sun Jan 29 15:11:22.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.6
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              269
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



247.2984	304
247.31972	301
247.34102	299
247.36234	302
247.38365	301
247.40495	299
247.42627	302
247.44759	309
247.46889	305
247.4902	297
247.51151	305
247.53282	307
247.55412	305
247.57544	303
247.59674	298
247.61806	306
247.63936	299
247.66068	298
247.68198	305
247.70329	301
247.72459	300
247.74591	299
247.76721	305
247.78853	304
247.80983	300
247.83113	305
247.85245	304
247.87375	305
247.89505	302
247.91637	294
247.93767	304
247.95897	305
247.98029	297
248.00159	307
248.02289	301
248.0442	303
248.06551	305
248.08681	304
248.10811	304
248.12943	305
248.15073	310
248.17203	293
248.19333	307
248.21463	303
248.23595	300
248.25725	304
248.27855	297
248.29985	303
248.32115	307
248.34245	304
248.36375	302
248.38506	305
248.40636	295
248.42767	300
248.44897	315
248.47028	302
248.49158	307
248.51288	300
248.53418	302
248.55548	303
248.57678	297
248.59808	294
248.61938	308
248.64069	298
248.66197	301
248.68327	302
248.70457	295
248.72588	303
248.74718	307
248.76848	306
248.78978	303
248.81108	302
248.83238	310
248.85367	300
248.87497	299
248.89627	307
248.91757	300
248.93887	302
248.96016	307
248.98146	304
249.00276	308
249.02406	300
249.04535	298
249.06665	298
249.08795	311
249.10924	297
249.13054	299
249.15184	304
249.17313	301
249.19443	307
249.21573	301
249.23701	307
249.25832	300
249.27962	308
249.3009	304
249.3222	299
249.34349	305
249.36479	304
249.38608	300
249.40738	301
249.42867	300
249.44997	297
249.47125	304
249.49255	295
249.51384	295
249.53514	301
249.55643	296
249.57773	296
249.59901	303
249.6203	297
249.6416	299
249.66289	301
249.68419	299
249.70547	305
249.72676	302
249.74806	300
249.76935	304
249.79063	304
249.81194	302
249.83322	299
249.85451	307
249.87579	305
249.89709	302
249.91838	306
249.93967	304
249.96095	299
249.98225	297
250.00354	300
250.02483	302
250.04611	303
250.0674	296
250.08868	299
250.10999	296
