# wl(nm) oob_tx(%)
2.785457700000000045e+02 3.684267357736746226e-03
2.785669199999999819e+02 3.626855027676843465e-03
2.785880700000000161e+02 3.728800193762427540e-03
2.786092499999999745e+02 3.655917596065962928e-03
2.786304000000000087e+02 3.610938227163900272e-03
2.786515400000000113e+02 3.675451152086665462e-03
2.786727199999999698e+02 3.658135109950506024e-03
2.786938700000000040e+02 3.646677923221381366e-03
2.787150199999999813e+02 3.668333584207210136e-03
2.787361999999999966e+02 3.664453238536007594e-03
2.787573499999999740e+02 3.638148135755790626e-03
2.787785000000000082e+02 3.617579698757920122e-03
2.787996799999999666e+02 3.616257552449111956e-03
2.788208300000000008e+02 3.625128273769688374e-03
2.788419700000000034e+02 3.610586748188858788e-03
2.788631499999999619e+02 3.618645336171486242e-03
2.788842999999999961e+02 3.614270826404132348e-03
2.789054499999999734e+02 3.614684795496603004e-03
2.789266299999999887e+02 3.588306498416436469e-03
2.789477799999999661e+02 3.646100759144236831e-03
2.789689300000000003e+02 3.584824244033591855e-03
2.789900799999999776e+02 3.562729728532837079e-03
2.790112599999999929e+02 3.567869244568466595e-03
2.790323999999999955e+02 3.582776984311510527e-03
2.790535499999999729e+02 3.532491632700401202e-03
2.790747000000000071e+02 3.550967969607243813e-03
2.790958799999999655e+02 3.494477340326686710e-03
2.791170299999999997e+02 3.526570048309177977e-03
2.791381799999999771e+02 3.470615455807496592e-03
2.791593300000000113e+02 3.569723214726754947e-03
2.791804799999999886e+02 3.510559618703262569e-03
2.792016499999999724e+02 3.524972204422098521e-03
2.792228000000000065e+02 3.528844467823952051e-03
2.792439499999999839e+02 3.525899142630180543e-03
2.792650999999999613e+02 3.497962617026622364e-03
2.792862499999999955e+02 3.502102790977114962e-03
2.793074300000000108e+02 3.455997203744361809e-03
2.793285799999999881e+02 3.441901552454645647e-03
2.793497299999999655e+02 3.442685381644088743e-03
2.793708699999999681e+02 3.443078747912007524e-03
2.793920200000000023e+02 3.418747655319773031e-03
2.794131699999999796e+02 3.436851652708530335e-03
2.794343200000000138e+02 3.432162685813836163e-03
2.794554999999999723e+02 3.425752771228013967e-03
