Date and Time:                Sat Jan 28 15:03:24.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              299
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



277.45346	16155
277.47461	15483
277.49579	15471
277.51694	15392
277.53812	15523
277.55927	15634
277.58044	15605
277.60159	15511
277.62277	15478
277.64392	15447
277.6651	15388
277.68625	15346
277.70743	15154
277.72858	15276
277.74976	15287
277.7709	15308
277.79208	15330
277.81323	15382
277.83441	15497
277.85556	15452
277.87671	15362
277.89789	15424
277.91904	15428
277.94022	15401
277.96136	15373
277.98254	15388
278.00369	15377
278.02484	15473
278.04602	15435
278.06717	15477
278.08832	15559
278.1095	15640
278.13065	15633
278.15182	15632
278.17297	15613
278.19412	15641
278.2153	15631
278.23645	15684
278.2576	15761
278.27878	15808
278.29993	15653
278.32108	15673
278.34222	15547
278.3634	15599
278.38455	15607
278.4057	15751
278.42688	15835
278.44803	15841
278.46918	15823
278.49033	15785
278.51151	15756
278.53265	15773
278.5538	15798
278.57495	15922
278.59613	15978
278.61728	15849
278.63843	15815
278.65958	15843
278.68073	15950
278.7019	16022
278.72305	15930
278.7442	15977
278.76535	15959
278.7865	15921
278.80765	15962
278.82883	15951
278.84998	15920
278.87112	15858
278.89227	15779
278.91342	15603
278.93457	15600
278.95572	15613
278.9769	15612
278.99805	15528
279.0192	15598
279.04034	15569
279.06149	15490
279.08264	15492
279.10379	15540
279.12494	15515
279.14609	15552
279.16724	15686
279.18839	15701
279.20953	15797
279.23068	15846
279.25183	15905
279.27298	15980
279.29413	15875
279.31528	15741
279.33643	15787
279.35757	15891
279.37872	15922
279.39987	15864
279.42102	15824
279.44217	15731
279.46332	15878
279.48447	15841
279.50562	15773
279.52676	15893
279.54791	15938
279.56906	15942
279.59021	15909
279.61136	15915
279.63251	15982
279.65366	16092
279.6748	16193
279.69595	16320
279.7171	16413
279.73822	16419
279.75937	16325
279.78052	16322
279.80167	16343
279.82281	16354
279.84396	16405
279.86511	16513
279.88623	16509
