Date and Time:                Sat Nov 11 16:05:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.045
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	295
366.98206	305
367.00275	308
367.02341	300
367.0441	299
367.06479	300
367.08548	302
367.10617	304
367.12683	301
367.14752	304
367.16821	298
367.1889	299
367.20956	297
367.23026	300
367.25095	301
367.27161	292
367.2923	303
367.31299	304
367.33368	303
367.35434	303
367.37503	303
367.39572	300
367.41638	298
367.43707	299
367.45776	303
367.47842	297
367.49911	297
367.51981	303
367.54047	299
367.56116	296
367.58182	297
367.60251	309
367.6232	297
367.64386	303
367.66455	301
367.68521	302
367.7059	305
367.72656	297
367.74725	298
367.76794	304
367.7886	305
367.8093	306
367.82996	298
367.85065	294
367.87131	304
367.892	300
367.91266	296
367.93335	299
367.95401	298
367.9747	301
367.99536	295
368.01605	299
368.03671	300
368.05737	294
368.07806	297
368.09872	303
368.11942	303
368.14008	303
368.16077	301
368.18143	303
368.20209	307
368.22278	304
368.24344	303
368.2641	295
368.28479	304
368.30545	305
368.32614	306
368.3468	308
368.36746	301
368.38815	300
368.40881	303
368.42947	298
368.45013	300
368.47083	303
368.49149	294
368.51215	299
368.53284	300
368.5535	300
368.57416	300
368.59482	296
368.61551	305
368.63617	301
368.65683	302
368.67749	298
368.69818	302
368.71884	295
368.7395	306
368.76016	295
368.78082	298
368.80151	304
368.82217	298
368.84283	301
368.86349	302
368.88416	301
368.90482	302
368.92548	297
368.94617	300
368.96683	308
368.98749	302
369.00815	296
369.02881	303
369.04947	299
369.07013	299
369.09079	299
369.11145	295
369.13211	295
369.1528	301
369.17346	294
369.19412	302
369.21478	296
369.23544	302
369.2561	300
369.27676	296
369.29742	306
369.31808	299
369.33875	302
369.35941	303
369.38007	295
369.40073	303
369.42139	294
369.44205	303
369.46268	299
369.48334	300
369.504	299
369.52466	296
369.54532	301
369.56598	297
369.58664	299
369.6073	297
369.62796	305
369.64862	303
369.66928	294
369.68991	301
