Date and Time:                Sat Nov 11 16:10:53.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.00821
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	14673
366.98206	14055
367.00275	14086
367.02341	14177
367.0441	14122
367.06479	14093
367.08548	14180
367.10617	14196
367.12683	14171
367.14752	14125
367.16821	14169
367.1889	14197
367.20956	14166
367.23026	14165
367.25095	14211
367.27161	14211
367.2923	14282
367.31299	14167
367.33368	14233
367.35434	14242
367.37503	14212
367.39572	14210
367.41638	14169
367.43707	14205
367.45776	14190
367.47842	14239
367.49911	14276
367.51981	14276
367.54047	14206
367.56116	14267
367.58182	14186
367.60251	14207
367.6232	14256
367.64386	14246
367.66455	14222
367.68521	14226
367.7059	14232
367.72656	14227
367.74725	14242
367.76794	14264
367.7886	14300
367.8093	14242
367.82996	14250
367.85065	14301
367.87131	14225
367.892	14307
367.91266	14248
367.93335	14260
367.95401	14284
367.9747	14348
367.99536	14293
368.01605	14342
368.03671	14349
368.05737	14354
368.07806	14328
368.09872	14416
368.11942	14328
368.14008	14356
368.16077	14400
368.18143	14410
368.20209	14385
368.22278	14391
368.24344	14439
368.2641	14401
368.28479	14418
368.30545	14407
368.32614	14413
368.3468	14386
368.36746	14411
368.38815	14419
368.40881	14379
368.42947	14443
368.45013	14458
368.47083	14440
368.49149	14505
368.51215	14492
368.53284	14479
368.5535	14560
368.57416	14518
368.59482	14524
368.61551	14495
368.63617	14535
368.65683	14527
368.67749	14555
368.69818	14579
368.71884	14592
368.7395	14612
368.76016	14534
368.78082	14492
368.80151	14486
368.82217	14581
368.84283	14487
368.86349	14509
368.88416	14572
368.90482	14552
368.92548	14596
368.94617	14547
368.96683	14548
368.98749	14593
369.00815	14548
369.02881	14504
369.04947	14592
369.07013	14551
369.09079	14635
369.11145	14601
369.13211	14621
369.1528	14662
369.17346	14682
369.19412	14651
369.21478	14590
369.23544	14640
369.2561	14649
369.27676	14624
369.29742	14649
369.31808	14644
369.33875	14715
