Date and Time:                Sat Nov 11 16:01:26.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.045
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	303
366.98206	304
367.00275	302
367.02341	296
367.0441	302
367.06479	302
367.08548	300
367.10617	307
367.12683	301
367.14752	300
367.16821	306
367.1889	302
367.20956	305
367.23026	302
367.25095	300
367.27161	305
367.2923	294
367.31299	304
367.33368	298
367.35434	301
367.37503	304
367.39572	303
367.41638	299
367.43707	303
367.45776	307
367.47842	310
367.49911	297
367.51981	299
367.54047	305
367.56116	300
367.58182	301
367.60251	301
367.6232	300
367.64386	302
367.66455	298
367.68521	309
367.7059	304
367.72656	301
367.74725	306
367.76794	310
367.7886	302
367.8093	304
367.82996	301
367.85065	299
367.87131	300
367.892	303
367.91266	305
367.93335	301
367.95401	298
367.9747	301
367.99536	302
368.01605	303
368.03671	298
368.05737	295
368.07806	298
368.09872	305
368.11942	302
368.14008	301
368.16077	307
368.18143	302
368.20209	307
368.22278	307
368.24344	297
368.2641	302
368.28479	304
368.30545	299
368.32614	304
368.3468	302
368.36746	299
368.38815	295
368.40881	308
368.42947	298
368.45013	300
368.47083	301
368.49149	299
368.51215	299
368.53284	308
368.5535	302
368.57416	298
368.59482	302
368.61551	305
368.63617	309
368.65683	298
368.67749	304
368.69818	303
368.71884	298
368.7395	297
368.76016	307
368.78082	301
368.80151	301
368.82217	299
368.84283	300
368.86349	304
368.88416	305
368.90482	304
368.92548	302
368.94617	304
368.96683	300
368.98749	300
369.00815	301
369.02881	306
369.04947	297
369.07013	301
369.09079	301
369.11145	304
369.13211	304
369.1528	305
369.17346	303
369.19412	305
369.21478	302
369.23544	304
369.2561	298
369.27676	300
369.29742	302
369.31808	301
369.33875	294
369.35941	304
369.38007	302
369.40073	304
369.42139	292
369.44205	307
369.46268	301
369.48334	303
369.504	311
369.52466	298
369.54532	304
369.56598	302
369.58664	311
369.6073	300
369.62796	306
369.64862	304
369.66928	303
369.68991	306
