Date and Time:                Sat Nov 11 16:07:55.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         50
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	484
366.98206	484
367.00275	468
367.02341	468
367.0441	474
367.06479	469
367.08548	470
367.10617	479
367.12683	466
367.14752	465
367.16821	461
367.1889	482
367.20956	469
367.23026	470
367.25095	468
367.27161	473
367.2923	471
367.31299	462
367.33368	477
367.35434	460
367.37503	455
367.39572	455
367.41638	475
367.43707	464
367.45776	454
367.47842	469
367.49911	464
367.51981	453
367.54047	459
367.56116	461
367.58182	455
367.60251	466
367.6232	470
367.64386	465
367.66455	457
367.68521	479
367.7059	473
367.72656	462
367.74725	468
367.76794	478
367.7886	459
367.8093	466
367.82996	461
367.85065	465
367.87131	505
367.892	471
367.91266	467
367.93335	454
367.95401	460
367.9747	455
367.99536	462
368.01605	462
368.03671	459
368.05737	466
368.07806	465
368.09872	466
368.11942	460
368.14008	480
368.16077	453
368.18143	458
368.20209	469
368.22278	462
368.24344	476
368.2641	454
368.28479	462
368.30545	455
368.32614	461
368.3468	462
368.36746	481
368.38815	451
368.40881	458
368.42947	457
368.45013	477
368.47083	457
368.49149	456
368.51215	469
368.53284	463
368.5535	450
368.57416	461
368.59482	467
368.61551	450
368.63617	456
368.65683	459
368.67749	457
368.69818	445
368.71884	456
368.7395	456
368.76016	458
368.78082	457
368.80151	464
368.82217	451
368.84283	442
368.86349	459
368.88416	456
368.90482	441
368.92548	448
368.94617	456
368.96683	441
368.98749	459
369.00815	437
369.02881	455
369.04947	452
369.07013	448
369.09079	454
369.11145	446
369.13211	455
369.1528	446
369.17346	456
369.19412	459
369.21478	469
369.23544	457
369.2561	444
369.27676	443
369.29742	453
369.31808	453
369.33875	447
369.35941	442
369.38007	455
369.40073	448
369.42139	458
369.44205	442
369.46268	439
369.48334	439
369.504	454
369.52466	451
369.54532	459
369.56598	441
369.58664	447
369.6073	448
369.62796	453
369.64862	445
369.66928	441
369.68991	446
369.71057	442
