Date and Time:                Sat Nov 11 15:13:06.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
286.7178	302
286.73889	301
286.75995	307
286.78104	307
286.80212	305
286.82321	299
286.8443	309
286.86539	304
286.88644	304
286.90753	306
286.92862	301
286.94971	307
286.97079	306
286.99188	306
287.01294	309
287.03403	301
287.05511	303
287.0762	305
287.09726	304
287.11835	303
287.13943	307
287.16052	308
287.18158	302
287.20267	303
287.22375	302
287.24484	298
287.2659	301
287.28699	305
287.30807	308
287.32913	300
287.35022	305
287.37131	307
287.39236	302
287.41345	303
287.43454	303
287.4556	307
287.47668	307
287.49777	311
287.51883	306
287.53992	300
287.56097	308
287.58206	307
287.60315	309
287.62421	316
287.64529	310
287.66635	303
287.68744	302
287.70853	304
287.72958	305
287.75067	302
287.77173	305
287.79282	303
287.81387	305
287.83496	306
287.85602	303
287.87711	308
287.89816	308
287.91925	300
287.94031	304
287.9614	310
287.98245	302
288.00354	308
288.0246	306
288.04568	308
288.06674	310
288.08783	302
288.10889	308
288.12994	304
288.15103	303
288.17209	304
288.19318	312
288.21423	305
288.23529	304
288.25638	302
288.27744	311
288.29852	304
288.31958	306
288.34064	304
288.36172	299
288.38278	301
288.40384	300
288.42493	305
288.44598	310
288.46704	309
288.48813	302
288.50919	310
288.53024	302
288.55133	306
288.57239	303
288.59344	305
288.6145	305
288.63559	305
288.65665	304
288.6777	305
288.69876	298
288.71985	300
288.74091	303
288.76196	307
288.78302	305
288.80411	310
288.82516	303
288.84622	305
288.86728	308
288.88834	311
288.90942	305
288.93048	304
288.95154	303
288.9726	300
288.99365	310
289.01471	300
289.03577	306
289.05685	299
289.07791	297
289.09897	310
289.12003	307
289.14108	306
289.16214	302
289.1832	307
289.20425	306
289.22531	306
289.24637	302
