Date and Time:                Tue Apr 26 12:09:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              250
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



228.20435	307
228.22575	302
228.24715	305
228.26855	305
228.28995	307
228.31136	301
228.33275	307
228.35414	303
228.37555	302
228.39694	308
228.41833	305
228.43974	307
228.46114	307
228.48253	305
228.50394	300
228.52533	308
228.54672	306
228.56813	301
228.58952	304
228.61092	301
228.63231	305
228.65372	307
228.67511	300
228.6965	299
228.7179	300
228.7393	302
228.7607	302
228.78209	297
228.80348	306
228.82487	304
228.84627	312
228.86766	297
228.88907	303
228.91046	308
228.93185	308
228.95325	304
228.97464	304
228.99603	310
229.01743	306
229.03882	307
229.06021	303
229.0816	305
229.103	303
229.12439	304
229.14578	307
229.16718	305
229.18857	306
229.20996	300
229.23135	304
229.25275	303
229.27414	309
229.29553	305
229.31693	305
229.3383	305
229.3597	298
229.38109	302
229.40248	298
229.42387	306
229.44527	303
229.46666	300
229.48804	300
229.50943	306
229.53082	306
229.55222	303
229.57359	304
229.59499	309
229.61638	298
229.63777	301
229.65915	306
229.68054	302
229.70193	301
229.72331	302
229.74471	312
229.7661	306
229.78748	303
229.80887	299
229.83026	303
229.85164	309
229.87303	308
229.89441	306
229.9158	301
229.93719	301
229.95857	309
229.97997	303
230.00134	300
230.02274	307
230.04411	305
230.06551	308
230.08688	301
230.10828	302
230.12965	301
230.15105	308
230.17242	307
230.19382	305
230.21519	307
230.23657	306
230.25797	306
230.27934	306
230.30074	303
230.32211	304
230.34349	308
230.36488	303
230.38626	305
230.40764	305
230.42903	301
230.45041	303
230.47179	301
230.49316	307
230.51456	303
230.53593	314
230.55731	304
230.57869	303
230.60008	302
230.62146	303
230.64284	306
230.66422	306
230.68559	309
230.70699	298
230.72836	299
230.74974	305
230.77112	308
230.7925	303
230.81387	305
230.83525	304
230.85663	309
230.87801	307
230.89938	301
230.92078	303
230.94215	300
230.96353	309
230.98491	305
231.00629	308
231.02766	299
231.04904	301
