# wl center_tx left_tx right_tx top_tx bottom_tx
370.8906860 0.2154008 0.2151986 0.2205301 0.2259530 0.2027602
370.9113336 0.2155202 0.2148741 0.2207433 0.2263939 0.2025795
370.9319812 0.2149545 0.2146714 0.2196554 0.2255684 0.2022967
370.9526288 0.2131039 0.2130534 0.2185238 0.2239341 0.2011738
370.9732465 0.2126988 0.2125179 0.2183670 0.2237377 0.2008934
370.9938941 0.2115896 0.2114433 0.2162795 0.2219663 0.1992659
371.0145517 0.2107211 0.2104760 0.2159208 0.2212459 0.1992788
371.0351993 0.2107203 0.2101963 0.2154347 0.2210245 0.1989284
371.0558170 0.2097818 0.2091063 0.2145833 0.2202259 0.1978567
371.0764646 0.2084777 0.2083677 0.2138172 0.2189270 0.1980303
371.0971122 0.2083208 0.2075099 0.2133385 0.2188174 0.1971383
371.1177598 0.2068369 0.2066469 0.2113966 0.2166175 0.1960404
371.1383775 0.2067231 0.2064028 0.2121800 0.2173010 0.1965670
371.1590251 0.2062948 0.2056824 0.2112256 0.2161094 0.1956067
371.1796727 0.2054864 0.2049163 0.2099843 0.2148635 0.1949770
371.2002904 0.2035285 0.2033291 0.2089058 0.2134406 0.1943962
371.2209380 0.2036181 0.2035891 0.2082577 0.2133196 0.1939457
371.2415856 0.2024201 0.2029187 0.2074404 0.2122520 0.1934772
371.2622032 0.2017126 0.2023038 0.2073448 0.2115660 0.1935868
371.2828509 0.2012081 0.2013578 0.2057934 0.2102674 0.1923081
371.3034985 0.2008442 0.2012405 0.2057091 0.2099681 0.1924879
371.3241161 0.2000127 0.2001522 0.2052405 0.2096761 0.1922185
371.3447638 0.1998177 0.1999799 0.2045011 0.2088834 0.1920030
371.3654114 0.1987306 0.1994854 0.2036486 0.2078989 0.1915733
371.3860290 0.1976686 0.1986074 0.2028756 0.2067759 0.1910699
371.4066767 0.1980135 0.1991462 0.2023684 0.2066266 0.1908211
371.4273243 0.1964819 0.1970908 0.2008831 0.2043305 0.1901133
371.4479419 0.1959510 0.1970667 0.2010365 0.2045900 0.1901467
371.4685896 0.1961827 0.1971404 0.2004724 0.2042803 0.1899793
371.4892072 0.1949775 0.1964221 0.1999319 0.2030111 0.1901821
371.5098549 0.1948189 0.1961713 0.1993859 0.2028983 0.1894560
371.5305025 0.1943104 0.1962069 0.1985147 0.2018225 0.1893634
371.5511201 0.1926128 0.1948525 0.1976229 0.2006517 0.1891748
371.5717678 0.1930295 0.1949274 0.1977783 0.2002977 0.1892493
371.5923854 0.1926636 0.1947383 0.1964663 0.1997831 0.1887375
371.6130331 0.1921138 0.1946426 0.1970966 0.1997812 0.1894982
371.6336507 0.1917459 0.1942376 0.1960916 0.1991756 0.1889197
371.6542984 0.1912946 0.1940667 0.1957103 0.1984114 0.1888776
371.6749160 0.1905419 0.1935384 0.1954068 0.1978016 0.1890277
371.6955636 0.1909944 0.1932340 0.1949505 0.1973552 0.1884346
371.7161813 0.1902654 0.1931596 0.1937093 0.1960559 0.1886104
371.7368289 0.1898061 0.1931664 0.1946488 0.1968263 0.1891227
371.7574466 0.1894834 0.1924415 0.1935801 0.1959807 0.1884171
371.7780942 0.1893827 0.1936327 0.1937110 0.1956432 0.1890264
371.7987119 0.1885330 0.1923719 0.1933282 0.1950746 0.1891353
371.8193595 0.1892109 0.1928349 0.1926305 0.1945281 0.1888761
371.8399772 0.1890574 0.1932881 0.1930766 0.1945821 0.1895058
371.8606248 0.1885109 0.1926872 0.1930565 0.1947125 0.1899469
371.8812425 0.1885323 0.1924981 0.1922870 0.1941062 0.1894517
371.9018901 0.1883834 0.1932180 0.1924280 0.1936141 0.1902420
371.9225078 0.1876404 0.1922291 0.1919450 0.1931441 0.1899955
371.9431554 0.1883543 0.1930138 0.1923169 0.1931634 0.1905787
371.9637731 0.1879368 0.1932405 0.1916815 0.1923638 0.1904538
371.9843908 0.1874833 0.1924799 0.1919637 0.1924739 0.1907012
372.0050384 0.1877537 0.1931775 0.1909080 0.1924723 0.1906552
372.0256561 0.1876171 0.1936151 0.1920385 0.1925350 0.1913896
372.0463037 0.1872442 0.1931441 0.1916790 0.1919633 0.1916691
372.0669214 0.1875992 0.1929975 0.1908128 0.1915648 0.1911176
372.0875390 0.1878545 0.1941911 0.1919382 0.1921966 0.1927687
372.1081867 0.1876426 0.1934937 0.1913890 0.1919904 0.1922040
372.1288044 0.1880681 0.1938086 0.1916804 0.1915120 0.1925682
372.1494520 0.1875890 0.1944125 0.1919695 0.1917335 0.1935777
372.1700697 0.1877183 0.1943132 0.1919808 0.1918778 0.1936672
372.1906873 0.1888690 0.1955174 0.1916623 0.1917096 0.1940222
372.2113350 0.1878973 0.1947889 0.1920051 0.1913529 0.1942310
372.2319527 0.1888906 0.1955506 0.1922823 0.1923273 0.1950653
372.2525703 0.1885956 0.1951190 0.1917632 0.1915025 0.1945878
372.2731880 0.1886835 0.1965309 0.1930368 0.1925905 0.1961355
372.2938356 0.1891529 0.1968488 0.1930652 0.1930790 0.1959306
372.3144533 0.1894505 0.1971472 0.1929328 0.1923274 0.1967257
372.3350710 0.1894271 0.1972572 0.1936303 0.1925152 0.1972988
372.3557286 0.1900499 0.1974544 0.1936391 0.1929709 0.1976745
372.3763363 0.1902725 0.1984753 0.1932902 0.1926653 0.1977654
372.3969540 0.1904794 0.1984119 0.1945279 0.1936714 0.1990444
372.4175717 0.1909350 0.1988991 0.1944209 0.1937039 0.1990813
372.4382293 0.1909807 0.1998194 0.1947380 0.1940084 0.1996762
372.4588470 0.1909866 0.1991826 0.1948616 0.1934667 0.1997627
372.4794547 0.1925981 0.2008191 0.1956083 0.1945001 0.2007365
372.5000723 0.1922939 0.2004667 0.1952838 0.1941511 0.2007121
372.5207300 0.1925730 0.2015828 0.1964786 0.1952287 0.2019811
372.5413477 0.1936474 0.2020939 0.1970618 0.1959440 0.2027079
372.5619554 0.1934907 0.2028189 0.1966524 0.1953313 0.2024171
