Date and Time:                Wed May 25 12:40:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.7
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              288
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.14606	305
278.15576	307
278.16547	302
278.17517	304
278.18491	303
278.19461	301
278.20432	299
278.21402	302
278.22372	299
278.23343	305
278.24313	301
278.25284	295
278.26254	304
278.27228	305
278.28198	305
278.29169	301
278.30139	301
278.3111	304
278.3208	299
278.33051	304
278.34021	300
278.34991	305
278.35962	307
278.36932	298
278.37903	299
278.38873	296
278.39844	303
278.40814	301
278.41788	303
278.42758	302
278.43729	303
278.44699	304
278.4567	309
278.4664	300
278.4761	305
278.48581	307
278.49551	302
278.50522	302
278.51492	300
278.52463	301
278.5343	304
278.54401	303
278.55371	303
278.56342	298
278.57312	303
278.58282	307
278.59253	303
278.60223	308
278.61194	304
278.62164	302
278.63135	306
278.64105	302
278.65076	306
278.66046	298
278.67017	304
278.67987	296
278.68954	304
278.69925	307
278.70895	299
278.71866	306
278.72836	297
278.73807	306
278.74777	301
278.75748	301
278.76715	306
278.77686	301
278.78656	303
278.79626	301
278.80597	309
278.81567	307
278.82535	298
278.83505	304
278.84476	301
278.85446	306
278.86417	306
278.87387	302
278.88354	303
278.89325	306
278.90295	300
278.91266	303
278.92233	302
278.93204	302
278.94174	297
278.95145	299
278.96115	305
278.97083	298
278.98053	306
278.99023	302
278.99994	302
279.00961	305
279.01932	307
279.02902	300
279.03873	300
279.0484	300
279.05811	299
279.06781	303
279.07748	301
279.08719	308
279.09689	299
279.10657	303
279.11627	304
279.12598	308
279.13568	301
279.14536	299
279.15506	299
279.16476	301
279.17444	301
279.18414	303
279.19382	304
279.20352	304
279.21323	304
279.2229	300
279.2326	303
279.24231	302
279.25198	295
279.26169	304
279.27136	301
279.28107	299
279.29077	302
279.30045	304
279.31015	300
279.31982	304
279.32953	300
279.33923	301
279.34891	300
279.35861	291
279.36829	303
279.37799	303
279.38766	305
279.39737	301
279.40707	299
279.41675	298
279.42645	299
279.43613	306
