Date and Time:                Wed May 25 12:38:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              288
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.14606	26037
278.15576	24905
278.16547	25037
278.17517	25119
278.18491	25247
278.19461	25066
278.20432	24817
278.21402	24821
278.22372	25256
278.23343	25150
278.24313	25089
278.25284	24957
278.26254	25010
278.27228	24986
278.28198	24937
278.29169	24747
278.30139	24862
278.3111	25186
278.3208	25435
278.33051	25101
278.34021	24903
278.34991	24810
278.35962	24761
278.36932	24720
278.37903	24485
278.38873	24481
278.39844	24557
278.40814	24449
278.41788	24400
278.42758	24363
278.43729	24495
278.44699	24578
278.4567	24582
278.4664	24617
278.4761	24590
278.48581	24360
278.49551	24312
278.50522	24297
278.51492	24365
278.52463	24254
278.5343	24144
278.54401	24351
278.55371	24715
278.56342	24729
278.57312	24633
278.58282	24429
278.59253	24419
278.60223	24458
278.61194	24439
278.62164	24691
278.63135	24890
278.64105	25043
278.65076	25025
278.66046	24952
278.67017	24820
278.67987	24852
278.68954	24794
278.69925	24987
278.70895	24993
278.71866	24995
278.72836	24874
278.73807	24821
278.74777	24772
278.75748	24831
278.76715	24763
278.77686	24678
278.78656	24700
278.79626	24600
278.80597	24476
278.81567	24513
278.82535	24663
278.83505	24683
278.84476	24698
278.85446	24793
278.86417	24880
278.87387	24802
278.88354	24806
278.89325	24823
278.90295	24704
278.91266	24586
278.92233	24525
278.93204	24539
278.94174	24480
278.95145	24373
278.96115	24292
278.97083	24385
278.98053	24475
278.99023	24429
278.99994	24294
279.00961	24362
279.01932	24319
279.02902	24252
279.03873	24349
279.0484	24514
279.05811	24731
279.06781	24775
279.07748	24741
279.08719	24716
279.09689	24693
279.10657	24684
279.11627	24616
279.12598	24702
279.13568	24687
279.14536	24732
279.15506	24557
279.16476	24507
279.17444	24416
279.18414	24427
279.19382	24421
279.20352	24632
279.21323	24880
279.2229	25025
279.2326	24969
279.24231	24847
279.25198	24875
279.26169	24872
279.27136	25016
