Date and Time:                Tue Jan 31 14:56:16.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



232.22389	6943
232.24527	6607
232.26665	6562
232.28802	6512
232.3094	6559
232.3308	6565
232.35217	6532
232.37355	6530
232.39493	6487
232.41631	6410
232.4377	6433
232.45908	6343
232.48045	6330
232.50183	6299
232.52321	6294
232.54459	6318
232.56596	6307
232.58734	6293
232.60872	6312
232.63011	6260
232.65149	6253
232.67287	6239
232.69424	6237
232.71562	6239
232.737	6213
232.75838	6196
232.77975	6176
232.80113	6209
232.82251	6182
232.84387	6148
232.86525	6164
232.88663	6163
232.908	6136
232.92938	6163
232.95076	6108
232.97214	6146
232.99352	6133
233.01489	6117
233.03625	6132
233.05763	6161
233.07901	6088
233.10039	6084
233.12177	6026
233.14314	6007
233.16451	6006
233.18588	5997
233.20726	6000
233.22864	5977
233.25	6002
233.27138	5985
233.29276	5949
233.31412	5955
233.33549	5938
233.35687	5927
233.37823	5964
233.39961	5947
233.42099	5918
233.44235	5991
233.46373	5937
233.48511	5938
233.50647	5932
233.52785	5911
233.54921	5918
233.57059	5884
233.59195	5839
233.61333	5828
233.6347	5831
233.65607	5810
233.67744	5768
233.69881	5735
233.72018	5692
233.74155	5703
233.76291	5682
233.78429	5676
233.80565	5682
233.82703	5655
233.84839	5631
233.86977	5553
233.89113	5634
233.91249	5598
233.93387	5604
233.95523	5598
233.97659	5649
233.99797	5602
234.01933	5600
234.0407	5634
234.06207	5611
234.08344	5586
234.1048	5616
234.12617	5546
234.14754	5540
234.1689	5542
234.19026	5498
234.21164	5488
234.233	5460
234.25436	5477
234.27573	5501
234.29709	5463
234.31845	5491
234.33983	5503
234.36119	5448
234.38255	5419
234.40392	5432
234.42528	5432
234.44664	5406
234.468	5419
234.48936	5454
234.51073	5472
234.53209	5471
234.55345	5439
234.57483	5388
234.59619	5399
234.61755	5333
234.63892	5380
234.66028	5432
234.68163	5425
234.70299	5342
