Date and Time:                Tue Jan 31 15:16:20.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
239.52614	6169
239.54745	6166
239.56879	6185
239.5901	6203
239.61142	6262
239.63274	6207
239.65407	6191
239.67538	6205
239.6967	6196
239.71802	6216
239.73933	6265
239.76065	6265
239.78198	6331
239.8033	6319
239.82462	6360
239.84593	6382
239.86725	6357
239.88857	6368
239.90988	6404
239.9312	6416
239.95251	6448
239.97383	6450
239.99515	6425
240.01646	6384
240.03778	6379
240.0591	6411
240.08041	6391
240.10173	6464
240.12305	6535
240.14436	6557
240.16568	6501
240.187	6461
240.20831	6479
240.22963	6499
240.25095	6518
240.27225	6567
240.29356	6593
240.31488	6622
240.3362	6591
240.35751	6547
240.37881	6609
240.40013	6605
240.42145	6623
240.44276	6659
240.46408	6657
240.48538	6658
240.5067	6622
240.52802	6593
240.54932	6634
240.57063	6659
240.59195	6597
240.61325	6629
240.63457	6622
240.65588	6625
240.67719	6680
240.6985	6688
240.7198	6653
240.74112	6649
240.76244	6667
240.78374	6717
240.80505	6775
240.82635	6758
240.84767	6762
240.86897	6807
240.89029	6792
240.91159	6772
240.93291	6708
240.95421	6744
240.97552	6749
240.99683	6732
241.01814	6708
241.03944	6774
241.06075	6798
241.08206	6796
241.10336	6808
241.12466	6759
241.14598	6804
241.16728	6768
241.18858	6828
241.2099	6858
241.2312	6935
241.2525	6961
241.27382	6948
241.29512	6945
241.31642	6964
241.33772	6973
241.35904	6898
241.38034	6955
241.40164	6961
241.42294	6964
241.44424	6956
241.46556	6942
241.48686	6997
241.50816	6932
241.52946	6998
241.55077	7046
241.57207	7082
241.59337	7085
241.61467	7127
241.63597	7148
241.65727	7149
241.67857	7122
241.69987	7176
241.72119	7265
241.74249	7251
241.76378	7355
241.78508	7329
241.80638	7340
241.82768	7332
241.84898	7362
241.87029	7331
241.89159	7373
241.91289	7413
241.93419	7385
241.95549	7364
241.97679	7330
241.99809	7357
242.01938	7324
242.04068	7335
242.06198	7348
242.08328	7353
242.10458	7388
242.12587	7385
242.14717	7445
242.16847	7427
242.18977	7419
242.21106	7418
242.23236	7518
242.25366	7580
242.27495	7578
242.29625	7593
242.31755	7580
242.33884	7592
242.36014	7529
242.38144	7550
242.40273	7545
242.42403	7573
242.44531	7544
242.46661	7482
242.48792	7572
242.5092	7569
242.5305	7586
242.55179	7626
242.57309	7580
242.59438	7631
242.61568	7666
242.63696	7593
242.65826	7562
242.67955	7591
242.70084	7620
242.72214	7681
242.74342	7691
242.76472	7723
242.78601	7697
242.8073	7633
242.8286	7691
242.84988	7698
242.87117	7730
242.89247	7729
242.91376	7765
242.93504	7775
242.95634	7741
242.97763	7752
242.99892	7845
243.0202	7849
243.0415	7882
243.06279	7858
243.08408	7884
243.10536	7851
243.12665	7871
243.14795	7884
243.16924	7910
243.19052	7956
243.21181	7963
243.23309	7954
243.25438	7995
243.27567	7975
243.29695	8064
243.31825	8034
243.33954	8048
243.36082	8060
243.38211	8093
243.4034	8035
243.42468	8104
243.44597	8110
243.46725	8121
243.48854	8065
243.50983	8037
243.5311	8023
243.55238	7999
243.57367	8047
243.59496	8100
243.61624	8097
243.63753	8081
243.65881	8075
243.6801	8097
243.70139	8174
243.72266	8063
243.74394	8159
243.76523	8172
243.78651	8132
243.8078	8132
243.82907	8119
243.85036	8143
243.87164	8156
243.89291	8132
243.9142	8086
243.93549	8156
243.95677	8167
243.97804	8124
243.99933	8184
244.02061	8171
244.04189	8180
244.06317	8137
244.08444	8083
244.10573	8046
244.12701	8045
244.14828	8008
244.16957	8058
244.19084	8103
244.21213	8118
244.2334	8135
244.25468	8063
244.27596	8058
244.29724	8057
244.31851	8099
244.3398	8121
244.36107	8179
244.38235	8253
244.40363	8230
244.4249	8230
244.44618	8202
244.46745	8266
244.48872	8250
244.51001	8325
244.53128	8335
244.55255	8345
244.57384	8343
244.59511	8298
244.61638	8222
244.63766	8280
244.65894	8277
244.68021	8286
244.70148	8360
244.72276	8455
244.74403	8448
244.7653	8431
244.78658	8386
244.80785	8437
244.82912	8477
244.8504	8416
244.87167	8522
244.89294	8595
244.91422	8543
244.93549	8528
244.95676	8532
244.97803	8526
244.9993	8502
245.02057	8559
245.04184	8557
245.06311	8587
245.08438	8541
245.10565	8502
245.12692	8541
245.14819	8543
245.16946	8584
245.19073	8599
245.21201	8625
245.23328	8706
245.25455	8677
245.27582	8624
245.29709	8653
245.31834	8706
245.33961	8715
245.36089	8737
245.38216	8786
245.40343	8811
245.4247	8789
245.44595	8762
245.46722	8689
245.48849	8679
245.50977	8624
245.53102	8657
245.55229	8726
245.57356	8759
245.59482	8798
245.61609	8839
245.63736	8860
245.65862	8851
245.67989	8890
245.70116	8930
245.72241	8918
245.74368	8992
245.76494	8968
245.78621	8932
245.80748	8935
245.82874	9034
245.85001	8988
245.87126	9020
245.89253	9086
245.91379	9142
245.93506	9188
245.95631	9125
245.97757	9105
245.99884	9116
246.0201	9188
246.04137	9322
246.06262	9317
246.08389	9366
246.10515	9356
246.1264	9422
246.14767	9434
246.16893	9437
246.19019	9404
246.21146	9412
246.23271	9415
246.25397	9542
246.27522	9469
246.29649	9500
246.31775	9447
246.339	9439
246.36026	9478
246.38153	9408
246.40279	9375
246.42404	9369
246.4453	9358
246.46655	9441
246.48781	9443
246.50906	9475
246.53033	9474
246.55159	9545
246.57285	9643
246.5941	9612
246.61536	9628
246.63661	9739
246.65787	9706
246.67912	9726
246.70038	9705
246.72163	9728
246.74289	9763
246.76414	9754
246.7854	9693
246.80666	9707
246.82791	9716
246.84917	9766
246.87042	9794
246.89166	9795
246.91292	9780
246.93417	9751
246.95543	9755
246.97668	9826
246.99794	9868
247.01918	9978
247.04044	9989
247.06169	9996
247.08295	10023
247.1042	10053
247.12544	10112
247.1467	10003
247.16795	10085
247.18919	10065
247.21045	10080
247.2317	10083
247.25294	10135
247.2742	10138
247.29546	10171
247.3167	10190
247.33795	10223
247.35919	10330
247.38045	10374
247.4017	10374
247.42294	10357
247.4442	10374
247.46544	10416
247.48669	10458
247.50793	10513
247.52919	10655
247.55043	10651
247.57169	10573
247.59293	10615
247.61418	10640
247.63542	10651
247.65666	10580
247.67792	10628
247.69916	10677
247.72041	10618
247.74165	10571
247.76289	10650
247.78415	10575
247.80539	10514
247.82663	10465
247.84787	10447
247.86913	10488
247.89037	10512
247.91161	10559
247.93285	10532
247.9541	10487
247.97534	10462
247.99658	10584
248.01782	10625
248.03906	10590
248.06032	10590
248.08156	10595
248.1028	10619
248.12404	10569
248.14528	10547
248.16652	10569
248.18776	10620
248.209	10529
248.23024	10480
248.25148	10449
248.27272	10485
248.29396	10412
248.3152	10429
248.33644	10456
248.35768	10490
248.37892	10486
248.40016	10370
248.4214	10359
248.44264	10392
248.46388	10421
248.48512	10437
248.50636	10432
248.52759	10444
248.54883	10481
248.57007	10365
248.59131	10345
248.61255	10401
248.63379	10385
248.65501	10436
248.67625	10453
248.69749	10490
248.71873	10516
248.73996	10479
248.7612	10455
248.78244	10551
248.80367	10620
248.82491	10570
248.84615	10540
248.86737	10509
248.88861	10474
248.90985	10433
248.93108	10490
248.95232	10567
248.97354	10686
248.99478	10650
249.01601	10619
249.03725	10656
249.05847	10728
249.07971	10777
249.10094	10761
249.12218	10700
249.1434	10727
249.16464	10659
249.18587	10737
249.20711	10783
249.22833	10801
249.24956	10769
249.2708	10712
249.29202	10724
249.31326	10683
249.33449	10647
249.35571	10694
249.37695	10798
249.39818	10840
249.4194	10749
249.44063	10844
249.46187	10877
249.48309	10851
249.50432	10845
249.52554	10868
249.54678	10862
249.56801	10848
249.58923	10839
249.61046	10829
249.63168	10879
249.65291	10888
249.67413	10856
249.69537	10832
249.7166	10953
249.73782	11033
249.75905	11019
249.78027	11048
249.8015	11009
249.82272	10952
249.84395	10894
249.86517	10796
249.8864	10820
249.90762	10731
249.92885	10790
249.95007	10786
249.9713	10825
249.99252	10857
250.01375	10819
250.03496	10801
250.05618	10702
250.07741	10693
250.09863	10791
250.11986	10804
250.14108	10942
250.16231	10962
250.18352	10899
250.20474	10883
250.22597	10964
250.24719	11022
250.2684	11008
250.28963	11064
250.31085	11107
250.33206	11121
250.35329	11039
250.37451	10955
250.39572	10933
250.41695	10931
250.43817	11006
250.45938	11018
250.48061	11222
250.50183	11265
250.52304	11257
250.54427	11225
250.56548	11243
250.5867	11297
250.60791	11432
250.62914	11395
250.65034	11501
250.67157	11561
250.69278	11600
250.714	11471
250.73521	11480
250.75644	11544
250.77765	11491
250.79886	11541
250.82008	11576
250.84129	11551
250.8625	11502
250.88373	11534
250.90494	11494
250.92615	11521
250.94737	11565
250.96858	11574
250.98979	11599
251.01102	11625
251.03223	11574
251.05344	11483
251.07465	11530
251.09586	11532
251.11708	11630
251.13829	11662
251.1595	11782
251.18071	11743
251.20192	11789
251.22313	11670
251.24434	11568
251.26556	11585
251.28677	11581
251.30798	11596
251.32919	11685
251.3504	11721
251.37161	11732
251.39282	11692
251.41403	11723
251.43524	11665
251.45645	11738
251.47766	11715
251.49887	11782
251.52008	11731
251.54128	11779
251.56248	11734
251.58369	11781
251.6049	11758
251.62611	11678
251.64732	11745
251.66853	11829
251.68973	11977
251.71094	11956
251.73215	11942
251.75336	11882
251.77457	11891
251.79576	11979
251.81697	12015
251.83818	12054
