Date and Time:                Tue Jan 31 15:09:46.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



232.22389	6730
232.24527	6439
232.26665	6426
232.28802	6350
232.3094	6364
232.3308	6391
232.35217	6401
232.37355	6343
232.39493	6262
232.41631	6344
232.4377	6253
232.45908	6193
232.48045	6113
232.50183	6201
232.52321	6187
232.54459	6162
232.56596	6149
232.58734	6167
232.60872	6188
232.63011	6119
232.65149	6114
232.67287	6145
232.69424	6124
232.71562	6053
232.737	6051
232.75838	6079
232.77975	6067
232.80113	6041
232.82251	6049
232.84387	6012
232.86525	6034
232.88663	6019
232.908	6007
232.92938	6050
232.95076	6011
232.97214	5979
232.99352	6005
233.01489	6005
233.03625	5993
233.05763	6038
233.07901	5969
233.10039	5958
233.12177	5870
233.14314	5840
233.16451	5866
233.18588	5938
233.20726	5884
233.22864	5842
233.25	5867
233.27138	5864
233.29276	5818
233.31412	5798
233.33549	5816
233.35687	5866
233.37823	5836
233.39961	5784
233.42099	5754
233.44235	5858
233.46373	5852
233.48511	5762
233.50647	5842
233.52785	5785
233.54921	5782
233.57059	5727
233.59195	5734
233.61333	5716
233.6347	5694
233.65607	5663
233.67744	5685
233.69881	5594
233.72018	5563
233.74155	5536
233.76291	5586
233.78429	5556
233.80565	5549
233.82703	5467
233.84839	5525
233.86977	5463
233.89113	5441
233.91249	5470
233.93387	5449
233.95523	5497
233.97659	5455
233.99797	5421
234.01933	5485
234.0407	5502
234.06207	5499
234.08344	5451
234.1048	5455
234.12617	5438
234.14754	5422
234.1689	5365
234.19026	5381
234.21164	5339
234.233	5349
234.25436	5338
234.27573	5328
234.29709	5334
234.31845	5344
234.33983	5350
234.36119	5361
234.38255	5315
234.40392	5289
234.42528	5310
234.44664	5287
234.468	5311
234.48936	5312
234.51073	5326
234.53209	5353
234.55345	5355
234.57483	5295
234.59619	5252
234.61755	5245
234.63892	5237
234.66028	5232
234.68163	5262
234.70299	5226
