Date and Time:                Tue Jan 31 15:12:49.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



232.22389	7003
232.24527	6673
232.26665	6612
232.28802	6537
232.3094	6579
232.3308	6646
232.35217	6580
232.37355	6548
232.39493	6478
232.41631	6518
232.4377	6432
232.45908	6375
232.48045	6354
232.50183	6407
232.52321	6388
232.54459	6337
232.56596	6388
232.58734	6343
232.60872	6351
232.63011	6291
232.65149	6274
232.67287	6297
232.69424	6272
232.71562	6274
232.737	6292
232.75838	6245
232.77975	6169
232.80113	6174
232.82251	6217
232.84387	6184
232.86525	6190
232.88663	6225
232.908	6235
232.92938	6207
232.95076	6150
232.97214	6191
232.99352	6171
233.01489	6159
233.03625	6147
233.05763	6184
233.07901	6125
233.10039	6130
233.12177	6021
233.14314	6047
233.16451	6057
233.18588	6052
233.20726	6027
233.22864	6009
233.25	6096
233.27138	5997
233.29276	6006
233.31412	5955
233.33549	6001
233.35687	6016
233.37823	5967
233.39961	5962
233.42099	5988
233.44235	5996
233.46373	5960
233.48511	5948
233.50647	5988
233.52785	5958
233.54921	5949
233.57059	5898
233.59195	5990
233.61333	5991
233.6347	5842
233.65607	5822
233.67744	5803
233.69881	5762
233.72018	5711
233.74155	5727
233.76291	5716
233.78429	5689
233.80565	5716
233.82703	5675
233.84839	5633
233.86977	5627
233.89113	5582
233.91249	5563
233.93387	5649
233.95523	5649
233.97659	5632
233.99797	5627
234.01933	5619
234.0407	5638
234.06207	5590
234.08344	5617
234.1048	5602
234.12617	5575
234.14754	5552
234.1689	5488
234.19026	5545
234.21164	5485
234.233	5494
234.25436	5504
234.27573	5519
234.29709	5448
234.31845	5488
234.33983	5495
234.36119	5533
234.38255	5496
234.40392	5392
234.42528	5430
234.44664	5437
234.468	5460
234.48936	5435
234.51073	5484
234.53209	5495
234.55345	5475
234.57483	5366
234.59619	5375
234.61755	5381
234.63892	5354
234.66028	5382
234.68163	5368
234.70299	5341
