Date and Time:                Tue Jan 31 14:57:51.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



232.22389	6639
232.24527	6231
232.26665	6262
232.28802	6195
232.3094	6217
232.3308	6232
232.35217	6206
232.37355	6202
232.39493	6131
232.41631	6122
232.4377	6133
232.45908	6023
232.48045	5967
232.50183	5976
232.52321	6019
232.54459	5997
232.56596	5980
232.58734	5982
232.60872	6009
232.63011	5963
232.65149	5891
232.67287	5954
232.69424	5908
232.71562	5913
232.737	5926
232.75838	5926
232.77975	5875
232.80113	5856
232.82251	5823
232.84387	5838
232.86525	5882
232.88663	5883
232.908	5846
232.92938	5825
232.95076	5840
232.97214	5828
232.99352	5822
233.01489	5827
233.03625	5826
233.05763	5822
233.07901	5802
233.10039	5771
233.12177	5718
233.14314	5693
233.16451	5703
233.18588	5714
233.20726	5729
233.22864	5672
233.25	5726
233.27138	5716
233.29276	5695
233.31412	5621
233.33549	5641
233.35687	5645
233.37823	5650
233.39961	5655
233.42099	5622
233.44235	5651
233.46373	5644
233.48511	5635
233.50647	5628
233.52785	5587
233.54921	5659
233.57059	5575
233.59195	5556
233.61333	5554
233.6347	5508
233.65607	5521
233.67744	5467
233.69881	5420
233.72018	5405
233.74155	5391
233.76291	5429
233.78429	5379
233.80565	5406
233.82703	5358
233.84839	5316
233.86977	5303
233.89113	5303
233.91249	5286
233.93387	5301
233.95523	5311
233.97659	5332
233.99797	5301
234.01933	5330
234.0407	5336
234.06207	5349
234.08344	5320
234.1048	5304
234.12617	5272
234.14754	5307
234.1689	5252
234.19026	5237
234.21164	5220
234.233	5212
234.25436	5208
234.27573	5216
234.29709	5152
234.31845	5192
234.33983	5216
234.36119	5186
234.38255	5182
234.40392	5158
234.42528	5119
234.44664	5115
234.468	5183
234.48936	5164
234.51073	5171
234.53209	5208
234.55345	5149
234.57483	5106
234.59619	5076
234.61755	5078
234.63892	5099
234.66028	5130
234.68163	5069
234.70299	5065
