Date and Time:                Thu Sep 8 16:59:36.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	308
255.36023	314
255.38152	309
255.40279	308
255.42406	307
255.44533	311
255.4666	308
255.48787	307
255.50914	313
255.53041	304
255.55168	306
255.57295	304
255.59422	307
255.61549	309
255.63676	306
255.65805	309
255.67931	306
255.70058	305
255.72185	311
255.74312	313
255.76439	303
255.78566	304
255.80693	302
255.8282	307
255.84947	303
255.87074	311
255.89201	309
255.91328	302
255.93454	304
255.95581	302
255.97708	308
255.99835	310
256.01962	304
256.04089	310
256.06216	306
256.08344	305
256.10468	308
256.12595	306
256.14722	313
256.16849	307
256.18976	311
256.21103	315
256.2323	300
256.25354	306
256.27481	297
256.29608	307
256.31735	315
256.33862	307
256.35986	313
256.38113	305
256.4024	310
256.42368	306
256.44495	301
256.46619	304
256.48746	306
256.50873	304
256.53	309
256.55124	309
256.57251	305
256.59378	304
256.61505	306
256.63629	307
256.65756	308
256.67883	311
256.7001	302
256.72134	307
256.74261	309
256.76389	305
256.78513	304
256.8064	308
256.82767	308
256.84891	305
256.87018	306
256.89145	309
256.91269	303
256.93396	313
256.95523	304
256.97647	308
256.99774	308
257.01901	306
257.04025	307
257.06152	312
257.08276	307
257.10403	309
257.12531	304
257.14655	302
257.16782	304
257.18906	307
257.21033	306
257.23157	299
257.25284	307
257.27411	312
257.29535	307
257.31662	306
257.33786	303
257.35913	303
257.38037	306
257.40164	306
257.42288	309
257.44415	310
257.46539	314
257.48666	302
257.5079	307
257.52917	310
257.55042	304
257.57169	304
257.59293	309
257.6142	305
257.63544	309
257.65668	307
257.67795	302
257.69919	311
257.72046	306
257.7417	305
257.76297	308
257.78421	303
257.80545	304
257.82672	306
257.84796	304
257.86923	303
257.89047	297
257.91171	307
257.93298	304
257.95422	310
257.97546	304
257.99673	306
258.01797	307
258.03922	313
258.06049	299
258.08173	302
258.10297	304
258.12424	304
258.14548	302
