Date and Time:                Thu Sep 8 16:58:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
263.64276	309
263.66397	307
263.68515	309
263.70636	302
263.72757	302
263.74875	309
263.76996	297
263.79117	308
263.81235	310
263.83356	311
263.85474	310
263.87595	307
263.89716	311
263.91833	304
263.93954	304
263.96072	307
263.98193	304
264.00314	312
264.02432	305
264.04553	309
264.06671	305
264.08792	302
264.1091	309
264.13031	307
264.15149	307
264.1727	306
264.19388	305
264.21509	305
264.2363	310
264.25748	302
264.27869	306
264.29987	307
264.32104	304
264.34225	305
264.36343	303
264.38464	306
264.40582	305
264.42703	314
264.44821	312
264.46942	305
264.4906	305
264.51181	309
264.53299	304
264.55417	304
264.57538	307
264.59656	302
264.61777	301
264.63895	302
264.66013	301
264.68134	305
264.70251	307
264.72369	307
264.7449	307
264.76608	308
264.78726	302
264.80847	306
264.82965	309
264.85083	307
264.87204	307
264.89322	308
264.9144	309
264.93561	304
264.95679	301
264.97797	307
264.99915	303
265.02036	311
265.04153	300
265.06271	307
265.08389	308
265.1051	313
265.12628	309
265.14746	311
265.16864	298
265.18985	307
265.21103	305
265.23221	309
265.25339	311
265.27457	308
265.29578	305
265.31696	307
265.33813	311
265.35931	300
265.38049	305
265.40167	301
265.42285	314
265.44406	299
265.46524	303
265.48642	313
265.5076	312
265.52878	303
265.54996	305
265.57114	307
265.59232	304
265.61349	309
265.6347	310
265.65588	305
265.67706	308
265.69824	304
265.71942	304
265.7406	302
265.76178	309
265.78296	312
265.80414	306
265.82532	305
265.8465	304
265.86768	304
265.88885	305
265.91003	296
265.93121	307
265.95239	312
265.97357	301
265.99475	305
266.01593	304
266.03711	304
266.05829	304
266.07947	310
266.10065	310
266.1218	309
266.14297	308
266.16415	301
266.18533	310
266.20651	311
266.22769	309
266.24887	307
266.27005	312
266.29123	309
266.31238	308
266.33356	298
266.35474	310
266.37592	308
266.39709	306
266.41827	307
266.43945	308
266.4606	304
266.48178	310
266.50296	308
266.52414	303
266.54532	304
266.56647	309
266.58765	305
266.60883	309
266.63	310
266.65115	309
266.67233	310
266.69351	307
266.71469	308
266.73584	310
266.75702	308
266.7782	308
266.79938	309
266.82053	311
266.84171	303
266.86288	300
266.88403	306
266.90521	313
266.92639	302
266.94754	305
266.96872	311
266.9899	307
267.01105	304
267.03223	310
267.05341	306
267.07455	308
267.09573	308
267.11688	307
267.13806	301
267.15924	304
267.18039	307
267.20157	309
267.22272	305
267.2439	307
267.26505	306
267.28622	311
267.3074	306
267.32855	310
267.34973	305
267.37088	306
267.39206	305
267.41321	307
267.43439	304
267.45554	299
267.47672	303
267.49786	313
267.51904	300
267.54019	309
267.56137	304
267.58252	307
267.6037	302
267.62485	305
267.646	305
267.66718	304
267.68832	306
267.7095	305
267.73065	303
267.75183	307
267.77298	315
267.79413	306
267.81531	311
267.83646	301
267.85764	309
267.87878	307
267.89993	302
267.92111	310
267.94226	306
267.96341	308
267.98459	297
268.00574	307
268.02689	312
268.04807	301
268.06921	311
268.09036	312
268.11154	305
268.13269	307
268.15384	307
268.17499	306
268.19617	303
268.21732	306
268.23846	302
268.25961	305
268.28079	306
268.30194	308
268.32309	300
268.34424	309
268.36542	312
268.38657	306
268.40771	304
268.42886	316
268.45001	311
268.47119	303
268.49234	312
268.51349	313
268.53464	314
268.55579	298
268.57693	310
268.59808	304
268.61926	310
268.64041	304
268.66156	312
268.68271	312
268.70386	305
268.72501	309
268.74615	311
268.7673	302
268.78845	303
268.8096	304
268.83078	311
268.85193	309
268.87308	312
268.89423	310
268.91537	305
268.93652	311
268.95767	306
268.97882	307
268.99997	312
269.02112	305
269.04227	305
269.06342	301
269.08456	307
269.10571	308
269.12686	311
269.14801	310
269.16916	304
269.19031	308
269.21143	307
269.23257	299
269.25372	303
269.27487	307
269.29602	311
269.31717	306
269.33832	308
269.35947	303
269.38062	313
269.40176	310
269.42291	306
269.44403	309
269.46518	307
269.48633	309
269.50748	298
269.52863	312
269.54977	305
269.57089	304
269.59204	306
269.61319	306
269.63434	308
269.65549	308
269.67661	304
269.69775	308
269.7189	305
269.74005	305
269.7612	313
269.78232	302
269.80347	310
269.82462	305
269.84576	302
269.86688	306
269.88803	313
269.90918	300
269.9303	308
269.95145	311
269.9726	309
269.99371	300
270.01486	307
270.03601	309
270.05716	308
270.07828	313
270.09943	308
270.12054	308
270.14169	301
270.16284	302
270.18396	310
270.20511	300
270.22626	303
270.24738	303
270.26852	308
270.28964	313
270.31079	309
270.33194	312
270.35306	313
270.37421	307
270.39532	308
270.41647	310
270.43759	310
270.45874	306
270.47986	308
270.50101	317
270.52213	307
270.54327	303
270.56439	308
270.58554	314
270.60666	304
270.62781	307
270.64893	304
270.67007	309
270.69119	309
270.71234	307
270.73346	306
270.75461	316
270.77573	314
270.79684	309
270.81799	313
270.83911	307
270.86026	310
