Date and Time:                Thu Oct 27 15:36:18.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
269.8627	306
269.88388	302
269.90506	303
269.92621	301
269.94739	304
269.96857	305
269.98972	307
270.01089	305
270.03204	306
270.05322	308
270.0744	299
270.09555	302
270.11673	304
270.13788	303
270.15906	311
270.18024	300
270.20139	297
270.22256	302
270.24371	306
270.26489	307
270.28604	301
270.30722	307
270.32837	308
270.34955	306
270.37073	303
270.39188	304
270.41306	300
270.4342	307
270.45538	308
270.47653	308
270.49771	306
270.51886	306
270.54001	308
270.56119	301
270.58234	308
270.60352	301
270.62466	309
270.64584	307
270.66699	311
270.68817	298
270.70932	301
270.73047	303
270.75165	301
270.7728	299
270.79398	305
270.81512	300
270.83627	302
270.85745	307
270.8786	300
270.89975	313
270.92093	301
270.94208	303
270.96323	303
270.98441	309
271.00555	304
271.0267	306
271.04788	305
271.06903	301
271.09018	301
271.11136	306
271.13251	303
271.15366	308
271.1748	311
271.19598	309
271.21713	307
271.23828	305
271.25943	309
271.28061	303
271.30176	303
271.32291	303
271.34406	311
271.36523	313
271.38638	306
271.40753	304
271.42868	305
271.44983	309
271.47101	308
271.49216	300
271.51331	299
271.53445	302
271.5556	304
271.57675	307
271.5979	307
271.61908	306
271.64023	306
271.66138	307
271.68253	311
271.70367	310
271.72482	304
271.74597	311
271.76712	301
271.78827	303
271.80942	301
271.8306	304
271.85175	302
271.87289	301
271.89404	315
271.91519	309
271.93634	305
271.95749	307
271.97864	298
271.99979	311
272.02094	298
272.04208	309
272.06323	305
272.08438	308
272.10553	302
272.12668	309
272.14783	307
272.16898	307
272.19012	303
272.21127	306
272.23239	311
272.25354	301
272.27469	303
272.29584	305
272.31699	302
272.33813	303
272.35928	304
272.38043	305
272.40158	308
272.42273	298
