Date and Time:                Thu Oct 27 15:49:39.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	5535
261.59204	5248
261.61328	5280
261.63452	5239
261.65576	5278
261.677	5314
261.69827	5297
261.71951	5287
261.74075	5278
261.76199	5289
261.78323	5236
261.80447	5197
261.82571	5195
261.84695	5211
261.86819	5208
261.88943	5247
261.91068	5257
261.93192	5259
261.95316	5300
261.9744	5279
261.99564	5260
262.01688	5277
262.03812	5316
262.05936	5255
262.0806	5281
262.10184	5267
262.12308	5308
262.14432	5269
262.16556	5316
262.1868	5331
262.20801	5348
262.22925	5343
262.25049	5359
262.27173	5381
262.29297	5347
262.31421	5403
262.33545	5352
262.35669	5387
262.37793	5420
262.39917	5450
262.42038	5414
262.44162	5353
262.46286	5344
262.4841	5359
262.50534	5430
262.52658	5432
262.54782	5439
262.56903	5437
262.59027	5464
262.61151	5452
262.63275	5475
262.65399	5397
262.6752	5479
262.69644	5467
262.71768	5494
262.73892	5471
262.76016	5496
262.78137	5533
262.80261	5550
262.82385	5542
262.84509	5545
262.8663	5510
262.88754	5558
262.90878	5565
262.93002	5566
262.95123	5573
262.97247	5541
262.99371	5530
263.01492	5491
263.03616	5431
263.0574	5458
263.07861	5452
263.09985	5448
263.12109	5445
263.1423	5490
263.16354	5471
263.18478	5505
263.20599	5465
263.22723	5469
263.24847	5461
263.26968	5491
263.29092	5499
263.31216	5534
263.33337	5560
263.35461	5549
263.37582	5589
263.39706	5610
263.4183	5571
263.43951	5568
263.46075	5577
263.48196	5596
263.5032	5580
263.52441	5555
263.54565	5498
263.56686	5555
263.5881	5589
263.60934	5579
263.63055	5565
263.65179	5656
263.673	5642
263.69424	5642
263.71545	5629
263.73669	5597
263.7579	5695
263.77914	5641
263.80035	5690
263.82159	5735
263.8428	5762
263.86401	5760
263.88525	5759
263.90646	5746
263.9277	5708
263.94891	5731
263.97015	5756
263.99136	5786
264.0126	5807
