Date and Time:                Thu Oct 27 15:45:52.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	302
261.59204	305
261.61328	303
261.63452	307
261.65576	311
261.677	301
261.69827	313
261.71951	303
261.74075	312
261.76199	307
261.78323	305
261.80447	305
261.82571	306
261.84695	305
261.86819	305
261.88943	304
261.91068	310
261.93192	303
261.95316	303
261.9744	305
261.99564	309
262.01688	307
262.03812	303
262.05936	307
262.0806	304
262.10184	305
262.12308	308
262.14432	305
262.16556	309
262.1868	306
262.20801	302
262.22925	307
262.25049	306
262.27173	301
262.29297	306
262.31421	304
262.33545	307
262.35669	307
262.37793	305
262.39917	304
262.42038	305
262.44162	307
262.46286	301
262.4841	297
262.50534	303
262.52658	308
262.54782	306
262.56903	305
262.59027	305
262.61151	301
262.63275	304
262.65399	299
262.6752	302
262.69644	310
262.71768	303
262.73892	312
262.76016	318
262.78137	452
262.80261	323
262.82385	303
262.84509	304
262.8663	307
262.88754	305
262.90878	301
262.93002	306
262.95123	310
262.97247	300
262.99371	303
263.01492	307
263.03616	301
263.0574	303
263.07861	299
263.09985	312
263.12109	307
263.1423	307
263.16354	310
263.18478	302
263.20599	303
263.22723	307
263.24847	308
263.26968	309
263.29092	306
263.31216	306
263.33337	306
263.35461	300
263.37582	302
263.39706	301
263.4183	301
263.43951	308
263.46075	307
263.48196	311
263.5032	304
263.52441	307
263.54565	306
263.56686	299
263.5881	308
263.60934	304
263.63055	301
263.65179	314
263.673	304
263.69424	302
263.71545	303
263.73669	305
263.7579	307
263.77914	307
263.80035	307
263.82159	304
263.8428	299
263.86401	299
263.88525	308
263.90646	306
263.9277	305
263.94891	307
263.97015	306
263.99136	300
264.0126	300
264.03381	303
264.05502	301
264.07626	305
264.09747	305
264.11868	300
264.13992	305
264.16113	305
264.18237	306
264.20358	302
264.22479	307
264.24603	303
264.26724	301
264.28845	299
264.30969	308
264.3309	303
264.35211	307
264.37335	307
