Date and Time:                Thu Oct 27 15:31:41.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	309
261.59204	307
261.61328	308
261.63452	294
261.65576	313
261.677	301
261.69827	305
261.71951	309
261.74075	298
261.76199	300
261.78323	305
261.80447	309
261.82571	303
261.84695	301
261.86819	313
261.88943	301
261.91068	302
261.93192	309
261.95316	302
261.9744	304
261.99564	309
262.01688	304
262.03812	304
262.05936	309
262.0806	308
262.10184	305
262.12308	304
262.14432	306
262.16556	304
262.1868	307
262.20801	306
262.22925	300
262.25049	308
262.27173	301
262.29297	311
262.31421	302
262.33545	303
262.35669	303
262.37793	303
262.39917	313
262.42038	307
262.44162	307
262.46286	308
262.4841	305
262.50534	303
262.52658	309
262.54782	304
262.56903	305
262.59027	306
262.61151	308
262.63275	299
262.65399	304
262.6752	307
262.69644	309
262.71768	304
262.73892	304
262.76016	307
262.78137	303
262.80261	307
262.82385	304
262.84509	306
262.8663	302
262.88754	302
262.90878	310
262.93002	310
262.95123	309
262.97247	307
262.99371	305
263.01492	310
263.03616	308
263.0574	304
263.07861	309
263.09985	304
263.12109	304
263.1423	304
263.16354	310
263.18478	308
263.20599	309
263.22723	303
263.24847	305
263.26968	308
263.29092	305
263.31216	306
263.33337	303
263.35461	305
263.37582	306
263.39706	302
263.4183	302
263.43951	305
263.46075	310
263.48196	306
263.5032	300
263.52441	305
263.54565	309
263.56686	310
263.5881	303
263.60934	305
263.63055	305
263.65179	301
263.673	309
263.69424	296
263.71545	308
263.73669	301
263.7579	304
263.77914	311
263.80035	310
263.82159	312
263.8428	306
263.86401	305
263.88525	308
263.90646	304
263.9277	302
263.94891	309
263.97015	301
263.99136	309
264.0126	310
264.03381	309
264.05502	307
264.07626	294
264.09747	303
264.11868	302
264.13992	308
264.16113	306
264.18237	302
264.20358	303
264.22479	298
264.24603	310
264.26724	305
264.28845	301
264.30969	309
264.3309	303
264.35211	299
264.37335	307
