Date and Time:                Thu Oct 27 15:36:52.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	304
261.59204	309
261.61328	302
261.63452	304
261.65576	311
261.677	303
261.69827	308
261.71951	307
261.74075	305
261.76199	306
261.78323	307
261.80447	307
261.82571	303
261.84695	307
261.86819	304
261.88943	306
261.91068	309
261.93192	301
261.95316	305
261.9744	300
261.99564	308
262.01688	303
262.03812	307
262.05936	303
262.0806	305
262.10184	300
262.12308	307
262.14432	306
262.16556	302
262.1868	309
262.20801	303
262.22925	301
262.25049	312
262.27173	305
262.29297	302
262.31421	300
262.33545	304
262.35669	302
262.37793	311
262.39917	300
262.42038	299
262.44162	305
262.46286	301
262.4841	308
262.50534	294
262.52658	302
262.54782	305
262.56903	301
262.59027	303
262.61151	303
262.63275	306
262.65399	313
262.6752	301
262.69644	302
262.71768	308
262.73892	301
262.76016	301
262.78137	305
262.80261	306
262.82385	300
262.84509	303
262.8663	300
262.88754	313
262.90878	297
262.93002	310
262.95123	302
262.97247	303
262.99371	299
263.01492	302
263.03616	307
263.0574	308
263.07861	306
263.09985	308
263.12109	304
263.1423	301
263.16354	306
263.18478	307
263.20599	299
263.22723	300
263.24847	302
263.26968	303
263.29092	306
263.31216	306
263.33337	303
263.35461	306
263.37582	306
263.39706	302
263.4183	305
263.43951	308
263.46075	303
263.48196	305
263.5032	303
263.52441	303
263.54565	299
263.56686	300
263.5881	300
263.60934	304
263.63055	296
263.65179	309
263.673	306
263.69424	306
263.71545	306
263.73669	301
263.7579	306
263.77914	306
263.80035	309
263.82159	303
263.8428	301
263.86401	306
263.88525	311
263.90646	304
263.9277	305
263.94891	297
263.97015	305
263.99136	304
264.0126	307
264.03381	305
264.05502	300
264.07626	301
264.09747	297
264.11868	311
264.13992	304
264.16113	303
264.18237	300
264.20358	306
264.22479	307
264.24603	302
264.26724	304
264.28845	308
264.30969	305
264.3309	304
264.35211	303
264.37335	304
