Date and Time:                Thu Oct 27 15:27:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
269.8627	301
269.88388	301
269.90506	301
269.92621	302
269.94739	302
269.96857	301
269.98972	304
270.01089	302
270.03204	299
270.05322	304
270.0744	305
270.09555	306
270.11673	308
270.13788	304
270.15906	304
270.18024	308
270.20139	308
270.22256	304
270.24371	300
270.26489	305
270.28604	301
270.30722	304
270.32837	308
270.34955	304
270.37073	302
270.39188	305
270.41306	301
270.4342	306
270.45538	304
270.47653	305
270.49771	305
270.51886	307
270.54001	301
270.56119	299
270.58234	306
270.60352	298
270.62466	301
270.64584	309
270.66699	304
270.68817	301
270.70932	307
270.73047	303
270.75165	302
270.7728	312
270.79398	303
270.81512	301
270.83627	310
270.85745	297
270.8786	296
270.89975	303
270.92093	299
270.94208	306
270.96323	301
270.98441	304
271.00555	309
271.0267	305
271.04788	305
271.06903	302
271.09018	306
271.11136	298
271.13251	303
271.15366	306
271.1748	300
271.19598	300
271.21713	302
271.23828	303
271.25943	307
271.28061	312
271.30176	300
271.32291	309
271.34406	306
271.36523	303
271.38638	304
271.40753	307
271.42868	307
271.44983	303
271.47101	308
271.49216	305
271.51331	303
271.53445	302
271.5556	305
271.57675	303
271.5979	303
271.61908	304
271.64023	306
271.66138	302
271.68253	304
271.70367	300
271.72482	313
271.74597	303
271.76712	302
271.78827	312
271.80942	307
271.8306	305
271.85175	304
271.87289	306
271.89404	314
271.91519	300
271.93634	303
271.95749	308
271.97864	306
271.99979	308
272.02094	306
272.04208	304
272.06323	304
272.08438	301
272.10553	305
272.12668	303
272.14783	302
272.16898	306
272.19012	309
272.21127	305
272.23239	304
272.25354	311
272.27469	301
272.29584	300
272.31699	303
272.33813	308
272.35928	303
272.38043	300
272.40158	307
272.42273	303
272.44388	304
272.465	308
272.48615	303
272.50729	305
272.52844	300
272.54959	302
272.57074	309
272.59186	304
272.61301	303
272.63416	302
272.6553	304
272.67645	302
272.69757	298
272.71872	299
272.73987	303
272.76102	299
272.78217	304
272.80328	304
272.82443	306
272.84558	305
272.86673	298
272.88785	302
272.909	303
272.93015	302
272.95126	304
272.97241	309
272.99356	304
273.01468	308
273.03583	301
273.05698	298
273.07813	303
273.09924	301
273.12039	314
273.14151	300
273.16266	308
273.18381	298
273.20493	303
273.22607	305
273.24722	297
273.26834	302
273.28949	308
273.31061	300
273.33176	300
273.35291	302
273.37402	308
273.39517	305
273.41629	305
273.43744	299
273.45856	304
273.47971	299
273.50082	302
273.52197	311
273.54312	305
273.56424	303
273.58539	301
273.60651	300
273.62766	303
273.64877	306
273.66992	305
273.69104	305
273.71216	302
273.73331	301
273.75443	311
273.77557	303
273.79669	304
273.81784	299
273.83896	298
273.86011	302
273.88123	307
273.90234	301
273.92349	306
273.94461	304
273.96576	298
273.98688	302
274.008	302
274.02914	305
274.05026	310
274.07138	295
274.09253	309
274.11365	311
274.13477	307
274.15591	300
274.17703	300
274.19815	305
274.2193	304
274.24042	302
274.26154	307
274.28265	305
274.3038	301
274.32492	303
274.34604	306
274.36719	308
274.38831	304
274.40942	301
274.43054	306
274.45166	304
274.47281	305
274.49393	306
274.51505	306
274.53616	302
274.55731	303
274.57843	301
274.59955	302
274.62067	302
274.64178	304
274.6629	298
274.68405	303
274.70517	302
274.72629	300
274.74741	310
274.76852	307
274.78964	307
274.81076	304
274.83188	307
274.853	304
274.87415	304
274.89526	299
274.91638	308
274.9375	300
274.95862	304
274.97974	305
275.00085	298
275.02197	300
275.04309	299
275.06421	305
275.08533	302
275.10645	301
275.12756	301
275.14868	310
275.1698	300
275.19092	307
275.21204	304
275.23315	302
275.25427	301
275.27539	300
275.29651	296
275.31763	307
275.33875	299
275.35986	308
275.38098	304
275.4021	304
275.42322	305
275.44431	301
275.46542	308
275.48654	301
275.50766	304
275.52878	301
275.5499	304
275.57101	302
275.59213	301
275.61322	302
275.63434	308
275.65546	307
275.67657	303
275.69769	303
275.71881	305
275.7399	302
275.76102	306
275.78214	302
275.80325	300
275.82437	303
275.84546	299
275.86658	297
275.8877	303
275.90881	307
275.9299	308
275.95102	305
275.97214	302
275.99326	305
276.01434	308
276.03546	301
276.05658	309
276.07767	298
276.09879	303
276.1199	308
276.14099	306
276.16211	308
276.18323	304
276.20432	308
276.22543	298
276.24655	303
276.26764	298
276.28876	309
276.30988	303
276.33096	301
276.35208	307
276.37317	303
276.39429	304
276.41541	302
276.43649	300
276.45761	308
276.4787	300
276.49982	296
276.5209	298
276.54202	311
276.56311	306
276.58423	310
276.60532	302
276.62643	305
276.64752	308
276.66864	298
276.68973	303
276.71085	300
276.73193	298
276.75305	305
276.77414	304
276.79526	302
276.81635	305
276.83746	311
276.85855	302
276.87967	304
276.90076	303
276.92184	299
276.94296	301
276.96405	303
276.98517	302
277.00626	301
277.02734	308
277.04846	305
277.06955	305
277.09067	310
277.11176	301
277.13284	303
277.15396	301
277.17505	301
277.19614	306
277.21725	305
277.23834	307
277.25943	297
277.28052	306
277.30164	300
277.32272	307
277.34381	302
277.36493	305
277.38602	299
277.4071	305
277.42819	310
277.44931	309
277.4704	302
277.49149	311
277.51257	303
277.53366	300
277.55478	301
277.57587	304
277.59695	303
277.61804	310
277.63913	307
277.66025	306
277.68134	302
277.70242	307
277.72351	310
277.7446	302
277.76569	301
277.78677	303
277.80789	307
277.82898	301
277.85007	311
277.87115	309
277.89224	306
277.91333	304
277.93442	300
277.95551	303
277.97659	295
277.99768	306
278.01877	306
278.03986	305
278.06094	296
278.08203	301
278.10312	303
278.12424	310
278.14532	302
278.16641	302
278.1875	307
278.20856	307
278.22964	302
278.25073	302
278.27182	305
278.29291	301
278.314	304
278.33508	305
278.35617	309
278.37726	298
278.39835	310
278.41943	306
278.44052	299
278.46161	305
278.4827	298
278.50378	308
278.52484	306
278.54593	308
278.56702	295
278.5881	297
278.60919	309
278.63028	304
278.65137	308
278.67242	309
278.69351	301
278.7146	299
278.73569	307
278.75677	302
278.77783	301
278.79892	310
278.82001	306
278.84109	302
278.86215	308
278.88324	300
278.90433	303
278.92542	314
278.94647	300
278.96756	297
278.98865	304
279.00974	303
279.03079	306
279.05188	297
279.07297	307
279.09402	300
279.11511	305
279.1362	308
279.15726	306
279.17834	302
279.19943	302
279.22049	311
279.24158	303
279.26266	301
279.28372	302
279.30481	308
279.32587	303
279.34695	305
279.36804	303
279.3891	309
279.41019	303
279.43124	303
279.45233	302
279.47342	305
279.49448	302
279.51556	301
279.53662	305
279.55771	302
279.57877	303
279.59985	295
279.62091	310
279.642	305
279.66306	308
279.68414	304
279.7052	305
279.72629	308
279.74734	304
279.76843	303
279.78949	301
279.81055	299
279.83163	305
279.85269	303
279.87378	302
279.89484	306
279.91592	305
279.93698	303
279.95804	304
279.97913	303
280.00018	302
280.02124	308
280.04233	304
280.06339	301
280.08444	300
280.10553	308
280.12659	303
280.14764	308
280.16873	305
280.18979	303
280.21085	307
280.23193	302
280.25299	303
280.27405	301
280.29514	311
280.31619	304
280.33725	302
280.35831	299
280.37939	303
280.40045	297
280.42151	305
280.44257	301
280.46362	299
280.48471	301
280.50577	305
280.52682	300
280.54788	303
280.56894	305
280.59003	299
280.61108	304
280.63214	300
280.6532	304
280.67426	305
280.69531	303
280.71637	303
280.73746	298
280.75851	301
280.77957	300
280.80063	306
280.82169	305
280.84274	303
280.8638	302
280.88486	303
280.90591	306
280.92697	297
280.94803	308
280.96909	304
280.99014	304
281.0112	303
281.03226	306
281.05331	312
281.07437	305
281.09543	303
281.11649	303
281.13754	301
281.1586	308
281.17966	301
281.20071	313
281.22177	304
281.24283	301
281.26389	299
281.28494	308
281.306	294
281.32706	302
281.34811	306
281.36917	299
281.39023	305
281.41129	307
281.43231	300
281.45337	305
281.47443	298
281.49548	301
281.51654	307
281.5376	306
281.55865	300
281.57968	302
281.60074	300
281.6218	304
281.64285	304
281.66391	307
281.68494	301
281.70599	304
281.72705	307
281.74811	301
281.76913	305
281.79019	306
281.81125	300
281.83231	303
281.85333	306
281.87439	305
281.89545	303
281.9165	302
281.93753	298
281.95859	306
281.97964	304
282.00067	310
282.02173	306
282.04279	304
282.06381	307
282.08487	302
282.10593	307
282.12695	301
282.14801	305
282.16907	306
282.19009	307
282.21115	307
282.23218	298
282.25323	309
282.27429	302
282.29532	299
282.31638	305
282.3374	304
282.35846	308
282.37949	307
282.40054	306
282.42157	305
282.44263	301
282.46365	304
282.48471	302
282.50574	307
282.52679	304
282.54782	304
282.56888	302
282.5899	305
282.61096	304
282.63199	304
282.65305	305
282.67407	308
282.69513	303
282.71616	310
282.73718	302
282.75824	304
282.77927	302
282.80032	308
282.82135	304
282.84238	305
282.86343	303
282.88446	303
282.90552	303
282.92654	302
282.94757	302
282.96863	309
282.98965	299
283.01068	301
283.03174	297
283.05276	304
283.07379	301
283.09482	306
283.11588	305
283.1369	305
283.15793	302
283.17899	305
283.20001	307
283.22104	304
283.24207	300
283.26312	306
283.28415	296
283.30518	308
283.3262	305
283.34723	309
283.36829	301
283.38931	304
283.41034	306
283.43137	304
283.45239	303
283.47342	304
283.49448	309
283.5155	307
283.53653	306
283.55756	307
283.57858	299
283.59961	308
283.62064	302
283.64166	301
283.66272	303
283.68375	302
283.70477	305
283.7258	304
283.74683	302
283.76785	302
283.78888	303
283.80991	300
283.83093	305
283.85196	304
283.87299	304
283.89401	299
283.91504	301
283.93607	310
283.95709	300
283.97812	303
283.99915	304
284.02017	300
284.0412	312
284.06223	305
284.08325	307
284.10428	304
284.12531	311
284.14633	304
284.16733	303
284.18835	303
284.20938	308
284.23041	310
284.25143	301
284.27246	302
284.29349	305
284.31451	305
284.33551	303
284.35654	308
284.37756	300
284.39859	305
284.41962	303
284.44064	310
284.46164	300
284.48267	311
284.50369	309
284.52472	304
284.54575	305
284.56674	305
284.58777	306
284.6088	316
284.62982	294
284.65082	305
284.67184	307
284.69287	308
284.71387	296
284.73489	298
284.75592	306
284.77695	305
284.79794	303
284.81897	302
284.84	303
284.86099	305
284.88202	302
284.90305	304
284.92404	303
284.94507	307
284.96606	306
284.98709	301
285.00812	312
285.02911	303
285.05014	308
285.07114	310
285.09216	302
285.11319	304
285.13419	308
285.15521	305
285.17621	302
285.19724	302
285.21823	302
285.23926	304
285.26025	304
285.28128	305
285.30228	314
285.3233	302
285.3443	303
285.36533	304
285.38632	304
285.40735	305
285.42834	302
285.44937	291
285.47037	305
285.49136	308
285.51239	306
285.53339	302
285.55441	301
285.57541	300
285.59644	309
285.61743	306
285.63843	307
285.65945	302
285.68045	301
285.70145	299
285.72247	304
285.74347	304
285.76447	303
285.78549	307
285.80649	313
285.82748	296
285.84851	308
285.86951	303
285.8905	303
285.9115	303
285.93253	305
285.95352	303
285.97452	305
285.99554	299
286.01654	302
286.03754	301
286.05853	305
286.07953	307
286.10056	307
286.12155	304
286.14255	304
286.16354	303
286.18454	303
286.20557	313
286.22656	302
286.24756	301
286.26855	305
286.28955	305
286.31055	305
286.33154	304
286.35257	299
286.37357	309
286.39456	307
286.41556	312
286.43655	304
286.45755	300
286.47855	303
286.49954	297
286.52054	311
286.54153	306
286.56253	296
286.58353	299
286.60452	297
286.62552	308
286.64651	304
286.66751	305
286.68851	302
286.7095	299
286.7305	304
286.7515	309
286.77249	299
286.79349	302
286.81448	310
286.83548	304
286.85648	308
286.87747	299
286.89847	299
286.91946	303
286.94046	306
286.96146	305
286.98242	307
287.00342	300
287.02441	301
287.04541	303
287.06641	303
287.0874	303
287.1084	304
287.12936	298
287.15036	304
287.17136	307
287.19235	298
287.21335	304
287.23431	308
287.25531	307
287.27631	306
287.2973	302
287.3183	305
287.33926	296
287.36026	303
287.38126	306
287.40225	298
287.42322	307
287.44421	298
287.46521	305
287.48618	299
287.50717	303
287.52817	308
287.54913	305
287.57013	304
287.59113	298
287.61209	302
287.63309	308
287.65408	306
287.67505	310
287.69604	305
287.71704	301
287.73801	299
287.759	306
287.77997	301
287.80096	309
287.82193	303
287.84293	299
287.86392	301
287.88489	299
287.90588	308
287.92685	300
287.94785	301
287.96881	300
287.98981	303
288.01077	308
288.03177	294
288.05273	306
288.07373	304
288.0947	300
288.11569	292
288.13666	301
288.15765	312
288.17862	299
288.19958	304
288.22058	307
288.24155	302
288.26254	306
288.28351	299
288.30447	306
288.32547	309
288.34644	304
288.36743	294
288.3884	303
288.40936	303
288.43036	306
288.45132	301
288.47229	303
288.49329	301
288.51425	308
288.53522	303
288.55621	303
288.57718	304
288.59814	308
288.61911	305
288.64011	304
288.66107	306
288.68204	305
288.703	300
288.724	307
288.74496	300
288.76593	308
288.7869	304
288.80789	302
288.82886	307
288.84982	302
288.87079	300
288.89175	312
288.91272	306
288.93372	303
288.95468	306
288.97565	302
288.99661	301
289.01758	302
289.03854	307
289.05951	298
289.08051	305
289.10147	308
289.12244	300
289.1434	295
289.16437	302
289.18533	301
289.2063	303
289.22726	305
289.24823	305
289.2692	304
289.29016	300
289.31113	303
289.33209	308
289.35306	302
289.37402	309
289.39499	300
289.41595	302
289.43692	313
289.45789	301
289.47885	301
289.49982	302
289.52078	304
289.54175	310
289.56271	305
289.58368	305
289.60461	300
289.62558	303
289.64655	307
289.66751	306
289.68848	306
289.70944	306
289.73041	303
289.75137	298
289.77231	298
289.79327	301
289.81424	307
289.83521	304
289.85617	307
289.87711	303
289.89807	300
289.91904	302
289.94	302
289.96097	300
289.9819	305
290.00287	298
290.02383	307
290.0448	307
290.06573	304
290.0867	303
290.10767	302
290.1286	300
290.14957	308
290.17053	308
290.1915	305
290.21243	303
290.2334	307
290.25436	300
290.2753	304
290.29626	303
290.3172	308
290.33817	306
290.35913	302
290.38007	303
290.40103	301
290.422	302
290.44293	299
290.4639	306
290.48483	304
290.5058	306
290.52673	304
290.5477	307
290.56863	299
290.5896	299
290.61053	297
290.6315	304
290.65244	307
290.6734	303
290.69434	304
290.7153	298
290.73624	302
290.7572	303
290.77814	305
290.7991	304
290.82004	298
290.841	297
290.86194	301
290.8829	304
290.90384	309
290.92477	299
290.94574	305
290.96667	303
290.98761	306
291.00858	302
291.02951	303
291.05048	304
291.07141	307
291.09235	300
291.11331	303
291.13425	299
291.15518	308
291.17612	300
291.19708	306
291.21802	302
291.23895	304
291.25992	303
291.28085	306
291.30179	306
291.32272	303
291.34369	302
291.36462	300
291.38556	299
291.40649	305
291.42746	296
291.44839	306
291.46933	302
291.49026	305
291.5112	305
291.53214	303
291.5531	301
291.57404	303
291.59497	308
291.61591	306
291.63684	297
291.65778	307
291.67871	308
291.69965	302
291.72061	298
291.74155	302
291.76248	305
291.78342	303
291.80435	302
291.82529	304
291.84622	298
291.86716	303
291.88809	303
291.90903	300
291.92996	303
291.9509	303
291.97183	305
291.99277	301
292.0137	299
292.03464	297
292.05557	306
292.07651	306
292.09744	307
292.11838	305
292.13931	300
292.16025	309
292.18118	307
292.20209	301
292.22302	299
292.24396	301
292.26489	299
292.28583	306
292.30676	308
292.3277	304
292.34863	299
292.36954	301
292.39047	304
292.41141	304
292.43234	305
292.45328	300
292.47421	305
292.49512	306
292.51605	300
292.53699	304
292.55792	305
292.57883	301
292.59976	303
292.6207	305
292.64163	297
292.66254	299
292.68347	298
292.70441	301
292.72531	304
292.74625	301
292.76718	308
292.78812	305
292.80902	302
292.82996	303
292.85089	300
292.8718	303
292.89273	305
292.91364	307
292.93457	306
292.95551	306
292.97641	303
292.99734	301
293.01825	306
293.03918	307
293.06012	301
293.08102	309
293.10196	305
293.12286	303
293.1438	299
293.1647	300
293.18564	302
293.20654	302
293.22748	303
293.24838	308
293.26932	300
293.29022	306
293.31116	305
293.33206	300
293.353	309
293.3739	308
293.39484	299
293.41574	304
293.43668	307
293.45758	304
293.47849	302
293.49942	303
293.52032	304
293.54126	305
293.56216	305
293.58307	303
293.604	301
293.62491	303
293.64581	303
293.66675	304
293.68765	307
293.70856	307
293.72949	304
293.7504	302
293.7713	303
293.79221	303
293.81314	302
293.83405	303
293.85495	300
293.87589	306
293.89679	302
293.91769	304
293.9386	301
293.9595	305
293.98044	300
294.00134	310
294.02225	295
294.04315	300
294.06406	298
294.08499	305
294.1059	299
294.1268	303
294.14771	304
294.16861	301
294.18951	306
294.21042	306
294.23135	301
294.25226	306
