Date and Time:                Wed Apr 6 12:19:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	314
269.08499	309
269.09479	306
269.10455	305
269.11432	314
269.12411	309
269.13388	312
269.14365	309
269.15344	308
269.16321	305
269.17297	303
269.18277	311
269.19254	308
269.2023	308
269.2121	312
269.22186	303
269.23163	310
269.24142	306
269.25119	306
269.26096	310
269.27072	307
269.28052	304
269.29028	308
269.30005	303
269.30984	303
269.31961	304
269.32938	301
269.33914	304
269.34894	308
269.3587	308
269.36847	313
269.37823	304
269.388	303
269.3978	305
269.40756	307
269.41733	308
269.42709	304
269.43689	311
269.44666	307
269.45642	312
269.46619	304
269.47595	306
269.48575	309
269.49551	311
269.50528	308
269.51505	307
269.52481	309
269.53458	304
269.54437	306
269.55414	310
269.5639	307
269.57367	304
269.58344	309
269.5932	306
269.60297	310
269.61273	316
269.62253	304
269.63229	313
269.64206	312
269.65182	306
269.66159	308
269.67136	305
269.68112	309
269.69089	306
269.70065	313
269.71042	311
269.72021	306
269.72998	309
269.73975	308
269.74951	308
269.75928	308
269.76904	310
269.77881	315
269.78857	313
269.79834	311
269.80811	315
269.81787	312
269.82764	309
269.8374	303
269.84717	303
269.85693	310
269.8667	310
269.87646	306
269.88623	305
269.896	310
269.90576	304
269.91553	309
269.92529	307
269.93506	304
269.94482	313
269.95459	308
269.96436	311
269.97412	303
269.98389	314
269.99365	305
270.00342	309
270.01318	304
270.02292	313
270.03268	308
270.04245	311
270.05222	306
270.06198	310
270.07175	305
270.08151	305
270.09128	309
270.10104	307
270.11081	300
270.12054	305
270.13031	313
270.14008	314
270.14984	311
270.15961	304
270.16937	308
270.17914	306
270.18887	306
270.19864	308
270.2084	301
270.21817	304
270.22794	305
270.2377	304
270.24744	312
270.2572	312
270.26697	306
270.27673	303
270.2865	304
270.29626	308
270.306	304
270.31577	308
270.32553	305
270.3353	309
270.34503	310
270.3548	303
270.36456	305
270.37433	306
