Date and Time:                Wed Apr 6 12:20:17.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	302
269.08499	310
269.09479	302
269.10455	306
269.11432	308
269.12411	312
269.13388	304
269.14365	305
269.15344	305
269.16321	309
269.17297	307
269.18277	313
269.19254	305
269.2023	308
269.2121	306
269.22186	304
269.23163	314
269.24142	306
269.25119	306
269.26096	313
269.27072	305
269.28052	308
269.29028	301
269.30005	311
269.30984	316
269.31961	315
269.32938	312
269.33914	302
269.34894	304
269.3587	307
269.36847	309
269.37823	309
269.388	311
269.3978	308
269.40756	303
269.41733	309
269.42709	302
269.43689	306
269.44666	310
269.45642	304
269.46619	308
269.47595	310
269.48575	308
269.49551	309
269.50528	303
269.51505	305
269.52481	304
269.53458	308
269.54437	305
269.55414	309
269.5639	310
269.57367	301
269.58344	309
269.5932	303
269.60297	308
269.61273	306
269.62253	312
269.63229	311
269.64206	307
269.65182	303
269.66159	307
269.67136	308
269.68112	308
269.69089	308
269.70065	309
269.71042	305
269.72021	311
269.72998	309
269.73975	304
269.74951	313
269.75928	313
269.76904	301
269.77881	305
269.78857	311
269.79834	306
269.80811	307
269.81787	308
269.82764	303
269.8374	305
269.84717	306
269.85693	305
269.8667	301
269.87646	306
269.88623	314
269.896	311
269.90576	309
269.91553	311
269.92529	299
269.93506	312
269.94482	299
269.95459	307
269.96436	304
269.97412	306
269.98389	310
269.99365	308
270.00342	307
270.01318	304
270.02292	308
270.03268	306
270.04245	305
270.05222	310
270.06198	305
270.07175	309
270.08151	308
270.09128	303
270.10104	306
270.11081	306
270.12054	308
270.13031	308
270.14008	305
270.14984	309
270.15961	306
270.16937	307
270.17914	308
270.18887	308
270.19864	306
270.2084	307
270.21817	305
270.22794	310
270.2377	307
270.24744	310
270.2572	303
270.26697	310
270.27673	302
270.2865	310
270.29626	308
270.306	305
270.31577	306
270.32553	310
270.3353	310
270.34503	313
270.3548	308
270.36456	306
270.37433	305
